,MFI_daily_20
2000-01-31,49.3707
2000-02-29,44.5272
2000-03-31,22.3037
2000-04-28,31.9991
2000-05-31,34.4618
2000-06-30,71.5259
2000-07-31,37.3282
2000-08-31,50.8156
2000-09-29,27.9621
2000-10-31,57.9495
2000-11-30,35.2619
2000-12-29,36.4393
2001-01-31,52.7021
2001-02-28,27.1164
2001-03-30,34.5499
2001-04-30,51.0853
2001-05-31,49.5251
2001-06-29,45.5021
2001-07-31,45.5991
2001-08-31,7.6597
2001-09-28,20.3439
2001-10-31,41.8443
2001-11-30,76.1861
2001-12-31,60.4478
2002-01-31,37.3816
2002-02-28,40.0899
2002-03-29,0
2002-04-30,26.5769
2002-05-31,51.8143
2002-06-28,24.3065
2002-07-31,41.8976
2002-08-30,54.5025
2002-09-30,43.2497
2002-10-31,67.3512
2002-11-29,77.3482
2002-12-31,39.2220
2003-01-31,33.4956
2003-02-28,38.8451
2003-03-31,45.9527
2003-04-30,61.5771
2003-05-30,72.2777
2003-06-30,64.6689
2003-07-31,58.5711
2003-08-29,52.9918
2003-09-30,52.6525
2003-10-31,76.9483
2003-11-28,70.6998
2003-12-31,39.6845
2004-01-30,69.1508
2004-02-27,66.1612
2004-03-31,35.1082
2004-04-30,37.4432
2004-05-31,0
2004-06-30,76.7196
2004-07-30,34.5641
2004-08-31,46.7198
2004-09-30,50.6802
2004-10-29,52.5840
2004-11-30,43.7854
2004-12-31,63.8234
2005-01-31,51.0480
2005-02-28,35.0730
2005-03-31,67.3990
2005-04-29,43.0553
2005-05-31,70.3039
2005-06-30,39.2645
2005-07-29,77.2601
2005-08-31,38.0808
2005-09-30,71.2190
2005-10-31,48.9121
2005-11-30,73.0233
2005-12-30,55.7663
2006-01-31,60.2959
2006-02-28,60.1499
2006-03-31,78.1059
2006-04-28,56.4347
2006-05-31,42.4070
2006-06-30,57.5587
2006-07-31,54.1474
2006-08-31,52.7600
2006-09-29,74.2845
2006-10-31,39.2656
2006-11-30,65.8392
2006-12-29,73.6373
2007-01-31,55.0945
2007-02-28,43.6443
2007-03-30,56.6297
2007-04-30,37.9785
2007-05-31,56.1641
2007-06-29,62.2404
2007-07-31,37.1329
2007-08-31,48.4407
2007-09-28,31.0608
2007-10-31,62.7085
2007-11-30,57.4007
2007-12-31,44.8323
2008-01-31,36.1534
2008-02-29,68.6158
2008-03-31,34.6860
2008-04-30,80.7719
2008-05-30,65.5182
2008-06-30,35.7396
2008-07-31,17.1715
2008-08-29,42.5907
2008-09-30,27.3218
2008-10-31,46.0461
2008-11-28,58.3354
2008-12-31,71.4318
2009-01-30,51.4889
2009-02-27,77.9919
2009-03-31,64.2317
2009-04-30,58.5803
2009-05-29,57.7920
2009-06-30,42.0499
2009-07-31,30.1524
2009-08-31,61.7731
2009-09-30,63.1303
2009-10-30,60.6282
2009-11-30,66.7254
2009-12-31,66.3004
2010-01-29,47.8860
2010-02-26,58.9582
2010-03-31,68.3690
2010-04-30,67.8526
2010-05-31,0
2010-06-30,53.9214
2010-07-30,43.0676
2010-08-31,73.3625
2010-09-30,73.4453
2010-10-29,54.9969
2010-11-30,40.9042
2010-12-31,36.7864
2011-01-31,46.5602
2011-02-28,36.9130
2011-03-31,35.5465
2011-04-29,55.5320
2011-05-31,57.1452
2011-06-30,39.9174
2011-07-29,32.0887
2011-08-31,42.5335
2011-09-30,46.4788
2011-10-31,61.6895
2011-11-30,59.7377
2011-12-30,61.0579
2012-01-31,53.4385
2012-02-29,58.9764
2012-03-30,58.8188
2012-04-30,40.1414
2012-05-31,21.3735
2012-06-29,60.1443
2012-07-31,56.8313
2012-08-31,66.3321
2012-09-28,59.4166
2012-10-31,46.9552
