,MFI_daily_20
2000-01-31,40.9729
2000-02-29,71.5583
2000-03-31,55.0647
2000-04-28,43.1490
2000-05-31,43.0797
2000-06-30,77.8424
2000-07-31,78.5541
2000-08-31,56.4487
2000-09-29,64.4728
2000-10-31,55.9678
2000-11-30,27.0842
2000-12-29,59.6502
2001-01-31,55.3926
2001-02-28,51.7756
2001-03-30,28.1943
2001-04-30,62.0083
2001-05-31,74.9807
2001-06-29,53.1979
2001-07-31,54.5152
2001-08-31,66.8156
2001-09-28,33.5736
2001-10-31,43.2548
2001-11-30,56.6643
2001-12-31,46.0041
2002-01-31,43.7434
2002-02-28,43.6678
2002-03-29,0
2002-04-30,21.8630
2002-05-31,63.0706
2002-06-28,33.7503
2002-07-31,21.8358
2002-08-30,61.0929
2002-09-30,33.4400
2002-10-31,66.7554
2002-11-29,46.2041
2002-12-31,28.5545
2003-01-31,34.1410
2003-02-28,18.9655
2003-03-31,52.9895
2003-04-30,60.0637
2003-05-30,82.5075
2003-06-30,63.2773
2003-07-31,56.2228
2003-08-29,56.6607
2003-09-30,42.5143
2003-10-31,58.6257
2003-11-28,34.6345
2003-12-31,61.3938
2004-01-30,92.2039
2004-02-27,56.7261
2004-03-31,40.5612
2004-04-30,31.8601
2004-05-31,0
2004-06-30,67.4304
2004-07-30,28.5900
2004-08-31,46.0850
2004-09-30,71.1333
2004-10-29,63.0488
2004-11-30,81.0983
2004-12-31,61.1802
2005-01-31,29.2867
2005-02-28,50.6135
2005-03-31,31.2626
2005-04-29,46.1118
2005-05-31,59.1929
2005-06-30,60.0021
2005-07-29,45.3001
2005-08-31,51.0265
2005-09-30,21.6965
2005-10-31,71.5412
2005-11-30,61.7602
2005-12-30,42.5115
2006-01-31,71.3802
2006-02-28,61.9899
2006-03-31,68.3144
2006-04-28,34.1748
2006-05-31,30.2223
2006-06-30,32.9903
2006-07-31,70.6352
2006-08-31,50.9271
2006-09-29,77.8858
2006-10-31,55.1413
2006-11-30,50.7756
2006-12-29,56.0252
2007-01-31,57.6768
2007-02-28,53.5691
2007-03-30,50.7824
2007-04-30,70.3361
2007-05-31,69.7762
2007-06-29,47.4078
2007-07-31,43.4390
2007-08-31,39.9930
2007-09-28,66.8516
2007-10-31,53.0666
2007-11-30,34.9160
2007-12-31,40.7843
2008-01-31,31.2310
2008-02-29,51.8437
2008-03-31,49.1398
2008-04-30,40.5152
2008-05-30,41.0498
2008-06-30,27.7418
2008-07-31,42.0246
2008-08-29,67.0949
2008-09-30,45.0768
2008-10-31,23.5704
2008-11-28,38.9468
2008-12-31,68.7424
2009-01-30,46.6386
2009-02-27,33.6275
2009-03-31,53.6352
2009-04-30,73.7443
2009-05-29,46.3939
2009-06-30,49.5409
2009-07-31,63.5497
2009-08-31,56.9600
2009-09-30,39.3241
2009-10-30,42.4675
2009-11-30,54.4411
2009-12-31,50.2803
2010-01-29,31.9738
2010-02-26,68.9205
2010-03-31,62.2024
2010-04-30,48.0411
2010-05-31,0
2010-06-30,49.7231
2010-07-30,57.7468
2010-08-31,31.1993
2010-09-30,63.4634
2010-10-29,59.4929
2010-11-30,53.6505
2010-12-31,65.3813
2011-01-31,49.1534
2011-02-28,49.3092
2011-03-31,48.3991
2011-04-29,47.5845
2011-05-31,51.9574
2011-06-30,52.8211
2011-07-29,56.5691
2011-08-31,48.9462
2011-09-30,49.0800
