,MFI_daily_20
2000-01-31,45.1173
2000-02-29,25.9572
2000-03-31,63.9337
2000-04-28,56.4037
2000-05-31,72.1048
2000-06-30,61.9340
2000-07-31,66.6840
2000-08-31,54.5966
2000-09-29,40.6780
2000-10-31,46.9860
2000-11-30,62.1692
2000-12-29,14.2290
2001-01-31,49.7827
2001-02-28,53.1562
2001-03-30,38.5672
2001-04-30,50.6691
2001-05-31,80.5426
2001-06-29,55.0210
2001-07-31,36.8282
2001-08-31,69.8357
2001-09-28,52.2948
2001-10-31,38.1119
2001-11-30,52.0113
2001-12-31,59.7782
2002-01-31,45.2544
2002-02-28,61.9567
2002-03-29,0
2002-04-30,52.2529
2002-05-31,41.5069
2002-06-28,26.4810
2002-07-31,40.6210
2002-08-30,37.7545
2002-09-30,21.2009
2002-10-31,49.3658
2002-11-29,83.6122
2002-12-31,28.0889
2003-01-31,54.4530
2003-02-28,38.8263
2003-03-31,14.7251
2003-04-30,72.2611
2003-05-30,49.7458
2003-06-30,41.7357
2003-07-31,62.4636
2003-08-29,42.4098
2003-09-30,54.6527
2003-10-31,26.4493
2003-11-28,53.9902
2003-12-31,68.8515
2004-01-30,33.8216
2004-02-27,50.0259
2004-03-31,62.0055
2004-04-30,51.1001
2004-05-31,0
2004-06-30,68.0199
2004-07-30,29.0981
2004-08-31,54.3098
2004-09-30,62.9120
2004-10-29,39.5206
2004-11-30,64.9443
2004-12-31,77.8575
2005-01-31,45.1854
2005-02-28,73.9355
2005-03-31,47.8538
2005-04-29,67.5613
2005-05-31,50.0788
2005-06-30,48.2167
2005-07-29,61.6640
2005-08-31,54.6553
2005-09-30,43.3754
2005-10-31,37.7993
2005-11-30,74.2357
2005-12-30,33.6617
2006-01-31,35.4753
2006-02-28,56.5416
2006-03-31,49.0598
2006-04-28,40.6782
2006-05-31,51.8584
2006-06-30,30.0779
2006-07-31,88.2616
2006-08-31,62.4404
2006-09-29,55.6589
2006-10-31,43.7157
2006-11-30,47.0766
2006-12-29,68.2505
2007-01-31,68.2078
2007-02-28,57.2125
2007-03-30,75.9182
2007-04-30,73.7439
2007-05-31,43.4185
2007-06-29,58.8439
2007-07-31,40.5497
2007-08-31,55.0777
2007-09-28,59.9425
2007-10-31,46.4225
2007-11-30,43.1377
2007-12-31,47.8091
2008-01-31,50.1600
2008-02-29,52.9832
2008-03-31,45.2433
2008-04-30,50.3168
2008-05-30,48.9934
2008-06-30,60.1389
2008-07-31,66.7210
2008-08-29,43.2358
2008-09-30,52.4206
2008-10-31,37.7769
2008-11-28,49.2858
2008-12-31,68.1315
2009-01-30,74.3960
2009-02-27,44.1501
2009-03-31,46.7092
2009-04-30,45.3632
2009-05-29,51.3542
2009-06-30,62.3704
2009-07-31,65.1368
2009-08-31,60.0880
2009-09-30,42.4866
2009-10-30,40.8574
2009-11-30,52.6877
2009-12-31,69.4987
2010-01-29,43.6008
2010-02-26,35.7190
2010-03-31,56.0805
2010-04-30,28.9756
2010-05-31,0
2010-06-30,52.3946
2010-07-30,54.1684
2010-08-31,51.6005
2010-09-30,66.4155
2010-10-29,56.8767
2010-11-30,37.2857
2010-12-31,67.1405
2011-01-31,30.9932
2011-02-28,71.9087
2011-03-31,65.5357
2011-04-29,66.8736
2011-05-31,75.6981
2011-06-30,58.6635
2011-07-29,46.8243
2011-08-31,46.2611
2011-09-30,54.7375
2011-10-31,48.1074
2011-11-30,46.5545
2011-12-30,28.4746
2012-01-31,72.9015
2012-02-29,64.2772
2012-03-30,63.4740
2012-04-30,39.3216
2012-05-31,23.8818
2012-06-29,42.5323
2012-07-31,63.8798
2012-08-31,52.1472
2012-09-28,58.9444
2012-10-31,64.2029
2012-11-30,56.7191
2012-12-31,46.0694
2013-01-31,55.6457
2013-02-28,56.6487
2013-03-29,0
2013-04-30,27.8791
2013-05-31,44.3546
2013-06-28,54.3419
2013-07-31,70.1210
2013-08-30,52.3252
2013-09-30,35.1625
2013-10-31,40.1439
2013-11-29,60.1542
2013-12-31,54.9438
2014-01-31,57.7575
2014-02-28,58.4907
2014-03-31,62.5375
2014-04-30,40.6541
2014-05-30,43.1139
2014-06-30,37.8144
2014-07-31,48.6207
2014-08-29,37.7253
2014-09-30,36.9088
2014-10-31,54.2248
2014-11-28,51.9058
2014-12-31,53.7174
2015-01-30,29.7347
2015-02-27,33.0837
2015-03-31,49.1407
2015-04-30,50.7798
2015-05-29,37.6300
2015-06-30,69.8441
2015-07-31,64.4014
2015-08-31,69.0162
2015-09-30,37.7489
2015-10-30,75.4394
2015-11-30,50.1587
2015-12-31,51.9158
2016-01-29,38.1002
2016-02-29,59.6932
2016-03-31,65.5969
2016-04-29,71.7142
2016-05-31,37.2841
2016-06-30,61.8871
2016-07-29,71.7822
2016-08-31,42.0221
2016-09-30,71.2803
2016-10-31,67.5702
2016-11-30,39.3335
2016-12-30,50.7040
2017-01-31,70.1904
2017-02-28,88.7945
2017-03-31,72.8804
2017-04-28,68.7233
2017-05-31,79.1717
2017-06-30,70.6592
2017-07-31,58.0254
2017-08-31,55.1290
2017-09-29,49.0777
2017-10-31,55.6978
2017-11-30,62.2101
2017-12-29,53.4568
2018-01-31,77.7212
2018-02-28,58.8964
2018-03-30,0
2018-04-30,68.2657
2018-05-31,57.6852
2018-06-29,58.3019
2018-07-31,56.5742
2018-08-31,67.4348
2018-09-28,68.1324
2018-10-31,23.3320
2018-11-30,69.0875
2018-12-31,49.4425
2019-01-31,66.9146
2019-02-28,67.1951
2019-03-29,66.3788
2019-04-30,38.8677
2019-05-31,37.9371
2019-06-28,88.0015
2019-07-31,77.1715
2019-08-30,55.7520
2019-09-30,57.7430
2019-10-31,34.2644
2019-11-29,82.6989
2019-12-31,50.5108
2020-01-31,54.2054
2020-02-28,42.9106
2020-03-31,48.8832
2020-04-30,58.3129
2020-05-29,56.7599
2020-06-30,40.1120
