,MFI_daily_20
2000-01-31,42.6257
2000-02-29,14.8223
2000-03-31,55.6599
2000-04-28,46.9884
2000-05-31,43.8257
2000-06-30,45.8104
2000-07-31,52.0640
2000-08-31,57.7362
2000-09-29,24.6418
2000-10-31,64.0090
2000-11-30,75.1113
2000-12-29,75.1022
2001-01-31,41.9782
2001-02-28,74.5808
2001-03-30,75.1919
2001-04-30,39.1771
2001-05-31,60.7983
2001-06-29,43.7952
2001-07-31,43.6880
2001-08-31,68.6577
2001-09-28,64.4586
2001-10-31,60.8528
2001-11-30,61.7162
2001-12-31,44.6863
2002-01-31,70.5214
2002-02-28,70.5001
2002-03-29,0
2002-04-30,52.3749
2002-05-31,26.3022
2002-06-28,48.5673
2002-07-31,50.3205
2002-08-30,63.4671
2002-09-30,59.1244
2002-10-31,48.2924
2002-11-29,48.0251
2002-12-31,59.5178
2003-01-31,36.5470
2003-02-28,41.9591
2003-03-31,53.6469
2003-04-30,45.2334
2003-05-30,32.8937
2003-06-30,27.4876
2003-07-31,60.5654
2003-08-29,62.4864
2003-09-30,62.8351
2003-10-31,46.4914
2003-11-28,44.1690
2003-12-31,60.0429
2004-01-30,73.7164
2004-02-27,64.8925
2004-03-31,68.4097
2004-04-30,39.1244
2004-05-31,0
2004-06-30,72.4169
2004-07-30,62.6575
2004-08-31,62.8497
2004-09-30,49.6359
2004-10-29,50.5166
2004-11-30,64.4652
2004-12-31,36.9275
2005-01-31,36.3646
2005-02-28,77.6398
2005-03-31,32.5805
2005-04-29,26.6401
2005-05-31,38.8923
2005-06-30,48.6598
2005-07-29,44.7700
2005-08-31,44.3904
2005-09-30,43.5078
2005-10-31,63.2130
2005-11-30,59.6320
2005-12-30,26.9817
2006-01-31,42.3298
2006-02-28,60.1565
2006-03-31,59.7552
2006-04-28,37.9832
2006-05-31,44.2277
2006-06-30,42.2294
2006-07-31,46.2055
2006-08-31,65.0681
2006-09-29,52.9454
2006-10-31,51.6396
2006-11-30,57.7668
2006-12-29,66.7317
2007-01-31,57.5943
2007-02-28,55.1050
2007-03-30,52.3417
2007-04-30,72.2922
2007-05-31,86.3766
2007-06-29,38.2547
2007-07-31,54.5011
2007-08-31,46.7604
2007-09-28,77.0667
2007-10-31,44.2508
2007-11-30,33.9467
2007-12-31,51.6975
2008-01-31,46.5481
2008-02-29,42.2244
2008-03-31,44.7021
2008-04-30,70.3234
2008-05-30,59.2197
2008-06-30,23.0280
2008-07-31,42.8547
2008-08-29,44.3591
2008-09-30,37.7866
2008-10-31,36.1488
2008-11-28,57.1484
2008-12-31,64.5870
2009-01-30,51.1832
2009-02-27,45.7709
2009-03-31,63.6168
2009-04-30,31.6289
2009-05-29,56.3516
2009-06-30,63.0879
2009-07-31,51.2489
2009-08-31,47.4702
2009-09-30,45.7416
2009-10-30,53.4944
2009-11-30,45.8323
2009-12-31,77.5962
2010-01-29,24.9651
2010-02-26,52.2303
2010-03-31,34.7314
2010-04-30,31.3398
2010-05-31,0
2010-06-30,51.6519
2010-07-30,74.0244
2010-08-31,38.1538
2010-09-30,46.1892
2010-10-29,60.7268
2010-11-30,56.4974
2010-12-31,48.1468
2011-01-31,66.2028
2011-02-28,53.7468
2011-03-31,52.1238
2011-04-29,65.6934
2011-05-31,65.1514
2011-06-30,50.1941
2011-07-29,58.6636
2011-08-31,43.6572
2011-09-30,37.5008
2011-10-31,77.5354
2011-11-30,56.0896
2011-12-30,65.6490
2012-01-31,57.6572
2012-02-29,62.5601
2012-03-30,69.9076
2012-04-30,59.7807
2012-05-31,42.6545
2012-06-29,62.3594
2012-07-31,59.7309
2012-08-31,58.4892
2012-09-28,46.1946
2012-10-31,44.8907
2012-11-30,54.2021
2012-12-31,45.8563
2013-01-31,50.9555
2013-02-28,48.1527
2013-03-29,0
2013-04-30,28.9552
2013-05-31,50.3449
2013-06-28,40.1587
2013-07-31,65.6524
2013-08-30,54.2203
2013-09-30,34.5391
2013-10-31,67.3263
2013-11-29,63.2433
2013-12-31,59.4745
2014-01-31,42.1701
2014-02-28,78.6136
2014-03-31,47.7371
2014-04-30,58.8841
2014-05-30,68.5881
2014-06-30,73.1036
2014-07-31,40.7290
2014-08-29,66.5215
2014-09-30,34.9443
2014-10-31,66.4270
2014-11-28,62.1447
2014-12-31,50.1709
2015-01-30,31.6323
2015-02-27,52.8415
2015-03-31,31.6963
2015-04-30,53.2049
2015-05-29,56.4338
2015-06-30,36.2004
2015-07-31,42.8508
2015-08-31,57.7619
2015-09-30,43.1863
2015-10-30,56.4698
2015-11-30,58.7402
2015-12-31,62.7149
2016-01-29,28.7667
2016-02-29,54.4316
