,MFI_daily_20
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,44.5734
2007-06-29,43.3985
2007-07-31,39.7020
2007-08-31,53.2219
2007-09-28,64.7482
2007-10-31,56.8593
2007-11-30,72.4998
2007-12-31,60.0391
2008-01-31,40.0323
2008-02-29,32.0850
2008-03-31,51.7513
2008-04-30,45.1105
2008-05-30,72.5012
2008-06-30,48.7472
2008-07-31,59.7251
2008-08-29,47.9151
2008-09-30,18.8124
2008-10-31,31.8671
2008-11-28,42.4463
2008-12-31,59.7265
2009-01-30,49.3338
2009-02-27,66.1499
2009-03-31,56.5110
2009-04-30,63.9448
2009-05-29,39.1233
2009-06-30,54.5882
2009-07-31,61.4160
2009-08-31,74.1999
2009-09-30,39.5677
2009-10-30,70.8699
2009-11-30,59.2210
2009-12-31,43.7715
2010-01-29,31.5620
2010-02-26,39.0670
2010-03-31,56.3964
2010-04-30,70.4233
2010-05-31,0
2010-06-30,66.8244
2010-07-30,65.5961
2010-08-31,56.5389
2010-09-30,75.9631
2010-10-29,30.0423
2010-11-30,36.1375
2010-12-31,54.3980
2011-01-31,63.5778
2011-02-28,56.0369
2011-03-31,36.0384
2011-04-29,55.4152
2011-05-31,56.4499
2011-06-30,55.0670
2011-07-29,43.2126
2011-08-31,37.5483
2011-09-30,40.7548
2011-10-31,79.2412
2011-11-30,64.1001
2011-12-30,54.6691
2012-01-31,67.7927
2012-02-29,54.5269
2012-03-30,42.3400
2012-04-30,33.5343
2012-05-31,20.0976
2012-06-29,76.3214
2012-07-31,66.6584
2012-08-31,73.2230
2012-09-28,50.7947
2012-10-31,52.1174
2012-11-30,58.4615
2012-12-31,45.4485
2013-01-31,53.9806
2013-02-28,54.0461
2013-03-29,0
2013-04-30,65.6658
2013-05-31,58.4687
2013-06-28,53.8553
2013-07-31,64.1362
2013-08-30,64.4682
2013-09-30,59.4306
2013-10-31,78.0605
2013-11-29,72.3529
2013-12-31,57.3378
