,MFI_daily_20
2000-01-31,44.3127
2000-02-29,54.8468
2000-03-31,38.8344
2000-04-28,44.6193
2000-05-31,53.9504
2000-06-30,56.5391
2000-07-31,43.0950
2000-08-31,62.6007
2000-09-29,65.7436
2000-10-31,43.0356
2000-11-30,32.6745
2000-12-29,48.7088
2001-01-31,54.6981
2001-02-28,60.7713
2001-03-30,53.9356
2001-04-30,66.4512
2001-05-31,29.0706
2001-06-29,62.6589
2001-07-31,31.8015
2001-08-31,25.3905
2001-09-28,42.0706
2001-10-31,34.6356
2001-11-30,59.7126
2001-12-31,33.3046
2002-01-31,38.9182
2002-02-28,40.1578
2002-03-29,0
2002-04-30,37.9823
2002-05-31,41.5981
2002-06-28,28.4782
2002-07-31,41.2928
2002-08-30,61.9462
2002-09-30,45.7867
2002-10-31,49.1643
2002-11-29,35.6985
2002-12-31,47.1805
2003-01-31,65.2234
2003-02-28,71.8434
2003-03-31,47.3099
2003-04-30,57.2879
2003-05-30,37.3605
2003-06-30,40.7425
2003-07-31,44.8695
2003-08-29,38.3681
2003-09-30,54.6698
2003-10-31,49.9583
2003-11-28,42.1592
2003-12-31,58.7856
2004-01-30,74.8359
2004-02-27,20.4408
2004-03-31,32.2244
2004-04-30,46.8237
2004-05-31,0
2004-06-30,40.2075
2004-07-30,41.3057
2004-08-31,34.9040
2004-09-30,56.2457
2004-10-29,54.6069
2004-11-30,63.8389
2004-12-31,72.4636
2005-01-31,54.4280
2005-02-28,48.0167
2005-03-31,73.0332
2005-04-29,38.7795
2005-05-31,44.1291
2005-06-30,47.4480
2005-07-29,40.2182
2005-08-31,41.2611
2005-09-30,28.9056
2005-10-31,43.1298
2005-11-30,43.0204
2005-12-30,36.6203
2006-01-31,69.5839
2006-02-28,38.2490
2006-03-31,30.0467
2006-04-28,81.3200
2006-05-31,42.6167
2006-06-30,35.5436
2006-07-31,70.2620
2006-08-31,59.2890
2006-09-29,64.9388
2006-10-31,74.8229
2006-11-30,56.6322
2006-12-29,68.2784
2007-01-31,69.0062
2007-02-28,29.5910
2007-03-30,46.7123
2007-04-30,45.6243
2007-05-31,59.0780
2007-06-29,55.8787
2007-07-31,32.8408
2007-08-31,51.8106
2007-09-28,33.4394
2007-10-31,31.2228
2007-11-30,38.4098
2007-12-31,28.8886
2008-01-31,52.4623
2008-02-29,56.3029
2008-03-31,39.4971
2008-04-30,39.8022
2008-05-30,50.3298
2008-06-30,22.4999
2008-07-31,56.3680
2008-08-29,56.1176
2008-09-30,44.6397
2008-10-31,37.4457
2008-11-28,51.2811
2008-12-31,53.2878
2009-01-30,35.9668
2009-02-27,35.0739
2009-03-31,47.4900
2009-04-30,57.2129
2009-05-29,27.7839
2009-06-30,63.0344
2009-07-31,70.2417
2009-08-31,53.4960
2009-09-30,66.4196
2009-10-30,63.7579
2009-11-30,43.7293
2009-12-31,75.3737
2010-01-29,30.4649
2010-02-26,55.1636
2010-03-31,79.5970
2010-04-30,66.4755
2010-05-31,0
2010-06-30,50.3596
2010-07-30,70.9126
2010-08-31,22.3790
2010-09-30,52.1195
2010-10-29,77.1380
2010-11-30,26.2288
2010-12-31,48.9978
2011-01-31,61.2684
2011-02-28,68.3954
2011-03-31,42.8613
2011-04-29,74.5750
2011-05-31,43.0846
2011-06-30,56.3064
2011-07-29,24.0968
2011-08-31,37.3627
2011-09-30,48.7130
2011-10-31,58.3614
2011-11-30,40.3337
2011-12-30,64.4301
2012-01-31,64.9094
2012-02-29,78.1224
2012-03-30,54.7870
2012-04-30,53.0928
2012-05-31,33.1768
2012-06-29,73.7507
2012-07-31,56.6589
2012-08-31,42.0701
2012-09-28,69.7337
2012-10-31,65.2588
2012-11-30,50.5724
2012-12-31,49.3596
2013-01-31,46.1140
2013-02-28,57.5517
2013-03-29,0
2013-04-30,60.8773
2013-05-31,46.5786
2013-06-28,58.5215
2013-07-31,67.0178
2013-08-30,37.5264
2013-09-30,59.5961
2013-10-31,66.7219
2013-11-29,62.0769
2013-12-31,68.1027
2014-01-31,55.4092
2014-02-28,41.9700
2014-03-31,38.4203
2014-04-30,59.2568
2014-05-30,56.7549
2014-06-30,53.1026
2014-07-31,56.9081
2014-08-29,57.4900
2014-09-30,54.7640
2014-10-31,51.9907
2014-11-28,58.1741
2014-12-31,59.6165
2015-01-30,36.3977
2015-02-27,74.5498
2015-03-31,46.1055
2015-04-30,57.2107
2015-05-29,58.6740
2015-06-30,66.0422
2015-07-31,50.0557
2015-08-31,50.0102
2015-09-30,34.9478
2015-10-30,60.9824
2015-11-30,27.4234
2015-12-31,0
2016-01-29,0
2016-02-29,0
2016-03-31,0
2016-04-29,0
2016-05-31,0
2016-06-30,0
2016-07-29,0
2016-08-31,0
2016-09-30,0
2016-10-31,0
2016-11-30,0
2016-12-30,0
2017-01-31,0
2017-02-28,0
2017-03-31,0
2017-04-28,0
2017-05-31,0
2017-06-30,0
2017-07-31,0
2017-08-31,0
2017-09-29,0
2017-10-31,0
2017-11-30,0
2017-12-29,0
2018-01-31,0
2018-02-28,0
2018-03-30,0
2018-04-30,0
2018-05-31,0
2018-06-29,0
2018-07-31,0
2018-08-31,0
2018-09-28,0
2018-10-31,0
2018-11-30,0
2018-12-31,0
2019-01-31,0
2019-02-28,0
2019-03-29,0
2019-04-30,0
2019-05-31,0
2019-06-28,0
2019-07-31,0
2019-08-30,0
2019-09-30,0
2019-10-31,0
2019-11-29,0
2019-12-31,0
2020-01-31,0
2020-02-28,0
2020-03-31,0
2020-04-30,0
2020-05-29,0
2020-06-30,0
2020-07-31,0
2020-08-31,0
2020-09-30,0
2020-10-30,0
2020-11-30,0
2020-12-31,0
2021-01-29,0
2021-02-26,0
2021-03-31,0
2021-04-30,0
2021-05-31,0
2021-06-30,0
2021-07-30,0
2021-08-31,0
2021-09-30,0
2021-10-29,0
2021-11-30,0
2021-12-31,0
2022-01-31,0
2022-02-28,0
2022-03-31,0
