,MFI_daily_20
2000-01-31,41.3959
2000-02-29,40.0426
2000-03-31,69.4878
2000-04-28,63.8655
2000-05-31,67.1052
2000-06-30,18.6348
2000-07-31,55.0899
2000-08-31,38.6118
2000-09-29,67.1939
2000-10-31,68.1260
2000-11-30,64.0891
2000-12-29,57.2334
2001-01-31,31.6596
2001-02-28,13.5621
2001-03-30,58.7420
2001-04-30,58.8993
2001-05-31,52.3546
2001-06-29,45.1583
2001-07-31,74.2534
2001-08-31,50.5426
2001-09-28,25.1545
2001-10-31,56.6950
2001-11-30,55.3914
2001-12-31,61.2721
2002-01-31,63.5858
2002-02-28,33.0147
2002-03-29,0
2002-04-30,60.3358
2002-05-31,45.7117
2002-06-28,29.4595
2002-07-31,31.7058
2002-08-30,50.8645
2002-09-30,48.9218
2002-10-31,58.1378
2002-11-29,59.9229
2002-12-31,31.3167
2003-01-31,29.2674
2003-02-28,35.3449
2003-03-31,45.6111
2003-04-30,51.0832
2003-05-30,76.7630
2003-06-30,34.5367
2003-07-31,69.0540
2003-08-29,34.2096
2003-09-30,34.4930
2003-10-31,64.3922
2003-11-28,51.8564
2003-12-31,56.4303
2004-01-30,21.2485
2004-02-27,53.2291
2004-03-31,43.4758
2004-04-30,49.9197
2004-05-31,0
2004-06-30,63.6845
2004-07-30,23.8730
2004-08-31,49.4886
2004-09-30,48.8424
2004-10-29,47.7930
2004-11-30,48.7141
2004-12-31,44.9927
2005-01-31,52.4205
2005-02-28,65.9746
2005-03-31,27.5412
2005-04-29,16.0135
2005-05-31,59.4981
2005-06-30,41.9932
2005-07-29,79.2713
2005-08-31,26.7512
2005-09-30,55.2823
2005-10-31,41.5364
2005-11-30,73.4650
2005-12-30,21.5895
2006-01-31,52.5474
2006-02-28,30.6001
2006-03-31,58.8313
2006-04-28,33.2870
2006-05-31,67.4175
2006-06-30,29.0794
2006-07-31,29.4044
2006-08-31,56.5308
2006-09-29,76.6823
2006-10-31,43.7030
2006-11-30,53.7196
2006-12-29,39.5240
2007-01-31,49.4098
2007-02-28,55.0443
2007-03-30,25.9086
2007-04-30,53.8589
2007-05-31,56.1662
2007-06-29,54.8002
2007-07-31,29.1421
2007-08-31,51.4216
2007-09-28,59.7824
2007-10-31,47.4699
2007-11-30,30.7430
2007-12-31,59.5986
2008-01-31,53.0754
2008-02-29,26.0445
2008-03-31,45.6783
2008-04-30,54.6732
2008-05-30,42.2298
2008-06-30,47.3763
2008-07-31,64.1067
2008-08-29,50.8322
2008-09-30,31.4474
2008-10-31,35.3134
2008-11-28,50.7955
2008-12-31,56.3839
2009-01-30,41.9099
2009-02-27,34.0926
2009-03-31,66.2916
2009-04-30,43.5769
2009-05-29,32.3885
2009-06-30,44.2532
2009-07-31,71.1918
2009-08-31,80.6379
2009-09-30,74.4763
2009-10-30,55.3656
2009-11-30,58.5903
2009-12-31,37.5185
2010-01-29,45.6114
2010-02-26,69.5745
2010-03-31,77.8171
2010-04-30,48.1514
2010-05-31,0
2010-06-30,36.2842
2010-07-30,60.4216
2010-08-31,32.3389
2010-09-30,56.1499
2010-10-29,48.5919
2010-11-30,41.8510
2010-12-31,54.7696
2011-01-31,48.3956
2011-02-28,45.3805
2011-03-31,57.4700
2011-04-29,65.2917
2011-05-31,66.8619
2011-06-30,52.0259
2011-07-29,43.8215
2011-08-31,46.5599
2011-09-30,38.2118
2011-10-31,61.0582
2011-11-30,64.8308
2011-12-30,65.0507
2012-01-31,62.3120
2012-02-29,70.1808
2012-03-30,55.6093
2012-04-30,61.3876
2012-05-31,31.5905
2012-06-29,69.1704
2012-07-31,45.4206
2012-08-31,58.1979
2012-09-28,37.5361
2012-10-31,55.0451
2012-11-30,45.7540
2012-12-31,40.4831
2013-01-31,55.1420
2013-02-28,68.5307
2013-03-29,0
2013-04-30,61.7029
2013-05-31,69.7858
2013-06-28,57.5758
2013-07-31,64.3385
2013-08-30,61.3150
2013-09-30,78.8133
2013-10-31,68.5702
2013-11-29,72.2997
2013-12-31,68.1068
2014-01-31,34.4591
2014-02-28,58.1433
2014-03-31,44.2056
2014-04-30,42.9439
2014-05-30,77.8942
2014-06-30,50.3336
2014-07-31,43.5369
2014-08-29,74.5413
2014-09-30,64.7749
2014-10-31,68.1571
2014-11-28,77.6921
2014-12-31,68.8584
2015-01-30,62.9941
2015-02-27,69.3482
2015-03-31,40.9158
2015-04-30,38.8834
2015-05-29,71.2480
2015-06-30,53.6750
2015-07-31,52.0979
2015-08-31,55.8031
2015-09-30,48.0542
2015-10-30,77.5293
2015-11-30,50.8053
2015-12-31,42.4294
2016-01-29,37.8206
2016-02-29,39.8648
2016-03-31,55.7516
2016-04-29,47.3744
2016-05-31,85.0886
2016-06-30,47.4556
2016-07-29,64.9789
2016-08-31,77.8769
2016-09-30,32.1590
2016-10-31,22.4616
2016-11-30,71.2977
2016-12-30,40.4824
2017-01-31,49.2137
2017-02-28,34.1767
2017-03-31,64.8333
2017-04-28,30.6616
2017-05-31,69.0588
2017-06-30,45.3996
2017-07-31,55.0306
2017-08-31,53.2326
2017-09-29,62.7142
2017-10-31,59.9399
2017-11-30,71.5661
2017-12-29,42.5370
2018-01-31,78.7198
2018-02-28,61.9597
2018-03-30,0
2018-04-30,49.5792
2018-05-31,70.5434
2018-06-29,49.5331
2018-07-31,71.2528
2018-08-31,50.9784
2018-09-28,32.7374
2018-10-31,42.2463
2018-11-30,56.5764
2018-12-31,52.6941
2019-01-31,73.7541
2019-02-28,79.5502
2019-03-29,46.3414
2019-04-30,65.9266
2019-05-31,53.6394
2019-06-28,63.1073
2019-07-31,51.4672
2019-08-30,56.0023
2019-09-30,51.6365
2019-10-31,57.9087
2019-11-29,39.5045
2019-12-31,67.6956
2020-01-31,72.5816
2020-02-28,50.2609
2020-03-31,48.2855
2020-04-30,70.4295
2020-05-29,64.8545
2020-06-30,47.2950
2020-07-31,56.7755
2020-08-31,81.1939
2020-09-30,45.2745
2020-10-30,47.9750
2020-11-30,57.1955
2020-12-31,52.3268
2021-01-29,32.5194
2021-02-26,48.9229
2021-03-31,49.8849
2021-04-30,39.4563
2021-05-31,0
2021-06-30,74.6220
2021-07-30,41.2640
2021-08-31,61.6271
2021-09-30,48.7067
2021-10-29,82.8045
2021-11-30,50.5220
2021-12-31,64.7111
2022-01-31,30.4320
2022-02-28,37.8357
2022-03-31,67.5964
