,MFI_daily_20
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-30,0
2010-08-31,0
2010-09-30,0
2010-10-29,0
2010-11-30,0
2010-12-31,0
2011-01-31,46.1969
2011-02-28,53.9429
2011-03-31,39.5534
2011-04-29,69.2868
2011-05-31,55.5052
2011-06-30,49.3903
2011-07-29,59.3047
2011-08-31,60.1690
2011-09-30,48.0926
2011-10-31,75.6120
2011-11-30,74.9276
2011-12-30,72.0819
2012-01-31,90.8290
2012-02-29,69.3383
2012-03-30,41.9847
2012-04-30,45.3146
2012-05-31,34.4205
2012-06-29,41.4301
2012-07-31,69.0976
2012-08-31,82.1718
2012-09-28,64.3341
2012-10-31,74.4540
2012-11-30,46.4414
2012-12-31,58.0296
2013-01-31,76.8010
2013-02-28,68.3816
2013-03-29,0
2013-04-30,41.1453
2013-05-31,59.6188
2013-06-28,43.4353
2013-07-31,83.4144
2013-08-30,51.4205
2013-09-30,50.6601
2013-10-31,43.9152
2013-11-29,55.7615
2013-12-31,35.5215
2014-01-31,33.0285
2014-02-28,81.1461
2014-03-31,41.5473
2014-04-30,36.6217
2014-05-30,79.2630
2014-06-30,65.8070
2014-07-31,50.2440
2014-08-29,75.6979
2014-09-30,49.4812
2014-10-31,59.3749
