,MFI_daily_20
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-30,0
2010-08-31,0
2010-09-30,0
2010-10-29,0
2010-11-30,0
2010-12-31,0
2011-01-31,67.5928
2011-02-28,38.7834
2011-03-31,68.3579
2011-04-29,61.1212
2011-05-31,63.6471
2011-06-30,40.4726
2011-07-29,11.8503
2011-08-31,37.4205
2011-09-30,29.4853
2011-10-31,68.4466
2011-11-30,81.7339
2011-12-30,68.9843
2012-01-31,55.5666
2012-02-29,32.0063
2012-03-30,71.9019
2012-04-30,46.2658
2012-05-31,34.1386
2012-06-29,68.1094
2012-07-31,46.6221
2012-08-31,64.1270
2012-09-28,72.1410
2012-10-31,61.2455
2012-11-30,50.9972
2012-12-31,30.5046
2013-01-31,58.8540
2013-02-28,64.4946
2013-03-29,0
2013-04-30,52.1991
2013-05-31,41.4485
2013-06-28,62.2221
2013-07-31,59.8866
2013-08-30,46.8258
2013-09-30,60.0558
2013-10-31,63.2009
2013-11-29,53.1446
2013-12-31,55.0236
2014-01-31,37.8817
2014-02-28,68.1083
2014-03-31,69.8871
2014-04-30,47.4333
2014-05-30,33.2316
2014-06-30,74.5306
2014-07-31,21.8941
2014-08-29,61.8956
2014-09-30,64.6309
2014-10-31,50.8288
