,MFI_daily_20
2000-01-31,60.1065
2000-02-29,81.9621
2000-03-31,19.4581
2000-04-28,54.4853
2000-05-31,46.5209
2000-06-30,55.8800
2000-07-31,52.7472
2000-08-31,52.3978
2000-09-29,49.1792
2000-10-31,39.5056
2000-11-30,35.3733
2000-12-29,39.9055
2001-01-31,71.1927
2001-02-28,25.7178
2001-03-30,35.1033
2001-04-30,60.0026
2001-05-31,65.4990
2001-06-29,45.1807
2001-07-31,40.7722
2001-08-31,56.1645
2001-09-28,44.6814
2001-10-31,48.4605
2001-11-30,72.0122
2001-12-31,55.8486
2002-01-31,27.3886
2002-02-28,42.6882
2002-03-29,0
2002-04-30,23.3054
2002-05-31,36.9898
2002-06-28,49.0252
2002-07-31,53.6108
2002-08-30,60.9775
2002-09-30,46.6756
2002-10-31,81.8302
2002-11-29,64.6219
2002-12-31,42.2375
2003-01-31,37.3744
2003-02-28,16.7987
2003-03-31,30.1695
2003-04-30,61.2501
2003-05-30,67.6676
2003-06-30,49.7591
2003-07-31,43.6553
2003-08-29,41.7037
2003-09-30,67.7748
2003-10-31,77.4034
2003-11-28,55.8098
2003-12-31,28.2490
2004-01-30,68.5763
2004-02-27,49.3797
2004-03-31,59.9387
2004-04-30,50.5544
2004-05-31,0
2004-06-30,55.5400
2004-07-30,42.0727
2004-08-31,58.0069
2004-09-30,70.1284
2004-10-29,32.2440
2004-11-30,31.4554
2004-12-31,35.3818
2005-01-31,24.7523
2005-02-28,52.3465
2005-03-31,33.9175
2005-04-29,53.8576
2005-05-31,66.8878
2005-06-30,48.4438
2005-07-29,55.0780
2005-08-31,56.8451
2005-09-30,34.2689
2005-10-31,38.1313
2005-11-30,59.7482
2005-12-30,36.1154
2006-01-31,40.5778
2006-02-28,55.1925
2006-03-31,41.6446
2006-04-28,41.1854
2006-05-31,52.1348
2006-06-30,45.8386
2006-07-31,48.3732
2006-08-31,59.5304
2006-09-29,43.3161
2006-10-31,77.8233
2006-11-30,68.8231
2006-12-29,68.4433
2007-01-31,58.3546
2007-02-28,31.4945
2007-03-30,53.7429
2007-04-30,68.1767
2007-05-31,31.7912
2007-06-29,40.8707
2007-07-31,26.2474
2007-08-31,65.6239
2007-09-28,60.8559
2007-10-31,72.8567
2007-11-30,47.3210
2007-12-31,69.4646
2008-01-31,72.0421
2008-02-29,37.2611
2008-03-31,50.3857
2008-04-30,49.3016
2008-05-30,40.0965
2008-06-30,28.4564
2008-07-31,71.1342
2008-08-29,73.6060
2008-09-30,23.0552
2008-10-31,35.3961
2008-11-28,43.7315
2008-12-31,61.9166
2009-01-30,45.0240
2009-02-27,37.7776
2009-03-31,53.5385
2009-04-30,54.4518
2009-05-29,73.3326
2009-06-30,38.4585
2009-07-31,70.1932
2009-08-31,77.6257
2009-09-30,33.8209
2009-10-30,40.1877
2009-11-30,75.5887
2009-12-31,59.7254
2010-01-29,69.5892
2010-02-26,52.0808
2010-03-31,66.8997
2010-04-30,42.9733
2010-05-31,0
2010-06-30,50.3016
2010-07-30,76.3528
2010-08-31,56.6882
2010-09-30,81.9587
2010-10-29,46.5129
2010-11-30,33.5628
2010-12-31,65.2455
2011-01-31,36.4467
2011-02-28,31.4212
2011-03-31,69.8979
2011-04-29,84.5081
2011-05-31,43.5491
2011-06-30,81.0504
2011-07-29,33.3798
2011-08-31,48.1376
2011-09-30,34.5591
2011-10-31,39.6645
2011-11-30,39.3782
2011-12-30,54.8931
2012-01-31,63.5581
2012-02-29,48.5275
2012-03-30,71.0005
2012-04-30,72.8140
2012-05-31,41.6706
2012-06-29,62.8510
2012-07-31,70.7422
2012-08-31,52.7452
