,MFI_daily_20
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-30,0
2010-08-31,0
2010-09-30,0
2010-10-29,0
2010-11-30,0
2010-12-31,0
2011-01-31,0
2011-02-28,0
2011-03-31,0
2011-04-29,0
2011-05-31,0
2011-06-30,0
2011-07-29,0
2011-08-31,0
2011-09-30,0
2011-10-31,0
2011-11-30,0
2011-12-30,0
2012-01-31,0
2012-02-29,0
2012-03-30,0
2012-04-30,0
2012-05-31,0
2012-06-29,0
2012-07-31,0
2012-08-31,0
2012-09-28,0
2012-10-31,0
2012-11-30,0
2012-12-31,0
2013-01-31,0
2013-02-28,0
2013-03-29,0
2013-04-30,0
2013-05-31,0
2013-06-28,53.0365
2013-07-31,54.7554
2013-08-30,33.4578
2013-09-30,61.4566
2013-10-31,35.8806
2013-11-29,50.4810
2013-12-31,68.1213
2014-01-31,61.0336
2014-02-28,79.3702
2014-03-31,25.8975
2014-04-30,41.0956
2014-05-30,72.1846
2014-06-30,41.9060
2014-07-31,63.0418
2014-08-29,51.2700
2014-09-30,57.7455
2014-10-31,62.3379
2014-11-28,50.4279
2014-12-31,46.0053
2015-01-30,62.6586
2015-02-27,65.9060
2015-03-31,68.9708
2015-04-30,45.1983
2015-05-29,79.3563
2015-06-30,73.4975
2015-07-31,42.7487
2015-08-31,39.9348
2015-09-30,51.8746
2015-10-30,37.1272
2015-11-30,64.2734
2015-12-31,58.3630
2016-01-29,30.4021
2016-02-29,61.9393
2016-03-31,42.4893
2016-04-29,50.5621
2016-05-31,41.6910
2016-06-30,32.2307
2016-07-29,83.0526
2016-08-31,46.2163
2016-09-30,66.3982
2016-10-31,33.9889
2016-11-30,65.0921
2016-12-30,47.7435
2017-01-31,51.7190
2017-02-28,56.4948
2017-03-31,69.7608
2017-04-28,71.1752
2017-05-31,62.9634
2017-06-30,49.0079
2017-07-31,61.8274
2017-08-31,27.9409
2017-09-29,57.9715
2017-10-31,83.2777
2017-11-30,32.9568
2017-12-29,23.1623
2018-01-31,69.9158
2018-02-28,36.7624
2018-03-30,0
2018-04-30,51.8548
2018-05-31,42.6870
2018-06-29,44.1643
2018-07-31,84.9136
2018-08-31,52.0897
2018-09-28,58.1712
2018-10-31,48.3327
2018-11-30,43.0252
2018-12-31,29.6945
2019-01-31,68.2324
2019-02-28,72.5175
2019-03-29,44.3761
2019-04-30,55.6426
2019-05-31,48.0836
2019-06-28,66.8568
2019-07-31,39.5726
2019-08-30,37.8632
2019-09-30,56.8311
2019-10-31,46.6110
2019-11-29,55.1960
2019-12-31,65.2848
2020-01-31,48.2759
2020-02-28,42.2478
2020-03-31,46.7485
2020-04-30,78.8675
2020-05-29,63.2445
2020-06-30,35.5658
2020-07-31,55.4348
2020-08-31,45.7700
2020-09-30,41.1509
2020-10-30,36.6212
2020-11-30,53.9670
2020-12-31,63.4198
2021-01-29,47.5588
2021-02-26,64.3134
2021-03-31,50.1865
2021-04-30,81.3731
2021-05-31,0
2021-06-30,46.0909
2021-07-30,45.4950
2021-08-31,53.5402
2021-09-30,35.8783
2021-10-29,51.2906
2021-11-30,52.7853
2021-12-31,66.4479
2022-01-31,24.9425
2022-02-28,20.6932
2022-03-31,58.0064
