,MFI_daily_20
2000-01-31,62.1199
2000-02-29,73.5538
2000-03-31,48.5449
2000-04-28,36.7553
2000-05-31,39.6736
2000-06-30,68.7944
2000-07-31,58.7813
2000-08-31,85.3654
2000-09-29,46.4632
2000-10-31,47.2557
2000-11-30,29.6153
2000-12-29,45.5832
2001-01-31,47.7568
2001-02-28,27.9885
2001-03-30,43.8763
2001-04-30,69.6989
2001-05-31,25.3758
2001-06-29,35.4197
2001-07-31,48.6719
2001-08-31,17.1736
2001-09-28,34.0529
2001-10-31,54.0610
2001-11-30,69.8741
2001-12-31,49.0840
2002-01-31,40.6814
2002-02-28,19.6893
2002-03-29,0
2002-04-30,32.7127
2002-05-31,49.1498
2002-06-28,32.0535
2002-07-31,55.3229
2002-08-30,50.4352
2002-09-30,30.0770
2002-10-31,60.5264
2002-11-29,76.6404
2002-12-31,28.6186
2003-01-31,57.4518
2003-02-28,49.2269
2003-03-31,44.6149
2003-04-30,63.7574
2003-05-30,68.0848
2003-06-30,41.6086
2003-07-31,61.1245
2003-08-29,67.1499
2003-09-30,35.6845
2003-10-31,59.6049
2003-11-28,62.7924
2003-12-31,50.1017
2004-01-30,65.9097
2004-02-27,43.9222
2004-03-31,54.7406
2004-04-30,34.2097
2004-05-31,0
2004-06-30,76.8306
2004-07-30,46.2490
2004-08-31,51.7541
2004-09-30,49.3013
2004-10-29,55.1403
2004-11-30,51.4658
2004-12-31,39.1427
2005-01-31,29.2522
2005-02-28,33.2823
2005-03-31,47.9018
2005-04-29,44.5821
2005-05-31,80.0737
2005-06-30,66.0416
2005-07-29,42.6889
2005-08-31,34.4578
2005-09-30,61.4618
2005-10-31,59.0782
2005-11-30,48.8361
2005-12-30,47.4994
2006-01-31,37.5408
2006-02-28,58.5636
2006-03-31,51.9017
2006-04-28,43.3626
2006-05-31,35.5584
2006-06-30,38.8695
2006-07-31,32.3543
2006-08-31,61.7920
2006-09-29,74.3513
2006-10-31,47.5192
2006-11-30,80.4628
2006-12-29,25.9067
2007-01-31,49.8794
2007-02-28,45.8508
2007-03-30,53.6101
2007-04-30,65.3296
2007-05-31,63.9560
2007-06-29,58.9488
2007-07-31,58.4773
2007-08-31,59.7210
2007-09-28,52.6662
2007-10-31,53.3903
2007-11-30,26.9431
2007-12-31,61.3373
