,MFI_daily_20
2000-01-31,48.4857
2000-02-29,29.6692
2000-03-31,37.1192
2000-04-28,52.9059
2000-05-31,68.7221
2000-06-30,58.8228
2000-07-31,67.2776
2000-08-31,24.6592
2000-09-29,57.5620
2000-10-31,66.1583
2000-11-30,60.5170
2000-12-29,46.7757
2001-01-31,43.2153
2001-02-28,48.2890
2001-03-30,37.2495
2001-04-30,62.8380
2001-05-31,37.1285
2001-06-29,55.2997
2001-07-31,52.7163
2001-08-31,74.7512
2001-09-28,46.4517
2001-10-31,58.5348
2001-11-30,47.9349
2001-12-31,63.0021
2002-01-31,28.1198
2002-02-28,71.6614
2002-03-29,0
2002-04-30,59.9225
2002-05-31,46.5606
2002-06-28,55.0158
2002-07-31,32.8378
2002-08-30,55.8731
2002-09-30,48.5929
2002-10-31,34.8840
2002-11-29,39.1421
2002-12-31,47.0309
2003-01-31,32.4425
2003-02-28,64.8852
2003-03-31,49.5408
2003-04-30,40.0005
2003-05-30,66.5865
2003-06-30,55.1873
2003-07-31,47.8984
2003-08-29,27.7236
2003-09-30,49.1837
2003-10-31,59.3662
2003-11-28,55.5902
2003-12-31,77.1408
2004-01-30,40.4753
2004-02-27,32.1472
2004-03-31,57.5921
2004-04-30,42.2638
2004-05-31,0
2004-06-30,47.5762
2004-07-30,21.3006
2004-08-31,39.9596
2004-09-30,32.5557
2004-10-29,40.4393
2004-11-30,41.8551
2004-12-31,62.2850
2005-01-31,45.6392
2005-02-28,62.7746
2005-03-31,32.5157
2005-04-29,62.4286
2005-05-31,52.0040
2005-06-30,38.6269
2005-07-29,71.9747
2005-08-31,36.2803
2005-09-30,38.5773
2005-10-31,42.6611
2005-11-30,49.0261
2005-12-30,16.6969
2006-01-31,70.4373
2006-02-28,62.7599
2006-03-31,57.2748
2006-04-28,46.5645
2006-05-31,70.1395
2006-06-30,38.4031
2006-07-31,75.0362
2006-08-31,72.2429
2006-09-29,56.4830
2006-10-31,51.5298
2006-11-30,50.7702
2006-12-29,66.8730
2007-01-31,38.0827
2007-02-28,38.8933
2007-03-30,58.2179
2007-04-30,79.5812
2007-05-31,51.1294
2007-06-29,49.3818
2007-07-31,43.8261
2007-08-31,41.0320
2007-09-28,85.2556
2007-10-31,70.5724
2007-11-30,55.2911
2007-12-31,64.3651
2008-01-31,37.3338
2008-02-29,45.3633
2008-03-31,59.9706
2008-04-30,42.7659
2008-05-30,43.5648
2008-06-30,24.3177
2008-07-31,47.5815
2008-08-29,51.0460
2008-09-30,45.7947
2008-10-31,29.6314
2008-11-28,49.0492
2008-12-31,32.0926
2009-01-30,43.6454
2009-02-27,37.1461
2009-03-31,85.9489
2009-04-30,44.7107
2009-05-29,62.2688
2009-06-30,45.5766
2009-07-31,42.1615
2009-08-31,46.4904
2009-09-30,81.1950
2009-10-30,59.2831
2009-11-30,77.9696
2009-12-31,46.1494
2010-01-29,27.3624
2010-02-26,32.1773
2010-03-31,66.8348
2010-04-30,35.6062
2010-05-31,0
2010-06-30,55.0133
2010-07-30,71.5044
2010-08-31,38.7829
2010-09-30,74.4356
2010-10-29,69.5763
2010-11-30,61.1802
2010-12-31,63.6846
2011-01-31,30.0982
2011-02-28,57.7378
2011-03-31,52.7250
2011-04-29,59.5627
2011-05-31,52.2111
2011-06-30,54.4726
2011-07-29,53.5880
2011-08-31,45.3614
2011-09-30,47.3760
2011-10-31,59.2981
2011-11-30,58.9522
2011-12-30,64.0871
2012-01-31,39.5002
2012-02-29,56.9411
2012-03-30,86.6484
2012-04-30,54.2514
2012-05-31,36.1722
2012-06-29,61.1831
2012-07-31,46.4734
2012-08-31,26.1568
2012-09-28,47.2731
2012-10-31,42.6672
2012-11-30,59.8601
2012-12-31,24.4847
2013-01-31,43.5032
2013-02-28,51.0524
2013-03-29,0
