,MFI_daily_20
2000-01-31,56.1290
2000-02-29,72.2114
2000-03-31,59.0380
2000-04-28,80.2773
2000-05-31,31.7821
2000-06-30,53.2732
2000-07-31,75.9875
2000-08-31,76.4081
2000-09-29,54.7613
2000-10-31,58.4634
2000-11-30,53.3798
2000-12-29,67.0889
2001-01-31,34.0219
2001-02-28,61.4078
2001-03-30,14.6101
2001-04-30,57.0807
2001-05-31,48.6641
2001-06-29,63.0163
2001-07-31,77.2693
2001-08-31,50.6021
2001-09-28,50.3470
2001-10-31,60.0667
2001-11-30,44.0767
2001-12-31,64.6697
2002-01-31,54.6856
2002-02-28,55.2328
2002-03-29,0
2002-04-30,48.7232
2002-05-31,51.1662
2002-06-28,41.9355
2002-07-31,51.2573
2002-08-30,31.7510
2002-09-30,56.2692
2002-10-31,43.7110
2002-11-29,50.6642
2002-12-31,29.2412
2003-01-31,63.2777
2003-02-28,56.7897
2003-03-31,57.3762
2003-04-30,41.0945
2003-05-30,58.2187
2003-06-30,39.6954
2003-07-31,48.3148
2003-08-29,34.0045
2003-09-30,30.3298
2003-10-31,82.8395
2003-11-28,49.8813
2003-12-31,54.7735
2004-01-30,77.6256
2004-02-27,41.9866
2004-03-31,54.9946
2004-04-30,48.2220
2004-05-31,0
2004-06-30,33.8772
2004-07-30,36.4785
2004-08-31,61.0767
2004-09-30,80.7054
2004-10-29,78.8150
2004-11-30,73.3358
2004-12-31,57.9474
2005-01-31,51.5983
2005-02-28,54.7408
2005-03-31,48.8615
2005-04-29,64.4379
2005-05-31,43.2322
2005-06-30,59.9434
2005-07-29,44.5345
2005-08-31,40.6989
2005-09-30,42.6404
2005-10-31,41.0519
2005-11-30,81.4893
2005-12-30,54.2243
2006-01-31,75.0047
2006-02-28,50.9685
2006-03-31,60.2365
2006-04-28,29.8561
2006-05-31,63.7194
2006-06-30,70.0696
2006-07-31,60.1153
2006-08-31,63.5152
2006-09-29,29.1186
2006-10-31,64.9638
2006-11-30,56.8465
2006-12-29,76.6798
2007-01-31,42.8508
2007-02-28,68.9119
2007-03-30,72.8008
2007-04-30,69.1928
2007-05-31,41.8270
2007-06-29,32.7903
2007-07-31,41.9855
2007-08-31,58.2864
2007-09-28,47.0747
2007-10-31,25.8266
2007-11-30,54.6617
2007-12-31,71.9739
2008-01-31,47.6216
2008-02-29,58.4474
2008-03-31,45.4508
2008-04-30,54.5406
2008-05-30,32.3504
2008-06-30,40.5935
2008-07-31,61.4079
2008-08-29,67.6533
2008-09-30,35.0660
2008-10-31,60.2361
2008-11-28,50.9397
2008-12-31,66.0049
2009-01-30,38.0701
2009-02-27,34.9791
2009-03-31,61.6521
2009-04-30,56.8934
2009-05-29,38.8403
2009-06-30,67.5719
2009-07-31,56.4416
2009-08-31,62.6465
2009-09-30,45.6574
2009-10-30,58.6567
2009-11-30,71.8245
2009-12-31,56.0611
2010-01-29,28.0188
2010-02-26,62.3021
2010-03-31,54.8377
2010-04-30,54.2452
2010-05-31,0
2010-06-30,48.1161
2010-07-30,32.4015
2010-08-31,39.2731
2010-09-30,58.9403
2010-10-29,49.7226
2010-11-30,60.2573
2010-12-31,58.2140
2011-01-31,40.7445
2011-02-28,38.2931
2011-03-31,51.2263
2011-04-29,74.7719
2011-05-31,61.3489
2011-06-30,44.2675
2011-07-29,37.1720
2011-08-31,44.8698
2011-09-30,46.5396
2011-10-31,63.4997
2011-11-30,66.8868
2011-12-30,42.4980
2012-01-31,68.1706
2012-02-29,52.7216
2012-03-30,51.5660
2012-04-30,44.3659
2012-05-31,42.0350
2012-06-29,88.6030
2012-07-31,44.5519
2012-08-31,57.4039
2012-09-28,68.1964
2012-10-31,26.6688
2012-11-30,41.5756
2012-12-31,62.4387
2013-01-31,61.0511
2013-02-28,37.6090
2013-03-29,0
2013-04-30,49.3565
2013-05-31,66.4977
2013-06-28,42.2982
2013-07-31,41.6099
2013-08-30,36.5923
2013-09-30,52.9016
2013-10-31,53.7494
2013-11-29,56.5207
2013-12-31,42.6446
2014-01-31,52.9245
2014-02-28,54.7323
2014-03-31,56.8853
2014-04-30,44.7759
2014-05-30,64.6843
2014-06-30,60.9948
2014-07-31,43.3990
2014-08-29,56.1460
2014-09-30,42.0600
2014-10-31,65.4087
2014-11-28,34.3475
2014-12-31,66.5631
2015-01-30,53.9091
2015-02-27,62.7358
2015-03-31,58.2105
2015-04-30,46.7214
2015-05-29,57.9977
2015-06-30,68.0744
2015-07-31,49.2709
2015-08-31,32.7468
2015-09-30,39.8969
2015-10-30,64.8429
2015-11-30,51.2206
2015-12-31,41.6591
2016-01-29,22.5964
2016-02-29,58.1061
2016-03-31,70.0486
2016-04-29,70.9199
2016-05-31,60.1084
2016-06-30,48.3327
2016-07-29,74.3899
2016-08-31,39.8736
2016-09-30,53.5202
2016-10-31,37.0036
2016-11-30,38.8243
2016-12-30,68.6968
2017-01-31,56.5272
2017-02-28,80.0099
2017-03-31,62.3844
2017-04-28,61.5183
2017-05-31,48.0176
2017-06-30,68.2457
2017-07-31,43.6082
2017-08-31,40.9289
2017-09-29,40.1062
2017-10-31,62.3050
2017-11-30,38.3986
2017-12-29,56.1759
2018-01-31,74.7383
2018-02-28,50.0080
2018-03-30,0
2018-04-30,72.9928
2018-05-31,45.4150
2018-06-29,53.2440
2018-07-31,42.7426
2018-08-31,34.8812
2018-09-28,58.2378
2018-10-31,39.3290
