,MFI_daily_20
2000-01-31,46.1088
2000-02-29,63.0008
2000-03-31,66.9354
2000-04-28,67.5052
2000-05-31,45.8439
2000-06-30,54.3816
2000-07-31,70.6670
2000-08-31,52.2548
2000-09-29,69.1623
2000-10-31,58.6891
2000-11-30,47.1896
2000-12-29,62.5364
2001-01-31,49.1416
2001-02-28,67.1303
2001-03-30,46.9321
2001-04-30,50.7178
2001-05-31,50.5196
2001-06-29,51.9015
2001-07-31,71.1637
2001-08-31,51.3018
2001-09-28,61.0667
2001-10-31,72.2863
2001-11-30,39.1310
2001-12-31,56.8806
2002-01-31,82.5439
2002-02-28,73.0674
2002-03-29,0
2002-04-30,51.0590
2002-05-31,56.1716
2002-06-28,58.5044
2002-07-31,48.9842
2002-08-30,49.5153
2002-09-30,60.6438
2002-10-31,32.3751
2002-11-29,38.3132
2002-12-31,68.2552
2003-01-31,20.5457
2003-02-28,40.7446
2003-03-31,46.7120
2003-04-30,60.8356
2003-05-30,42.9638
2003-06-30,46.5491
2003-07-31,57.4738
2003-08-29,49.6510
2003-09-30,29.4599
2003-10-31,57.8947
2003-11-28,37.4786
2003-12-31,82.0863
2004-01-30,34.1922
2004-02-27,36.2262
2004-03-31,32.8555
2004-04-30,57.7352
2004-05-31,0
2004-06-30,68.5616
2004-07-30,60.5853
2004-08-31,47.8239
2004-09-30,43.0840
2004-10-29,44.2909
2004-11-30,85.5652
2004-12-31,30.4688
2005-01-31,51.7792
2005-02-28,61.3144
2005-03-31,67.5489
2005-04-29,63.5033
2005-05-31,61.1782
2005-06-30,42.5245
2005-07-29,34.6708
2005-08-31,50.8641
2005-09-30,51.1196
2005-10-31,31.2504
2005-11-30,41.4131
2005-12-30,66.9750
2006-01-31,60.8661
2006-02-28,81.1859
2006-03-31,47.0763
2006-04-28,39.0066
2006-05-31,36.7686
2006-06-30,49.8735
2006-07-31,79.0971
2006-08-31,44.7309
2006-09-29,53.8320
2006-10-31,54.3094
2006-11-30,53.6259
2006-12-29,51.9444
2007-01-31,54.2544
2007-02-28,61.2196
2007-03-30,51.7632
2007-04-30,34.2553
2007-05-31,67.2380
2007-06-29,46.2166
2007-07-31,54.6387
2007-08-31,44.8612
2007-09-28,71.2841
2007-10-31,48.0550
2007-11-30,39.9407
2007-12-31,27.1784
2008-01-31,53.5678
2008-02-29,40.4975
2008-03-31,39.8801
2008-04-30,68.7213
2008-05-30,49.1140
2008-06-30,35.3640
2008-07-31,46.3695
2008-08-29,62.3648
2008-09-30,40.4820
2008-10-31,37.2684
2008-11-28,56.4951
2008-12-31,62.4839
2009-01-30,45.5996
2009-02-27,22.4017
2009-03-31,68.6004
2009-04-30,67.1294
2009-05-29,55.3455
2009-06-30,30.6381
2009-07-31,30.8812
2009-08-31,56.1694
2009-09-30,51.7075
2009-10-30,35.2247
2009-11-30,69.4205
2009-12-31,46.4295
2010-01-29,47.8752
2010-02-26,50.3247
2010-03-31,66.4245
2010-04-30,48.4642
2010-05-31,0
2010-06-30,31.0573
2010-07-30,60.5720
2010-08-31,26.8967
2010-09-30,48.5038
2010-10-29,46.7908
2010-11-30,45.0674
2010-12-31,39.0799
2011-01-31,81.1858
2011-02-28,50.2105
2011-03-31,54.6563
2011-04-29,48.8454
2011-05-31,36.1951
2011-06-30,59.8476
2011-07-29,37.2637
2011-08-31,56.0503
2011-09-30,52.0812
2011-10-31,66.9220
2011-11-30,64.2710
2011-12-30,54.3655
2012-01-31,55.5717
2012-02-29,83.7701
2012-03-30,53.8741
2012-04-30,52.2349
2012-05-31,45.1530
2012-06-29,63.7018
2012-07-31,53.9345
2012-08-31,64.4529
2012-09-28,46.9457
2012-10-31,54.2518
2012-11-30,50.8919
2012-12-31,49.2536
2013-01-31,33.2000
2013-02-28,54.5975
2013-03-29,0
2013-04-30,63.3408
2013-05-31,73.2757
2013-06-28,49.8455
2013-07-31,79.3547
2013-08-30,65.3900
2013-09-30,63.0131
2013-10-31,60.7463
2013-11-29,77.4386
2013-12-31,69.2318
2014-01-31,57.6430
2014-02-28,79.9056
2014-03-31,43.1465
2014-04-30,59.5016
2014-05-30,65.3424
2014-06-30,51.9438
2014-07-31,65.7174
2014-08-29,59.7507
2014-09-30,67.0751
2014-10-31,64.6502
2014-11-28,50.1903
2014-12-31,57.9230
2015-01-30,41.6061
2015-02-27,58.6473
2015-03-31,57.5823
2015-04-30,35.8912
2015-05-29,53.6530
2015-06-30,36.5179
2015-07-31,71.2103
2015-08-31,38.1192
2015-09-30,60.8616
2015-10-30,62.0879
2015-11-30,46.5582
2015-12-31,42.1492
2016-01-29,44.7734
2016-02-29,58.4084
2016-03-31,64.0413
2016-04-29,71.1426
2016-05-31,56.6701
2016-06-30,61.9576
2016-07-29,64.4283
