,MFI_daily_20
2000-01-31,12.1762
2000-02-29,65.3948
2000-03-31,66.8165
2000-04-28,56.0346
2000-05-31,38.0234
2000-06-30,29.1939
2000-07-31,59.8766
2000-08-31,52.6803
2000-09-29,41.4646
2000-10-31,49.4594
2000-11-30,26.3609
2000-12-29,59.6275
2001-01-31,65.0007
2001-02-28,57.8987
2001-03-30,51.3328
2001-04-30,49.5710
2001-05-31,57.3120
2001-06-29,54.2555
2001-07-31,56.7265
2001-08-31,51.4754
2001-09-28,35.8360
2001-10-31,42.6017
2001-11-30,81.6210
2001-12-31,48.7691
2002-01-31,39.5463
2002-02-28,48.3086
2002-03-29,0
2002-04-30,43.8443
2002-05-31,48.9148
2002-06-28,38.6025
2002-07-31,26.1861
2002-08-30,59.2607
2002-09-30,45.1702
2002-10-31,45.5802
2002-11-29,42.3020
2002-12-31,36.7466
2003-01-31,34.3831
2003-02-28,58.8185
2003-03-31,51.9354
2003-04-30,63.5302
2003-05-30,48.8177
2003-06-30,57.4084
2003-07-31,51.9169
2003-08-29,75.3865
2003-09-30,40.4198
2003-10-31,57.5633
2003-11-28,35.3740
2003-12-31,37.0724
2004-01-30,44.8354
2004-02-27,67.6442
2004-03-31,48.9986
2004-04-30,31.9665
2004-05-31,0
2004-06-30,50.3040
2004-07-30,34.2953
2004-08-31,59.3620
2004-09-30,70.1345
2004-10-29,51.6677
2004-11-30,48.6416
2004-12-31,63.6007
2005-01-31,52.6063
2005-02-28,68.3634
2005-03-31,35.2055
2005-04-29,27.2852
2005-05-31,54.9403
2005-06-30,60.1098
2005-07-29,76.8618
2005-08-31,47.5752
2005-09-30,51.5900
2005-10-31,29.6194
2005-11-30,76.8675
2005-12-30,47.5045
2006-01-31,29.2324
2006-02-28,48.9776
2006-03-31,40.2307
2006-04-28,34.0523
2006-05-31,42.9237
2006-06-30,42.6893
2006-07-31,30.8898
2006-08-31,45.5290
2006-09-29,58.6351
2006-10-31,53.7988
2006-11-30,49.9539
2006-12-29,53.3109
2007-01-31,68.8041
2007-02-28,49.6545
2007-03-30,47.9288
2007-04-30,42.4635
2007-05-31,55.3895
2007-06-29,31.5816
2007-07-31,24.9097
2007-08-31,61.0697
2007-09-28,41.8925
2007-10-31,37.6334
2007-11-30,35.7088
2007-12-31,28.0645
2008-01-31,62.4757
2008-02-29,50.4841
2008-03-31,43.7026
2008-04-30,46.0720
2008-05-30,35.1705
2008-06-30,32.2494
2008-07-31,50.8980
2008-08-29,71.3307
2008-09-30,44.0247
2008-10-31,38.9579
2008-11-28,46.8816
2008-12-31,64.5536
2009-01-30,36.6747
2009-02-27,46.2754
2009-03-31,68.2896
2009-04-30,70.5807
2009-05-29,34.0417
2009-06-30,38.1513
2009-07-31,79.7347
2009-08-31,46.3438
2009-09-30,52.1103
2009-10-30,42.6164
2009-11-30,71.0966
2009-12-31,45.6229
2010-01-29,21.7846
2010-02-26,52.3789
2010-03-31,60.1796
2010-04-30,65.1172
2010-05-31,0
2010-06-30,25.9475
2010-07-30,47.8666
2010-08-31,47.4526
2010-09-30,59.5016
2010-10-29,34.9186
2010-11-30,48.6859
2010-12-31,47.4741
2011-01-31,51.8498
2011-02-28,48.3805
2011-03-31,57.3805
2011-04-29,55.1726
2011-05-31,18.5880
2011-06-30,46.6386
2011-07-29,34.2224
2011-08-31,46.0767
2011-09-30,47.8484
2011-10-31,65.2142
2011-11-30,76.5117
2011-12-30,72.5170
2012-01-31,65.0780
2012-02-29,50.0922
2012-03-30,73.4832
2012-04-30,42.3736
2012-05-31,30.6833
2012-06-29,61.5807
2012-07-31,37.8860
2012-08-31,68.1450
2012-09-28,58.2255
2012-10-31,56.8380
2012-11-30,73.0305
2012-12-31,40.8128
2013-01-31,67.9606
2013-02-28,58.5137
2013-03-29,0
2013-04-30,44.5205
2013-05-31,64.1461
2013-06-28,37.1798
2013-07-31,66.1669
2013-08-30,66.1684
2013-09-30,48.8907
2013-10-31,49.0194
2013-11-29,46.2986
2013-12-31,61.7105
2014-01-31,28.1288
2014-02-28,66.7671
2014-03-31,45.6372
2014-04-30,29.6891
2014-05-30,57.6165
2014-06-30,75.5725
2014-07-31,63.0490
2014-08-29,65.7491
2014-09-30,64.0169
2014-10-31,63.8649
2014-11-28,73.8118
2014-12-31,70.0056
2015-01-30,43.4134
2015-02-27,56.0723
2015-03-31,52.5961
2015-04-30,40.1166
2015-05-29,54.6046
2015-06-30,30.3203
2015-07-31,50.5014
2015-08-31,61.9805
2015-09-30,55.7735
2015-10-30,65.6891
2015-11-30,56.4898
2015-12-31,51.6708
2016-01-29,34.1442
2016-02-29,38.9431
2016-03-31,79.2330
2016-04-29,53.1181
2016-05-31,60.3435
2016-06-30,48.9436
2016-07-29,58.4292
2016-08-31,27.5800
2016-09-30,41.1239
2016-10-31,33.5039
2016-11-30,61.7044
2016-12-30,41.0696
2017-01-31,54.7356
2017-02-28,48.9668
2017-03-31,51.0205
2017-04-28,70.9061
2017-05-31,33.9805
2017-06-30,33.2103
2017-07-31,54.9526
2017-08-31,47.7873
2017-09-29,67.5252
2017-10-31,48.0087
2017-11-30,61.7825
2017-12-29,66.5850
2018-01-31,62.0679
2018-02-28,25.1192
2018-03-30,0
2018-04-30,47.5190
2018-05-31,77.1205
2018-06-29,52.0393
2018-07-31,58.7420
2018-08-31,83.8808
2018-09-28,68.1191
2018-10-31,22.5343
2018-11-30,57.6711
2018-12-31,61.3591
2019-01-31,55.9688
2019-02-28,70.0378
2019-03-29,60.9299
2019-04-30,54.6120
2019-05-31,31.5120
2019-06-28,62.7677
2019-07-31,51.4986
2019-08-30,62.1568
2019-09-30,22.5499
2019-10-31,73.0352
2019-11-29,70.6541
2019-12-31,43.4821
2020-01-31,52.2870
2020-02-28,32.3966
2020-03-31,44.9832
2020-04-30,69.4367
2020-05-29,74.9012
2020-06-30,53.0942
