,MFI_daily_20
2000-01-31,43.5209
2000-02-29,78.9421
2000-03-31,64.9764
2000-04-28,47.2561
2000-05-31,54.6084
2000-06-30,33.4759
2000-07-31,58.8269
2000-08-31,45.6236
2000-09-29,41.8337
2000-10-31,52.1710
2000-11-30,36.8848
2000-12-29,48.6891
2001-01-31,75.1825
2001-02-28,40.3356
2001-03-30,40.4253
2001-04-30,66.2733
2001-05-31,63.4181
2001-06-29,25.2447
2001-07-31,49.0612
2001-08-31,22.7543
2001-09-28,30.8204
2001-10-31,78.3208
2001-11-30,58.4583
2001-12-31,58.6610
2002-01-31,64.6254
2002-02-28,43.2725
2002-03-29,0
2002-04-30,34.8644
2002-05-31,45.2023
2002-06-28,42.1246
2002-07-31,43.0501
2002-08-30,39.7453
2002-09-30,69.1152
2002-10-31,75.8408
2002-11-29,65.1286
2002-12-31,36.7537
2003-01-31,58.9563
2003-02-28,32.7072
2003-03-31,31.7512
2003-04-30,68.2984
2003-05-30,50.8215
2003-06-30,43.8187
2003-07-31,56.1869
2003-08-29,82.0937
2003-09-30,69.8349
2003-10-31,41.7025
2003-11-28,44.2094
2003-12-31,60.9625
2004-01-30,76.0232
2004-02-27,55.2001
2004-03-31,57.2045
2004-04-30,43.6011
2004-05-31,0
2004-06-30,41.9114
2004-07-30,67.6079
2004-08-31,62.6959
2004-09-30,78.5495
2004-10-29,42.1642
2004-11-30,72.9649
2004-12-31,22.7930
2005-01-31,53.0523
2005-02-28,54.7221
2005-03-31,54.6193
2005-04-29,23.3745
2005-05-31,68.2151
2005-06-30,46.4841
2005-07-29,46.1981
2005-08-31,33.3302
2005-09-30,57.3371
2005-10-31,53.4618
2005-11-30,23.7642
2005-12-30,47.4888
2006-01-31,58.1078
2006-02-28,43.0798
2006-03-31,44.0118
2006-04-28,47.7139
2006-05-31,32.6023
2006-06-30,39.5260
2006-07-31,53.9258
2006-08-31,68.4988
2006-09-29,77.4504
2006-10-31,40.9122
2006-11-30,68.8483
2006-12-29,54.9623
2007-01-31,33.1416
2007-02-28,47.1053
2007-03-30,60.6433
2007-04-30,47.5783
2007-05-31,67.3483
2007-06-29,61.0806
2007-07-31,49.9144
2007-08-31,48.5277
2007-09-28,52.3751
2007-10-31,49.3541
2007-11-30,32.9446
2007-12-31,36.7106
2008-01-31,62.9921
2008-02-29,42.8812
2008-03-31,46.4035
2008-04-30,45.0538
2008-05-30,76.3091
2008-06-30,49.0914
2008-07-31,60.5241
2008-08-29,63.1051
2008-09-30,34.8153
2008-10-31,33.6136
2008-11-28,40.1436
2008-12-31,67.0626
2009-01-30,59.5439
2009-02-27,33.5821
2009-03-31,67.8124
2009-04-30,58.3578
2009-05-29,41.1217
2009-06-30,51.3278
2009-07-31,23.4331
2009-08-31,45.6598
2009-09-30,58.0000
2009-10-30,66.4860
2009-11-30,39.2536
2009-12-31,51.8305
2010-01-29,53.3633
2010-02-26,42.3112
2010-03-31,43.7780
2010-04-30,49.8253
2010-05-31,0
2010-06-30,49.8604
2010-07-30,46.6089
2010-08-31,51.7197
2010-09-30,67.2725
2010-10-29,65.9572
2010-11-30,60.6946
2010-12-31,36.1237
2011-01-31,54.9235
2011-02-28,55.4305
2011-03-31,53.7850
2011-04-29,74.0411
2011-05-31,53.1708
2011-06-30,58.7107
2011-07-29,43.1800
2011-08-31,44.7080
2011-09-30,46.7603
2011-10-31,55.4465
2011-11-30,37.1300
2011-12-30,40.7386
2012-01-31,65.4404
2012-02-29,62.2056
2012-03-30,64.0550
2012-04-30,35.9850
2012-05-31,20.0648
2012-06-29,40.2159
2012-07-31,59.7718
2012-08-31,63.8919
2012-09-28,58.4464
2012-10-31,53.0931
2012-11-30,40.0278
2012-12-31,41.2373
2013-01-31,79.4423
2013-02-28,62.7263
2013-03-29,0
2013-04-30,45.0410
2013-05-31,31.0954
2013-06-28,49.8820
2013-07-31,78.2595
2013-08-30,46.1920
2013-09-30,32.4929
2013-10-31,58.7176
2013-11-29,47.7876
2013-12-31,62.0739
2014-01-31,49.0527
2014-02-28,49.1522
2014-03-31,46.9497
2014-04-30,62.4607
2014-05-30,68.7760
2014-06-30,70.4508
2014-07-31,56.3944
2014-08-29,58.7606
2014-09-30,49.7858
2014-10-31,67.8957
2014-11-28,67.9846
2014-12-31,48.8594
2015-01-30,35.1789
2015-02-27,41.2549
2015-03-31,44.2967
2015-04-30,62.6858
2015-05-29,46.9925
2015-06-30,33.0316
2015-07-31,46.1803
2015-08-31,47.8910
2015-09-30,56.7266
2015-10-30,61.3369
2015-11-30,37.1034
2015-12-31,56.6937
2016-01-29,35.2435
2016-02-29,49.5757
2016-03-31,61.5919
2016-04-29,31.3050
2016-05-31,68.5630
2016-06-30,83.6640
2016-07-29,30.7204
2016-08-31,82.0931
2016-09-30,70.2502
2016-10-31,46.2444
2016-11-30,50.9578
2016-12-30,55.8822
2017-01-31,85.7260
2017-02-28,58.0794
2017-03-31,71.4664
2017-04-28,67.3508
2017-05-31,51.2756
2017-06-30,43.2159
2017-07-31,60.4439
2017-08-31,41.7933
2017-09-29,57.0127
2017-10-31,51.5428
2017-11-30,40.4526
2017-12-29,52.2186
2018-01-31,46.3257
2018-02-28,52.8329
2018-03-30,0
2018-04-30,73.6661
2018-05-31,47.9140
2018-06-29,47.0773
2018-07-31,46.5309
2018-08-31,60.1465
2018-09-28,58.8768
2018-10-31,33.0511
2018-11-30,53.5877
2018-12-31,28.8836
2019-01-31,78.4740
2019-02-28,74.5131
2019-03-29,54.4410
2019-04-30,54.2185
2019-05-31,42.4156
2019-06-28,74.0749
2019-07-31,46.0829
2019-08-30,65.2913
2019-09-30,46.8935
2019-10-31,55.7003
2019-11-29,72.6897
2019-12-31,54.4417
2020-01-31,79.8327
2020-02-28,64.7219
2020-03-31,56.0203
2020-04-30,65.4477
2020-05-29,55.1269
2020-06-30,50.2982
2020-07-31,73.7431
2020-08-31,63.0582
2020-09-30,36.4929
2020-10-30,35.7159
2020-11-30,40.3786
2020-12-31,67.3951
2021-01-29,51.0982
2021-02-26,30.9759
2021-03-31,51.4188
2021-04-30,55.6161
2021-05-31,0
2021-06-30,39.0960
2021-07-30,25.6484
2021-08-31,58.0886
2021-09-30,41.2257
2021-10-29,53.9096
2021-11-30,28.1294
2021-12-31,82.4865
2022-01-31,42.1637
2022-02-28,60.5129
2022-03-31,55.4843
