,MFI_daily_20
2000-01-31,49.6589
2000-02-29,53.9056
2000-03-31,47.5250
2000-04-28,35.4971
2000-05-31,37.3678
2000-06-30,36.5011
2000-07-31,69.7486
2000-08-31,45.1604
2000-09-29,26.3193
2000-10-31,49.6479
2000-11-30,56.7411
2000-12-29,69.4769
2001-01-31,53.8393
2001-02-28,65.6265
2001-03-30,42.7609
2001-04-30,79.9269
2001-05-31,53.9728
2001-06-29,6.2280
2001-07-31,47.3067
2001-08-31,53.6255
2001-09-28,45.8850
2001-10-31,49.4764
2001-11-30,65.0004
2001-12-31,55.0592
2002-01-31,76.2215
2002-02-28,51.5225
2002-03-29,0
2002-04-30,43.8314
2002-05-31,72.3262
2002-06-28,52.2543
2002-07-31,36.0334
2002-08-30,43.6582
2002-09-30,33.7300
2002-10-31,44.5787
2002-11-29,61.9015
2002-12-31,23.4015
2003-01-31,38.5833
2003-02-28,54.8044
2003-03-31,41.8878
2003-04-30,46.7937
2003-05-30,70.5103
2003-06-30,49.9872
2003-07-31,38.1695
2003-08-29,56.0988
2003-09-30,27.4030
2003-10-31,67.3878
2003-11-28,61.1221
2003-12-31,66.3147
2004-01-30,57.7574
2004-02-27,81.8483
2004-03-31,47.4778
2004-04-30,46.1064
2004-05-31,0
2004-06-30,72.7353
2004-07-30,65.0866
2004-08-31,34.2089
2004-09-30,65.5146
2004-10-29,35.7252
2004-11-30,66.9564
2004-12-31,60.3180
2005-01-31,58.0234
2005-02-28,70.8408
2005-03-31,41.7089
2005-04-29,39.0419
2005-05-31,49.4318
2005-06-30,29.9288
2005-07-29,75.9123
2005-08-31,50.9017
2005-09-30,64.1202
2005-10-31,55.8671
2005-11-30,58.4359
2005-12-30,32.6658
2006-01-31,71.2762
2006-02-28,40.9621
2006-03-31,71.7678
2006-04-28,48.5431
2006-05-31,36.3721
2006-06-30,50.3626
2006-07-31,48.9210
2006-08-31,33.4490
2006-09-29,43.2310
2006-10-31,53.2535
2006-11-30,54.2135
2006-12-29,47.1083
2007-01-31,71.7383
2007-02-28,45.9805
2007-03-30,67.7853
2007-04-30,48.4688
2007-05-31,58.8035
2007-06-29,36.0616
2007-07-31,31.9440
2007-08-31,49.4822
