,MFI_daily_20
2000-01-31,50.1904
2000-02-29,39.8180
2000-03-31,62.1055
2000-04-28,58.1420
2000-05-31,63.6863
2000-06-30,39.6899
2000-07-31,64.2073
2000-08-31,53.4447
2000-09-29,40.8228
2000-10-31,50.6205
2000-11-30,54.4531
2000-12-29,67.3901
2001-01-31,64.9731
2001-02-28,53.4927
2001-03-30,41.6743
2001-04-30,37.6539
2001-05-31,58.6385
2001-06-29,57.5357
2001-07-31,66.4416
2001-08-31,36.0565
2001-09-28,22.0038
2001-10-31,18.2145
2001-11-30,62.2537
2001-12-31,42.4222
2002-01-31,77.4337
2002-02-28,63.6537
2002-03-29,0
2002-04-30,75.2433
2002-05-31,60.7625
2002-06-28,35.4227
2002-07-31,38.9627
2002-08-30,52.3011
2002-09-30,30.0836
2002-10-31,73.8788
2002-11-29,49.2346
2002-12-31,44.2368
2003-01-31,44.6253
2003-02-28,70.0911
2003-03-31,31.2664
2003-04-30,70.1660
2003-05-30,78.6691
2003-06-30,48.9679
2003-07-31,41.8737
2003-08-29,61.9457
2003-09-30,50.0429
2003-10-31,73.4593
2003-11-28,44.5310
2003-12-31,59.2825
2004-01-30,87.0504
2004-02-27,66.0171
2004-03-31,59.9099
2004-04-30,31.6349
2004-05-31,0
2004-06-30,54.9279
2004-07-30,56.1868
2004-08-31,52.9987
2004-09-30,60.7583
2004-10-29,54.0553
2004-11-30,49.5067
2004-12-31,35.2264
2005-01-31,47.4899
2005-02-28,68.4738
2005-03-31,64.0512
2005-04-29,65.3194
2005-05-31,56.7887
2005-06-30,60.9596
2005-07-29,51.4022
2005-08-31,24.9015
2005-09-30,35.2990
2005-10-31,57.8830
2005-11-30,24.3797
2005-12-30,33.7926
2006-01-31,44.5498
2006-02-28,36.5492
2006-03-31,79.0886
2006-04-28,59.7907
2006-05-31,42.5147
2006-06-30,57.4396
2006-07-31,72.6583
2006-08-31,56.5716
2006-09-29,58.2236
2006-10-31,55.9212
2006-11-30,67.3343
2006-12-29,62.5003
2007-01-31,67.8294
2007-02-28,50.8318
2007-03-30,62.7658
2007-04-30,41.0589
2007-05-31,63.7999
2007-06-29,13.1718
2007-07-31,31.1843
2007-08-31,65.5665
2007-09-28,49.3762
2007-10-31,51.8644
2007-11-30,44.9289
2007-12-31,69.2106
2008-01-31,37.3860
2008-02-29,46.5680
2008-03-31,41.3636
2008-04-30,27.4659
2008-05-30,35.2727
2008-06-30,33.4543
2008-07-31,52.9306
2008-08-29,64.4130
2008-09-30,60.1718
2008-10-31,42.2381
2008-11-28,77.1984
2008-12-31,50.1562
2009-01-30,55.1949
2009-02-27,56.0772
2009-03-31,50.6902
2009-04-30,39.5347
2009-05-29,46.7869
2009-06-30,33.2471
2009-07-31,64.1083
2009-08-31,40.9817
2009-09-30,46.6151
2009-10-30,65.3275
2009-11-30,42.9900
2009-12-31,59.9485
2010-01-29,34.0458
2010-02-26,50.7774
2010-03-31,53.5896
2010-04-30,58.1009
2010-05-31,0
2010-06-30,67.9597
2010-07-30,67.6282
2010-08-31,32.9061
2010-09-30,53.2116
2010-10-29,35.7431
2010-11-30,59.4077
2010-12-31,92.4644
2011-01-31,39.7151
2011-02-28,49.9113
2011-03-31,46.3211
2011-04-29,74.7477
2011-05-31,45.6199
2011-06-30,62.8064
2011-07-29,39.2821
2011-08-31,44.6705
2011-09-30,50.2932
