,MFI_daily_20
2000-01-31,68.1840
2000-02-29,35.8869
2000-03-31,50.0827
2000-04-28,72.3699
2000-05-31,60.4413
2000-06-30,64.7202
2000-07-31,34.4063
2000-08-31,35.8005
2000-09-29,65.0183
2000-10-31,48.3376
2000-11-30,66.1500
2000-12-29,66.4328
2001-01-31,49.6128
2001-02-28,58.4124
2001-03-30,32.2160
2001-04-30,57.5222
2001-05-31,43.1659
2001-06-29,43.1958
2001-07-31,51.8929
2001-08-31,47.8001
2001-09-28,50.1436
2001-10-31,51.9955
2001-11-30,66.2459
2001-12-31,39.9207
2002-01-31,51.3327
2002-02-28,52.6106
2002-03-29,0
2002-04-30,37.2203
2002-05-31,40.2226
2002-06-28,53.9786
2002-07-31,53.5753
2002-08-30,49.2931
2002-09-30,33.3106
2002-10-31,60.3939
2002-11-29,54.5975
2002-12-31,47.0573
2003-01-31,55.9449
2003-02-28,43.0561
2003-03-31,63.6967
2003-04-30,46.9563
2003-05-30,52.2365
2003-06-30,75.0799
2003-07-31,39.3814
2003-08-29,36.2798
2003-09-30,54.7256
2003-10-31,40.7356
2003-11-28,71.3812
2003-12-31,68.2256
2004-01-30,52.6921
2004-02-27,58.2176
2004-03-31,43.6060
2004-04-30,49.2685
2004-05-31,0
2004-06-30,52.3669
2004-07-30,37.5792
2004-08-31,60.1451
2004-09-30,45.2046
2004-10-29,39.5953
2004-11-30,51.9408
2004-12-31,60.9141
2005-01-31,19.6288
2005-02-28,59.6681
2005-03-31,49.9234
2005-04-29,55.6704
2005-05-31,67.2964
2005-06-30,43.8105
2005-07-29,35.0438
2005-08-31,32.6793
2005-09-30,41.3928
2005-10-31,24.7689
2005-11-30,54.8511
2005-12-30,46.1237
2006-01-31,59.7716
2006-02-28,60.2675
2006-03-31,35.2320
2006-04-28,59.1915
2006-05-31,41.1456
2006-06-30,34.2209
2006-07-31,77.5400
2006-08-31,74.1473
2006-09-29,63.3581
2006-10-31,29.8921
2006-11-30,65.0731
2006-12-29,43.6011
2007-01-31,53.4689
2007-02-28,35.5989
2007-03-30,56.3702
2007-04-30,62.3275
2007-05-31,70.3820
2007-06-29,28.2985
2007-07-31,34.6164
2007-08-31,61.6523
2007-09-28,48.5986
2007-10-31,54.4425
2007-11-30,43.1087
2007-12-31,36.9863
2008-01-31,64.6917
2008-02-29,43.3343
2008-03-31,26.2053
2008-04-30,35.6210
2008-05-30,32.9784
2008-06-30,28.2696
2008-07-31,47.3931
2008-08-29,52.7423
2008-09-30,42.0615
2008-10-31,44.7665
2008-11-28,52.1250
2008-12-31,67.8998
2009-01-30,14.0789
2009-02-27,43.5175
2009-03-31,69.5500
2009-04-30,50.4099
2009-05-29,74.3353
2009-06-30,49.2919
2009-07-31,64.1053
2009-08-31,58.5813
2009-09-30,55.8892
2009-10-30,63.2371
2009-11-30,67.9018
2009-12-31,43.7525
2010-01-29,53.7276
2010-02-26,41.9201
2010-03-31,51.6616
2010-04-30,38.8520
2010-05-31,0
2010-06-30,43.1564
2010-07-30,61.6567
2010-08-31,45.0092
2010-09-30,67.0981
2010-10-29,61.0535
2010-11-30,28.8650
2010-12-31,52.5103
2011-01-31,67.3302
2011-02-28,64.4253
2011-03-31,53.2171
2011-04-29,59.3115
2011-05-31,68.3837
2011-06-30,60.3424
2011-07-29,36.1277
2011-08-31,56.9550
2011-09-30,43.0337
2011-10-31,62.6681
2011-11-30,61.2159
2011-12-30,75.3753
2012-01-31,30.2838
2012-02-29,53.0959
2012-03-30,62.3002
2012-04-30,53.7509
2012-05-31,43.6519
2012-06-29,66.5980
2012-07-31,63.6385
2012-08-31,42.4507
2012-09-28,62.2774
2012-10-31,50.4681
2012-11-30,55.7088
2012-12-31,46.4843
2013-01-31,69.7898
2013-02-28,39.1595
2013-03-29,0
2013-04-30,46.7803
2013-05-31,38.2557
2013-06-28,55.1502
2013-07-31,74.2162
2013-08-30,33.7237
2013-09-30,42.0779
2013-10-31,73.4895
2013-11-29,68.1733
2013-12-31,38.5639
2014-01-31,56.4787
2014-02-28,62.0160
2014-03-31,55.1970
2014-04-30,42.2152
2014-05-30,35.6415
2014-06-30,64.3521
2014-07-31,36.9758
2014-08-29,52.6843
2014-09-30,48.1801
2014-10-31,71.5506
2014-11-28,67.2214
2014-12-31,63.4953
2015-01-30,57.4174
2015-02-27,67.5565
2015-03-31,44.8420
2015-04-30,35.8806
2015-05-29,65.0903
2015-06-30,26.5445
2015-07-31,59.9715
2015-08-31,45.2254
2015-09-30,52.6407
2015-10-30,47.3029
2015-11-30,38.6803
2015-12-31,43.9097
2016-01-29,40.0533
2016-02-29,38.8676
2016-03-31,54.0496
2016-04-29,67.9284
2016-05-31,62.5327
2016-06-30,51.2544
2016-07-29,71.1388
2016-08-31,36.1504
2016-09-30,36.9531
2016-10-31,40.2408
2016-11-30,47.5298
2016-12-30,43.7877
2017-01-31,54.2092
2017-02-28,77.4551
2017-03-31,41.5953
2017-04-28,33.6396
2017-05-31,39.6024
2017-06-30,55.2600
2017-07-31,34.6387
2017-08-31,55.9479
2017-09-29,56.7650
2017-10-31,43.1360
2017-11-30,67.8764
2017-12-29,49.3804
2018-01-31,57.3100
2018-02-28,42.3196
2018-03-30,0
2018-04-30,64.4751
2018-05-31,66.0775
2018-06-29,61.9923
2018-07-31,83.5687
2018-08-31,53.5113
2018-09-28,71.1091
2018-10-31,40.5958
2018-11-30,62.1543
2018-12-31,49.5971
2019-01-31,50.7687
2019-02-28,50.7320
2019-03-29,53.1789
2019-04-30,40.4505
2019-05-31,60.9106
2019-06-28,72.2758
2019-07-31,32.4034
2019-08-30,34.3589
2019-09-30,55.3044
2019-10-31,63.5258
2019-11-29,49.8054
2019-12-31,54.4218
2020-01-31,38.9296
2020-02-28,33.2277
2020-03-31,41.7333
2020-04-30,62.6928
2020-05-29,47.2852
2020-06-30,44.6487
2020-07-31,67.0896
2020-08-31,34.1782
2020-09-30,42.3854
2020-10-30,45.5318
2020-11-30,56.9654
2020-12-31,22.6239
2021-01-29,42.4432
2021-02-26,33.3307
2021-03-31,52.9726
2021-04-30,65.2441
2021-05-31,0
2021-06-30,36.1825
2021-07-30,70.0285
2021-08-31,64.6671
2021-09-30,40.4505
2021-10-29,52.0521
2021-11-30,66.7847
2021-12-31,58.7851
2022-01-31,42.9452
2022-02-28,23.6656
2022-03-31,67.0836
