,MFI_daily_20
2000-01-31,36.6262
2000-02-29,12.4376
2000-03-31,45.4912
2000-04-28,60.2724
2000-05-31,57.3076
2000-06-30,34.2109
2000-07-31,68.5075
2000-08-31,49.8150
2000-09-29,59.0324
2000-10-31,68.4214
2000-11-30,40.9616
2000-12-29,58.9729
2001-01-31,69.4899
2001-02-28,34.9546
2001-03-30,44.7301
2001-04-30,52.0889
2001-05-31,40.2382
2001-06-29,31.4361
2001-07-31,59.2511
2001-08-31,36.9680
2001-09-28,65.3324
2001-10-31,46.4581
2001-11-30,42.3984
2001-12-31,50.5590
2002-01-31,75.4640
2002-02-28,54.2000
2002-03-29,0
2002-04-30,54.9218
2002-05-31,61.8441
2002-06-28,37.5737
2002-07-31,38.6658
2002-08-30,74.4683
2002-09-30,39.7496
2002-10-31,39.3984
2002-11-29,40.3382
2002-12-31,53.0058
2003-01-31,47.9223
2003-02-28,25.1107
2003-03-31,56.3620
2003-04-30,61.9237
2003-05-30,56.2496
2003-06-30,65.2607
2003-07-31,39.3228
2003-08-29,59.4739
2003-09-30,27.0868
2003-10-31,40.9062
2003-11-28,56.2480
2003-12-31,74.6658
2004-01-30,54.3943
2004-02-27,54.5225
2004-03-31,46.3123
2004-04-30,54.6143
2004-05-31,0
2004-06-30,76.1453
2004-07-30,36.0021
2004-08-31,57.7109
2004-09-30,68.7040
2004-10-29,36.6391
2004-11-30,76.9890
2004-12-31,27.1164
2005-01-31,31.5445
2005-02-28,58.9173
2005-03-31,53.8926
2005-04-29,40.6609
2005-05-31,63.2398
2005-06-30,50.6347
2005-07-29,52.6327
2005-08-31,42.5449
2005-09-30,33.0485
2005-10-31,47.5735
2005-11-30,68.9357
2005-12-30,65.7756
2006-01-31,60.4753
2006-02-28,58.3861
2006-03-31,64.2139
2006-04-28,48.1582
2006-05-31,54.3929
2006-06-30,48.1417
2006-07-31,49.7582
2006-08-31,68.9581
2006-09-29,54.6362
2006-10-31,66.4192
2006-11-30,61.0032
2006-12-29,71.7708
2007-01-31,47.4082
2007-02-28,58.9028
2007-03-30,47.3143
2007-04-30,57.0148
2007-05-31,64.9559
2007-06-29,30.8054
2007-07-31,56.9209
2007-08-31,53.1414
2007-09-28,70.9678
2007-10-31,45.4367
2007-11-30,48.6511
2007-12-31,50.6402
2008-01-31,64.2701
2008-02-29,60.1062
2008-03-31,46.6274
2008-04-30,51.8338
2008-05-30,45.9638
2008-06-30,24.5547
2008-07-31,54.9094
2008-08-29,57.9415
2008-09-30,44.1157
2008-10-31,44.0157
2008-11-28,40.1947
2008-12-31,51.4723
2009-01-30,49.2895
2009-02-27,32.7938
2009-03-31,56.9551
2009-04-30,58.5887
2009-05-29,65.0566
2009-06-30,39.8264
2009-07-31,61.3672
2009-08-31,42.6930
2009-09-30,48.0435
2009-10-30,31.7655
2009-11-30,81.7122
2009-12-31,47.1730
2010-01-29,42.7649
2010-02-26,63.1371
2010-03-31,55.0939
2010-04-30,49.4117
2010-05-31,0
2010-06-30,44.7274
2010-07-30,47.5152
2010-08-31,36.1199
2010-09-30,50.4138
2010-10-29,48.1093
2010-11-30,45.8131
2010-12-31,41.2124
2011-01-31,62.7786
2011-02-28,48.0043
2011-03-31,33.2922
2011-04-29,35.4661
2011-05-31,45.8212
2011-06-30,44.7383
2011-07-29,31.9656
2011-08-31,42.9801
2011-09-30,42.2343
2011-10-31,65.8393
2011-11-30,61.8159
2011-12-30,78.4335
2012-01-31,52.9636
2012-02-29,64.2916
