,MFI_daily_20
2000-01-31,42.2640
2000-02-29,44.7331
2000-03-31,53.2490
2000-04-28,50.7962
2000-05-31,64.6007
2000-06-30,43.8318
2000-07-31,45.9814
2000-08-31,64.6974
2000-09-29,68.2747
2000-10-31,83.7402
2000-11-30,58.3029
2000-12-29,65.1983
2001-01-31,45.9464
2001-02-28,59.5386
2001-03-30,53.9761
2001-04-30,66.3007
2001-05-31,58.5936
2001-06-29,37.1575
2001-07-31,47.7104
2001-08-31,52.0100
2001-09-28,36.2799
2001-10-31,32.8674
2001-11-30,45.2357
2001-12-31,67.8436
2002-01-31,73.6433
2002-02-28,50.8008
2002-03-29,0
2002-04-30,36.5713
2002-05-31,47.2152
2002-06-28,42.8667
2002-07-31,43.4634
2002-08-30,52.1222
2002-09-30,37.3335
2002-10-31,58.7921
2002-11-29,29.1113
2002-12-31,64.1023
2003-01-31,41.1861
2003-02-28,34.9329
2003-03-31,41.4917
2003-04-30,60.4566
2003-05-30,72.9182
2003-06-30,46.4868
2003-07-31,51.8456
2003-08-29,59.4037
2003-09-30,53.4351
2003-10-31,42.0173
2003-11-28,66.0676
2003-12-31,57.1019
2004-01-30,60.9327
2004-02-27,58.9025
2004-03-31,36.7203
2004-04-30,33.6303
2004-05-31,0
2004-06-30,32.9691
2004-07-30,51.4445
2004-08-31,38.6246
2004-09-30,27.7794
2004-10-29,56.8605
2004-11-30,74.5403
2004-12-31,59.3904
2005-01-31,19.9719
2005-02-28,40.8133
2005-03-31,59.5700
2005-04-29,25.8981
2005-05-31,61.8315
2005-06-30,40.8416
2005-07-29,52.8427
2005-08-31,32.1795
2005-09-30,32.6051
2005-10-31,47.1017
2005-11-30,54.0658
2005-12-30,34.0531
2006-01-31,43.8637
2006-02-28,33.2283
2006-03-31,73.2932
2006-04-28,17.7953
2006-05-31,51.9077
2006-06-30,54.6126
2006-07-31,34.9080
2006-08-31,89.3347
2006-09-29,63.3370
2006-10-31,78.9580
2006-11-30,51.2254
2006-12-29,48.8962
2007-01-31,37.5806
2007-02-28,48.4130
2007-03-30,62.8532
2007-04-30,53.3821
2007-05-31,37.3168
2007-06-29,31.6673
2007-07-31,32.9646
2007-08-31,59.6403
2007-09-28,65.5909
2007-10-31,45.9511
2007-11-30,42.8043
2007-12-31,50.2774
2008-01-31,57.8071
2008-02-29,35.4297
2008-03-31,41.2929
2008-04-30,59.2572
2008-05-30,36.6589
2008-06-30,36.4775
2008-07-31,63.5336
2008-08-29,70.9842
2008-09-30,57.5824
2008-10-31,41.3732
2008-11-28,44.8169
2008-12-31,63.0413
2009-01-30,40.2967
2009-02-27,44.2401
2009-03-31,60.2268
2009-04-30,54.6660
2009-05-29,53.5066
2009-06-30,32.7002
2009-07-31,75.1597
2009-08-31,60.2608
2009-09-30,39.2279
2009-10-30,68.0716
2009-11-30,50.7711
2009-12-31,49.1794
2010-01-29,44.4181
2010-02-26,61.9941
2010-03-31,57.1900
2010-04-30,68.9009
2010-05-31,0
2010-06-30,55.8866
2010-07-30,64.3358
2010-08-31,11.3926
2010-09-30,58.7945
2010-10-29,54.4209
2010-11-30,29.5263
2010-12-31,51.4264
2011-01-31,46.0410
2011-02-28,44.0611
2011-03-31,49.4443
2011-04-29,74.5372
2011-05-31,55.7902
2011-06-30,50.3438
2011-07-29,51.4945
2011-08-31,29.6923
2011-09-30,39.5383
2011-10-31,54.8866
2011-11-30,54.3766
2011-12-30,63.2792
2012-01-31,67.7778
2012-02-29,42.1052
2012-03-30,58.2528
2012-04-30,48.9718
2012-05-31,46.3464
2012-06-29,51.7571
2012-07-31,49.2693
2012-08-31,54.5298
2012-09-28,59.2393
2012-10-31,47.8207
2012-11-30,72.1327
2012-12-31,56.6234
2013-01-31,53.3557
2013-02-28,71.5576
2013-03-29,0
2013-04-30,47.8652
2013-05-31,41.7850
2013-06-28,62.7784
2013-07-31,54.3036
2013-08-30,38.3692
2013-09-30,42.2432
2013-10-31,58.2917
2013-11-29,57.6830
2013-12-31,70.5757
2014-01-31,47.5346
2014-02-28,62.5274
2014-03-31,36.3873
2014-04-30,70.9015
2014-05-30,65.3276
2014-06-30,44.7451
2014-07-31,48.2561
2014-08-29,81.6681
2014-09-30,49.3825
2014-10-31,65.2699
2014-11-28,70.3167
2014-12-31,61.8837
2015-01-30,39.8405
2015-02-27,51.6828
2015-03-31,41.8213
2015-04-30,59.5259
2015-05-29,39.4694
2015-06-30,43.8718
2015-07-31,50.6744
2015-08-31,70.0995
2015-09-30,45.6529
2015-10-30,70.8621
2015-11-30,42.0245
2015-12-31,58.6208
2016-01-29,41.9187
2016-02-29,65.2013
2016-03-31,76.7891
2016-04-29,34.9342
2016-05-31,49.3352
2016-06-30,54.1966
2016-07-29,70.0172
2016-08-31,55.0364
2016-09-30,34.8457
2016-10-31,41.0407
2016-11-30,65.4463
2016-12-30,62.3434
2017-01-31,29.6570
2017-02-28,55.2998
2017-03-31,53.8233
2017-04-28,63.6965
2017-05-31,54.3642
2017-06-30,33.3107
2017-07-31,70.9536
2017-08-31,53.8791
2017-09-29,57.2457
2017-10-31,51.7317
2017-11-30,70.1289
2017-12-29,46.7340
2018-01-31,62.9005
2018-02-28,44.4619
2018-03-30,0
2018-04-30,67.0051
2018-05-31,68.4479
2018-06-29,66.3622
2018-07-31,56.8492
2018-08-31,68.4754
2018-09-28,36.3235
2018-10-31,52.4817
2018-11-30,47.8500
2018-12-31,27.3582
2019-01-31,58.1215
2019-02-28,56.3480
2019-03-29,45.1198
2019-04-30,66.0735
2019-05-31,67.6420
2019-06-28,51.0045
2019-07-31,41.2408
2019-08-30,63.4333
2019-09-30,60.1563
2019-10-31,63.1315
2019-11-29,62.9533
2019-12-31,64.3910
2020-01-31,54.4439
2020-02-28,38.4799
2020-03-31,36.1426
2020-04-30,67.3498
2020-05-29,38.3354
2020-06-30,48.8121
2020-07-31,37.2701
2020-08-31,65.7157
2020-09-30,60.2578
2020-10-30,40.8202
2020-11-30,58.9171
2020-12-31,37.3321
2021-01-29,57.1028
2021-02-26,64.9698
2021-03-31,44.2130
2021-04-30,73.4002
2021-05-31,0
2021-06-30,31.0003
2021-07-30,34.5489
2021-08-31,67.6156
2021-09-30,41.8614
2021-10-29,43.1455
2021-11-30,29.1860
2021-12-31,67.3885
2022-01-31,45.8079
