,MFI_daily_20
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,52.4125
2006-05-31,46.0670
2006-06-30,30.8664
2006-07-31,56.1664
2006-08-31,30.6040
2006-09-29,48.4719
2006-10-31,68.4099
2006-11-30,65.3630
2006-12-29,70.3507
2007-01-31,76.7449
2007-02-28,48.0018
2007-03-30,64.8193
2007-04-30,34.2376
2007-05-31,59.4370
2007-06-29,68.9400
2007-07-31,49.5415
2007-08-31,41.6719
2007-09-28,79.0899
2007-10-31,46.8156
2007-11-30,70.4434
2007-12-31,24.7332
2008-01-31,30.7696
2008-02-29,27.9361
2008-03-31,38.5213
2008-04-30,49.1707
2008-05-30,66.2109
2008-06-30,16.5536
2008-07-31,52.1444
2008-08-29,55.8289
2008-09-30,51.5941
2008-10-31,47.7059
2008-11-28,61.4583
2008-12-31,39.0821
2009-01-30,66.2655
2009-02-27,55.6377
2009-03-31,44.6613
2009-04-30,61.5507
2009-05-29,61.0763
2009-06-30,33.2198
2009-07-31,63.1150
2009-08-31,48.9688
2009-09-30,67.1481
2009-10-30,55.4101
2009-11-30,73.3716
2009-12-31,73.9240
2010-01-29,52.9652
2010-02-26,60.2966
2010-03-31,61.1345
2010-04-30,76.7859
2010-05-31,0
2010-06-30,73.5754
2010-07-30,73.3507
2010-08-31,48.9449
2010-09-30,64.3059
2010-10-29,68.8884
2010-11-30,49.8801
2010-12-31,63.3433
2011-01-31,68.0917
2011-02-28,55.0377
2011-03-31,53.4028
2011-04-29,48.4046
2011-05-31,47.5755
2011-06-30,75.8741
2011-07-29,47.3835
2011-08-31,60.5325
2011-09-30,45.3328
2011-10-31,72.3499
2011-11-30,55.6270
2011-12-30,32.0828
2012-01-31,70.1984
2012-02-29,75.4375
2012-03-30,51.1298
2012-04-30,61.2339
2012-05-31,35.9713
2012-06-29,52.6614
2012-07-31,27.7035
2012-08-31,62.3077
2012-09-28,51.2939
2012-10-31,57.4325
2012-11-30,42.0453
2012-12-31,44.1488
2013-01-31,49.2550
2013-02-28,68.7197
2013-03-29,0
2013-04-30,45.7343
2013-05-31,38.2707
2013-06-28,52.7234
2013-07-31,59.6931
2013-08-30,18.1318
