,MFI_daily_20
2000-01-31,60.4918
2000-02-29,37.4412
2000-03-31,42.8777
2000-04-28,80.9861
2000-05-31,48.9611
2000-06-30,32.1339
2000-07-31,75.1033
2000-08-31,29.1018
2000-09-29,62.6739
2000-10-31,36.5911
2000-11-30,56.3350
2000-12-29,91.3538
2001-01-31,60.4343
2001-02-28,52.7177
2001-03-30,49.9838
2001-04-30,78.5836
2001-05-31,56.7265
2001-06-29,45.4634
2001-07-31,65.1257
2001-08-31,12.8725
2001-09-28,37.1675
2001-10-31,30.9232
2001-11-30,46.3464
2001-12-31,60.2204
2002-01-31,71.2766
2002-02-28,38.2770
2002-03-29,0
2002-04-30,35.3395
2002-05-31,45.5427
2002-06-28,15.7136
2002-07-31,26.9169
2002-08-30,60.1930
2002-09-30,19.8877
2002-10-31,50.6810
2002-11-29,35.1018
2002-12-31,49.9958
2003-01-31,61.8367
2003-02-28,66.1278
2003-03-31,46.4800
2003-04-30,76.5330
2003-05-30,69.4954
2003-06-30,58.2504
2003-07-31,57.7457
2003-08-29,80.4084
2003-09-30,50.8908
2003-10-31,52.3169
2003-11-28,62.6332
2003-12-31,56.2896
2004-01-30,16.1654
2004-02-27,24.1017
2004-03-31,55.7988
2004-04-30,63.9582
2004-05-31,0
2004-06-30,42.0253
2004-07-30,51.5166
2004-08-31,45.8412
2004-09-30,74.8116
2004-10-29,34.2258
2004-11-30,76.1783
2004-12-31,28.7608
2005-01-31,48.7703
2005-02-28,52.4985
2005-03-31,73.3326
2005-04-29,63.8181
2005-05-31,56.0132
2005-06-30,50.0184
2005-07-29,56.0785
2005-08-31,48.2937
2005-09-30,40.0305
2005-10-31,33.0558
2005-11-30,40.0415
2005-12-30,32.0217
2006-01-31,45.7567
2006-02-28,52.8319
2006-03-31,41.6873
2006-04-28,64.7773
2006-05-31,25.8022
2006-06-30,54.4931
2006-07-31,65.7579
2006-08-31,48.8463
2006-09-29,57.4934
2006-10-31,68.0364
2006-11-30,76.6948
2006-12-29,55.6609
2007-01-31,68.7187
2007-02-28,71.5378
2007-03-30,58.5024
2007-04-30,44.2079
2007-05-31,64.5009
2007-06-29,20.7215
2007-07-31,26.0174
2007-08-31,51.4016
2007-09-28,59.0018
2007-10-31,40.8995
2007-11-30,41.1038
2007-12-31,85.5851
2008-01-31,28.0288
2008-02-29,55.2970
2008-03-31,47.1552
2008-04-30,42.8516
2008-05-30,52.6448
2008-06-30,25.7870
2008-07-31,37.8345
2008-08-29,45.2439
2008-09-30,22.8236
2008-10-31,37.9804
2008-11-28,49.5883
2008-12-31,57.4034
2009-01-30,45.4321
2009-02-27,60.6517
2009-03-31,60.0601
2009-04-30,38.6739
2009-05-29,64.0223
2009-06-30,49.3951
2009-07-31,45.8471
2009-08-31,62.1138
2009-09-30,61.8866
2009-10-30,60.8780
2009-11-30,77.5701
2009-12-31,37.6627
2010-01-29,40.6647
2010-02-26,41.1495
2010-03-31,75.9810
2010-04-30,58.0176
2010-05-31,0
2010-06-30,29.1402
2010-07-30,62.6417
2010-08-31,49.3023
2010-09-30,59.1461
2010-10-29,68.4828
2010-11-30,39.1389
2010-12-31,43.3147
2011-01-31,68.3190
2011-02-28,55.6911
2011-03-31,45.9169
2011-04-29,63.3143
2011-05-31,44.7129
2011-06-30,53.9873
2011-07-29,47.2791
2011-08-31,45.1272
2011-09-30,52.5381
2011-10-31,80.6872
2011-11-30,47.1368
2011-12-30,49.7897
2012-01-31,64.6323
2012-02-29,62.2605
2012-03-30,70.0451
2012-04-30,61.5444
2012-05-31,48.1519
2012-06-29,43.0981
2012-07-31,41.5118
2012-08-31,59.8817
2012-09-28,56.9932
2012-10-31,39.2739
2012-11-30,30.9819
2012-12-31,36.1683
2013-01-31,55.2807
2013-02-28,52.8696
2013-03-29,0
2013-04-30,41.0882
2013-05-31,38.6451
2013-06-28,57.8525
2013-07-31,82.4208
2013-08-30,40.3997
2013-09-30,71.7934
2013-10-31,50.4769
2013-11-29,41.3357
2013-12-31,85.4079
2014-01-31,18.9209
2014-02-28,52.1050
2014-03-31,49.6428
2014-04-30,64.4507
2014-05-30,39.9227
2014-06-30,73.2376
2014-07-31,43.9413
2014-08-29,38.8596
2014-09-30,58.0045
2014-10-31,56.6399
2014-11-28,52.4825
2014-12-31,52.5918
2015-01-30,56.8583
2015-02-27,70.0537
2015-03-31,48.7103
2015-04-30,62.0168
2015-05-29,49.7518
