,MFI_daily_20
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,41.8520
2001-09-28,59.3378
2001-10-31,69.7835
2001-11-30,54.9210
2001-12-31,41.5637
2002-01-31,52.3691
2002-02-28,72.8665
2002-03-29,0
2002-04-30,48.0942
2002-05-31,54.3036
2002-06-28,46.6317
2002-07-31,59.4918
2002-08-30,51.2171
2002-09-30,68.1388
2002-10-31,63.5221
2002-11-29,35.6180
2002-12-31,72.0497
2003-01-31,47.8035
2003-02-28,65.1444
2003-03-31,63.3254
2003-04-30,36.7580
2003-05-30,45.9734
2003-06-30,51.0179
2003-07-31,60.0461
2003-08-29,61.7206
2003-09-30,62.6618
2003-10-31,64.9682
2003-11-28,68.0301
2003-12-31,48.8219
2004-01-30,43.4070
2004-02-27,57.4306
2004-03-31,46.9943
2004-04-30,56.0182
2004-05-31,0
2004-06-30,60.6526
2004-07-30,29.5152
2004-08-31,41.4747
2004-09-30,66.1381
2004-10-29,48.6677
2004-11-30,62.7250
2004-12-31,43.6572
2005-01-31,45.8790
2005-02-28,56.1755
2005-03-31,34.9212
2005-04-29,61.4499
2005-05-31,36.6778
2005-06-30,46.9332
2005-07-29,69.5268
2005-08-31,51.8689
2005-09-30,14.3385
2005-10-31,47.4928
2005-11-30,52.4737
2005-12-30,60.8223
2006-01-31,40.9020
2006-02-28,33.1477
2006-03-31,61.4405
2006-04-28,42.8782
2006-05-31,40.2606
2006-06-30,43.7754
2006-07-31,65.6753
2006-08-31,63.4749
2006-09-29,50.9781
2006-10-31,72.1393
2006-11-30,50.9197
2006-12-29,64.9471
2007-01-31,69.2216
2007-02-28,54.5796
2007-03-30,62.7194
2007-04-30,60.3227
2007-05-31,38.3506
2007-06-29,42.6222
2007-07-31,37.0924
2007-08-31,56.4483
2007-09-28,68.1493
2007-10-31,47.4202
2007-11-30,42.6864
2007-12-31,50.2724
2008-01-31,57.9762
2008-02-29,55.2419
2008-03-31,55.2524
2008-04-30,39.3421
2008-05-30,45.0705
2008-06-30,38.4230
2008-07-31,59.3689
2008-08-29,64.2659
2008-09-30,39.8947
2008-10-31,41.6929
2008-11-28,36.8374
2008-12-31,55.4579
2009-01-30,50.8373
2009-02-27,47.0079
2009-03-31,61.9114
2009-04-30,69.3035
2009-05-29,59.2836
2009-06-30,47.8394
2009-07-31,77.8747
2009-08-31,41.1651
2009-09-30,71.7515
2009-10-30,48.7774
2009-11-30,67.0095
2009-12-31,42.7234
2010-01-29,29.9482
2010-02-26,53.9982
2010-03-31,39.3532
2010-04-30,53.4552
2010-05-31,0
2010-06-30,60.4594
2010-07-30,49.0765
2010-08-31,25.2475
2010-09-30,73.2692
2010-10-29,24.4953
2010-11-30,45.6614
2010-12-31,60.3263
2011-01-31,58.6589
2011-02-28,60.9007
2011-03-31,37.3056
2011-04-29,68.4432
2011-05-31,63.0624
2011-06-30,40.3852
2011-07-29,37.8815
2011-08-31,54.5000
2011-09-30,49.1323
2011-10-31,51.2104
2011-11-30,30.9870
2011-12-30,45.6932
2012-01-31,82.5017
2012-02-29,48.1028
2012-03-30,70.7308
2012-04-30,43.6691
2012-05-31,39.6010
2012-06-29,60.2272
2012-07-31,43.2557
