,MFI_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,48.6011
2000-09-29,50.7251
2000-10-31,57.5500
2000-11-30,57.3974
2000-12-29,55.3640
2001-01-31,52.1810
2001-02-28,55.2461
2001-03-30,51.5890
2001-04-30,50.3636
2001-05-31,53.0748
2001-06-29,51.9822
2001-07-31,50.8904
2001-08-31,48.7110
2001-09-28,49.1330
2001-10-31,52.9368
2001-11-30,52.2765
2001-12-31,51.8987
2002-01-31,52.0965
2002-02-28,52.1935
2002-03-29,0
2002-04-30,51.7528
2002-05-31,47.3298
2002-06-28,45.6268
2002-07-31,45.7851
2002-08-30,44.9381
2002-09-30,44.9779
2002-10-31,44.8954
2002-11-29,45.9709
2002-12-31,45.7597
2003-01-31,43.7478
2003-02-28,43.2053
2003-03-31,47.8528
2003-04-30,49.8650
2003-05-30,51.3341
2003-06-30,51.6474
2003-07-31,48.2322
2003-08-29,48.6038
2003-09-30,50.9174
2003-10-31,52.1218
2003-11-28,56.2094
2003-12-31,57.9738
2004-01-30,54.1016
2004-02-27,51.2953
2004-03-31,48.2981
2004-04-30,49.8157
2004-05-31,0
2004-06-30,48.9944
2004-07-30,48.7610
2004-08-31,49.2773
2004-09-30,48.3270
2004-10-29,48.7127
2004-11-30,49.4238
2004-12-31,55.2866
2005-01-31,52.8147
2005-02-28,53.0698
2005-03-31,52.8048
2005-04-29,55.5407
2005-05-31,55.6827
2005-06-30,54.4005
2005-07-29,51.5159
2005-08-31,48.6133
2005-09-30,46.8170
2005-10-31,47.4716
2005-11-30,43.6437
2005-12-30,46.4440
2006-01-31,46.6453
2006-02-28,47.1619
2006-03-31,45.9001
2006-04-28,45.9296
2006-05-31,46.7593
2006-06-30,48.7104
2006-07-31,53.7016
2006-08-31,52.6622
2006-09-29,54.6004
2006-10-31,52.5730
2006-11-30,50.7182
2006-12-29,51.7849
2007-01-31,56.9031
2007-02-28,57.4879
2007-03-30,55.7826
2007-04-30,54.3366
2007-05-31,53.3594
2007-06-29,52.9634
2007-07-31,54.3351
2007-08-31,54.2282
2007-09-28,54.1989
2007-10-31,49.9295
2007-11-30,50.4992
2007-12-31,51.4101
2008-01-31,47.4808
2008-02-29,47.2641
2008-03-31,49.6446
2008-04-30,46.9225
2008-05-30,47.2689
2008-06-30,45.9409
2008-07-31,48.4363
2008-08-29,49.0001
2008-09-30,47.8444
2008-10-31,47.8420
2008-11-28,48.9874
2008-12-31,49.3839
2009-01-30,51.1845
2009-02-27,48.9104
2009-03-31,49.7424
2009-04-30,47.7205
2009-05-29,47.6733
2009-06-30,48.2698
2009-07-31,47.1533
2009-08-31,47.0735
2009-09-30,50.3021
2009-10-30,51.9943
2009-11-30,50.6713
2009-12-31,51.4556
2010-01-29,54.3628
2010-02-26,54.7668
2010-03-31,52.6753
2010-04-30,53.7734
2010-05-31,0
2010-06-30,49.8709
2010-07-30,48.7186
2010-08-31,46.9940
2010-09-30,49.4153
2010-10-29,48.1019
2010-11-30,44.1754
2010-12-31,43.7501
2011-01-31,44.3512
2011-02-28,46.5509
2011-03-31,47.3393
2011-04-29,49.4731
2011-05-31,49.4525
2011-06-30,48.9269
2011-07-29,47.5532
2011-08-31,49.5389
2011-09-30,50.6210
2011-10-31,54.4189
2011-11-30,56.7425
2011-12-30,58.5322
2012-01-31,53.9716
2012-02-29,53.4472
2012-03-30,58.1124
2012-04-30,57.0364
