,MFI_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,57.3267
2000-09-29,58.4110
2000-10-31,59.5199
2000-11-30,59.1500
2000-12-29,63.2630
2001-01-31,56.2554
2001-02-28,55.5511
2001-03-30,56.5752
2001-04-30,55.7960
2001-05-31,55.4931
2001-06-29,53.4562
2001-07-31,54.4655
2001-08-31,52.9869
2001-09-28,56.5175
2001-10-31,60.2984
2001-11-30,59.9617
2001-12-31,56.8431
2002-01-31,54.9144
2002-02-28,56.0141
2002-03-29,0
2002-04-30,55.2039
2002-05-31,54.0395
2002-06-28,53.7413
2002-07-31,46.6514
2002-08-30,47.3124
2002-09-30,43.6140
2002-10-31,46.6486
2002-11-29,45.7772
2002-12-31,48.2746
2003-01-31,44.1879
2003-02-28,43.8205
2003-03-31,45.7866
2003-04-30,46.7998
2003-05-30,47.1247
2003-06-30,49.0028
2003-07-31,48.6519
2003-08-29,49.1021
2003-09-30,49.7306
2003-10-31,49.3210
2003-11-28,54.8384
2003-12-31,54.2211
2004-01-30,52.1570
2004-02-27,54.2593
2004-03-31,52.2879
2004-04-30,54.1438
2004-05-31,0
2004-06-30,49.0968
2004-07-30,50.1941
2004-08-31,49.1968
2004-09-30,48.9566
2004-10-29,46.1843
2004-11-30,49.0487
2004-12-31,51.9712
2005-01-31,48.9882
2005-02-28,50.3103
2005-03-31,49.2282
2005-04-29,49.2765
2005-05-31,48.1556
2005-06-30,48.0592
2005-07-29,48.7162
2005-08-31,48.9262
2005-09-30,50.0473
2005-10-31,48.7299
2005-11-30,51.1759
2005-12-30,51.4544
2006-01-31,49.5713
2006-02-28,49.5342
2006-03-31,47.4045
2006-04-28,45.3566
2006-05-31,43.6487
2006-06-30,41.3580
2006-07-31,42.4462
2006-08-31,42.2707
2006-09-29,43.9095
2006-10-31,46.1484
2006-11-30,50.1453
2006-12-29,51.8177
2007-01-31,53.8142
2007-02-28,55.6309
2007-03-30,60.1013
2007-04-30,59.5163
2007-05-31,59.0739
2007-06-29,57.4685
2007-07-31,55.1451
2007-08-31,57.5349
2007-09-28,55.2762
2007-10-31,53.8991
2007-11-30,50.6477
2007-12-31,50.7831
2008-01-31,49.1810
2008-02-29,48.6751
2008-03-31,48.4711
2008-04-30,49.7176
2008-05-30,46.2997
2008-06-30,45.1572
2008-07-31,45.3040
2008-08-29,48.3962
2008-09-30,50.6032
2008-10-31,49.6045
2008-11-28,51.8663
2008-12-31,50.9698
2009-01-30,50.3518
2009-02-27,44.7245
2009-03-31,47.9751
2009-04-30,52.6419
2009-05-29,50.9068
2009-06-30,51.5567
2009-07-31,53.4230
2009-08-31,53.8154
2009-09-30,55.4360
2009-10-30,53.9078
2009-11-30,59.1919
2009-12-31,59.4583
2010-01-29,57.4037
2010-02-26,57.7438
2010-03-31,56.9897
2010-04-30,57.8369
2010-05-31,0
2010-06-30,53.2606
2010-07-30,52.3638
2010-08-31,52.2396
2010-09-30,53.7256
2010-10-29,55.6872
2010-11-30,54.9589
2010-12-31,51.9481
2011-01-31,52.8806
2011-02-28,56.0130
2011-03-31,55.9408
2011-04-29,54.2011
2011-05-31,53.7699
2011-06-30,52.6692
2011-07-29,51.7090
2011-08-31,50.3687
2011-09-30,49.6634
2011-10-31,53.0034
2011-11-30,51.4921
2011-12-30,54.1363
2012-01-31,53.0829
2012-02-29,53.7707
2012-03-30,55.7686
2012-04-30,57.4947
