,MFI_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-30,0
2010-08-31,0
2010-09-30,0
2010-10-29,0
2010-11-30,0
2010-12-31,0
2011-01-31,0
2011-02-28,0
2011-03-31,0
2011-04-29,0
2011-05-31,0
2011-06-30,0
2011-07-29,0
2011-08-31,0
2011-09-30,0
2011-10-31,0
2011-11-30,0
2011-12-30,0
2012-01-31,0
2012-02-29,0
2012-03-30,0
2012-04-30,0
2012-05-31,0
2012-06-29,0
2012-07-31,0
2012-08-31,0
2012-09-28,0
2012-10-31,0
2012-11-30,0
2012-12-31,0
2013-01-31,0
2013-02-28,0
2013-03-29,0
2013-04-30,0
2013-05-31,0
2013-06-28,0
2013-07-31,0
2013-08-30,0
2013-09-30,0
2013-10-31,0
2013-11-29,0
2013-12-31,0
2014-01-31,0
2014-02-28,0
2014-03-31,0
2014-04-30,0
2014-05-30,0
2014-06-30,0
2014-07-31,0
2014-08-29,0
2014-09-30,54.7808
2014-10-31,54.9730
2014-11-28,52.4303
2014-12-31,51.5855
2015-01-30,50.2077
2015-02-27,52.4138
2015-03-31,50.6946
2015-04-30,49.7023
2015-05-29,50.3135
2015-06-30,50.0798
2015-07-31,54.5064
2015-08-31,52.7983
2015-09-30,52.6350
2015-10-30,56.5011
2015-11-30,59.4749
2015-12-31,56.7247
2016-01-29,55.3130
2016-02-29,55.0408
2016-03-31,55.3114
2016-04-29,55.2010
2016-05-31,56.0652
2016-06-30,55.7591
2016-07-29,57.1401
2016-08-31,55.7936
2016-09-30,54.1239
2016-10-31,53.2742
2016-11-30,52.7951
2016-12-30,52.2045
2017-01-31,53.0137
2017-02-28,55.4078
2017-03-31,55.2152
2017-04-28,56.4153
2017-05-31,53.8210
2017-06-30,56.3942
2017-07-31,55.9524
2017-08-31,56.5983
2017-09-29,62.1187
2017-10-31,62.2395
2017-11-30,60.8350
2017-12-29,58.2703
2018-01-31,60.3590
2018-02-28,57.2096
2018-03-30,0
2018-04-30,54.8564
2018-05-31,53.5756
2018-06-29,51.7027
2018-07-31,49.8516
2018-08-31,51.1073
2018-09-28,50.3302
2018-10-31,47.8882
2018-11-30,50.4911
2018-12-31,49.4127
2019-01-31,49.9202
2019-02-28,54.6789
2019-03-29,52.8867
2019-04-30,56.2501
2019-05-31,54.7096
2019-06-28,55.0708
2019-07-31,53.5265
2019-08-30,51.1595
2019-09-30,50.7381
2019-10-31,52.7795
2019-11-29,50.5501
2019-12-31,53.9308
2020-01-31,55.1764
2020-02-28,51.0386
2020-03-31,49.5777
2020-04-30,49.6870
2020-05-29,53.3244
2020-06-30,52.4995
2020-07-31,52.4611
2020-08-31,51.7508
2020-09-30,51.3877
2020-10-30,48.2111
2020-11-30,46.7966
2020-12-31,52.7318
2021-01-29,52.7738
2021-02-26,52.6707
2021-03-31,54.7993
2021-04-30,55.8126
2021-05-31,0
2021-06-30,58.8817
2021-07-30,58.1878
2021-08-31,60.8930
2021-09-30,59.4943
2021-10-29,55.9366
2021-11-30,55.3112
2021-12-31,54.7974
2022-01-31,52.1510
2022-02-28,48.6006
2022-03-31,47.1775
