,MFI_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,48.9721
2000-09-29,54.0027
2000-10-31,56.4251
2000-11-30,57.1830
2000-12-29,60.8189
2001-01-31,57.1474
2001-02-28,56.8385
2001-03-30,56.1858
2001-04-30,56.1908
2001-05-31,57.1690
2001-06-29,54.6653
2001-07-31,49.8049
2001-08-31,47.3046
2001-09-28,46.9428
2001-10-31,46.3173
2001-11-30,46.6539
2001-12-31,46.2382
2002-01-31,46.6107
2002-02-28,48.0107
2002-03-29,0
2002-04-30,48.6352
2002-05-31,53.7810
2002-06-28,52.1505
2002-07-31,51.0812
2002-08-30,53.2479
2002-09-30,52.1383
2002-10-31,54.7815
2002-11-29,53.9209
2002-12-31,51.3498
2003-01-31,49.0948
2003-02-28,48.1131
2003-03-31,49.9747
2003-04-30,53.9699
2003-05-30,52.9024
2003-06-30,51.1995
2003-07-31,53.4504
2003-08-29,49.9931
2003-09-30,50.6881
2003-10-31,54.4645
2003-11-28,58.9647
2003-12-31,60.8390
2004-01-30,57.1777
2004-02-27,56.1022
2004-03-31,55.7677
2004-04-30,54.2034
2004-05-31,0
2004-06-30,56.1593
2004-07-30,54.5135
2004-08-31,52.2817
2004-09-30,50.5830
2004-10-29,49.3757
2004-11-30,50.9566
2004-12-31,53.5512
2005-01-31,52.1430
2005-02-28,54.7580
2005-03-31,54.2043
2005-04-29,54.5287
2005-05-31,56.4307
2005-06-30,58.2052
2005-07-29,58.5144
2005-08-31,52.8187
2005-09-30,52.6713
2005-10-31,50.8433
2005-11-30,52.1996
2005-12-30,50.1661
2006-01-31,49.4544
2006-02-28,49.3221
2006-03-31,45.6661
2006-04-28,45.3105
2006-05-31,47.2590
2006-06-30,49.6443
2006-07-31,51.4617
2006-08-31,49.2641
2006-09-29,52.6066
2006-10-31,52.5192
2006-11-30,54.3159
2006-12-29,55.4612
2007-01-31,57.1089
2007-02-28,53.0378
2007-03-30,55.0972
2007-04-30,55.1200
2007-05-31,56.1990
2007-06-29,52.7025
2007-07-31,47.0205
2007-08-31,47.2632
2007-09-28,46.3051
2007-10-31,44.5192
2007-11-30,44.6802
2007-12-31,43.5553
2008-01-31,41.5386
2008-02-29,41.9518
2008-03-31,42.2064
2008-04-30,43.5681
2008-05-30,46.9486
2008-06-30,43.3144
2008-07-31,43.5837
2008-08-29,45.3039
2008-09-30,45.4770
2008-10-31,45.1759
2008-11-28,44.3170
2008-12-31,44.6042
2009-01-30,42.6688
2009-02-27,41.1465
2009-03-31,42.1961
2009-04-30,46.2937
2009-05-29,45.2299
2009-06-30,45.5755
2009-07-31,48.2180
2009-08-31,50.8560
2009-09-30,51.7339
2009-10-30,51.9640
2009-11-30,51.8290
2009-12-31,54.1253
2010-01-29,53.1639
2010-02-26,52.7842
2010-03-31,54.5871
2010-04-30,53.4504
2010-05-31,0
2010-06-30,50.2927
2010-07-30,48.6858
2010-08-31,48.8810
2010-09-30,51.7496
2010-10-29,47.9246
2010-11-30,47.5245
2010-12-31,49.5171
2011-01-31,46.3121
2011-02-28,48.4191
2011-03-31,49.6134
2011-04-29,53.1483
2011-05-31,52.0732
2011-06-30,51.1192
2011-07-29,46.3777
2011-08-31,48.2282
2011-09-30,47.2508
2011-10-31,48.9848
2011-11-30,48.1852
2011-12-30,50.3662
2012-01-31,49.8218
2012-02-29,51.2635
2012-03-30,53.6631
2012-04-30,53.2651
