,MFI_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,45.9462
2000-10-31,42.9146
2000-11-30,47.5010
2000-12-29,45.9929
2001-01-31,45.7601
2001-02-28,41.0507
2001-03-30,44.3877
2001-04-30,44.7969
2001-05-31,46.0846
2001-06-29,46.0082
2001-07-31,48.8396
2001-08-31,48.3971
2001-09-28,46.7914
2001-10-31,54.2096
2001-11-30,51.2737
2001-12-31,51.0374
2002-01-31,50.9966
2002-02-28,50.2297
2002-03-29,0
2002-04-30,52.0944
2002-05-31,51.0763
2002-06-28,50.5098
2002-07-31,46.2664
2002-08-30,45.3746
2002-09-30,43.6267
2002-10-31,43.6534
2002-11-29,43.6232
2002-12-31,42.6414
2003-01-31,41.1975
2003-02-28,37.4694
2003-03-31,36.3752
2003-04-30,39.6853
2003-05-30,48.4319
2003-06-30,52.4657
2003-07-31,56.5370
2003-08-29,57.7233
2003-09-30,56.8608
2003-10-31,58.0834
2003-11-28,60.6096
2003-12-31,61.9595
2004-01-30,53.3816
2004-02-27,54.8037
2004-03-31,53.2164
2004-04-30,50.8528
2004-05-31,0
2004-06-30,57.5235
2004-07-30,53.6374
2004-08-31,50.5587
2004-09-30,49.0297
2004-10-29,48.0476
2004-11-30,51.3530
2004-12-31,51.2514
2005-01-31,51.2423
2005-02-28,52.4969
2005-03-31,51.6002
2005-04-29,50.4594
2005-05-31,52.0761
2005-06-30,51.5552
2005-07-29,56.9256
2005-08-31,53.9287
2005-09-30,55.3928
2005-10-31,55.1315
2005-11-30,57.2754
2005-12-30,58.1859
2006-01-31,64.6035
2006-02-28,59.4965
2006-03-31,61.4126
2006-04-28,63.3663
2006-05-31,55.5289
2006-06-30,55.5850
2006-07-31,54.1361
2006-08-31,53.1228
2006-09-29,52.4144
2006-10-31,54.4498
2006-11-30,56.3331
2006-12-29,55.6913
2007-01-31,57.5153
2007-02-28,55.3308
2007-03-30,59.9051
2007-04-30,58.7922
2007-05-31,59.8110
2007-06-29,56.4401
2007-07-31,53.5743
2007-08-31,50.4884
2007-09-28,47.5888
2007-10-31,47.6180
2007-11-30,45.3479
2007-12-31,43.1009
2008-01-31,40.4638
2008-02-29,40.9278
2008-03-31,41.4097
2008-04-30,41.9588
2008-05-30,47.4509
2008-06-30,45.6875
2008-07-31,44.5721
2008-08-29,44.1452
2008-09-30,42.9220
2008-10-31,45.5229
2008-11-28,43.5172
2008-12-31,44.0840
2009-01-30,43.0324
2009-02-27,42.0061
2009-03-31,44.9891
2009-04-30,49.6633
2009-05-29,49.2451
2009-06-30,50.2396
2009-07-31,50.9150
2009-08-31,51.9111
2009-09-30,52.8663
2009-10-30,51.9308
2009-11-30,53.1073
2009-12-31,56.2506
2010-01-29,54.5830
2010-02-26,54.5340
2010-03-31,56.9052
2010-04-30,57.1783
2010-05-31,0
2010-06-30,56.3941
2010-07-30,55.7172
2010-08-31,54.5627
2010-09-30,53.3483
2010-10-29,51.2361
2010-11-30,51.7395
2010-12-31,49.7499
2011-01-31,50.1680
2011-02-28,50.6889
2011-03-31,49.3662
2011-04-29,50.9361
2011-05-31,50.5389
2011-06-30,49.0818
2011-07-29,47.0539
2011-08-31,45.6731
2011-09-30,44.0184
2011-10-31,46.0962
2011-11-30,44.5139
2011-12-30,45.7857
2012-01-31,44.4980
2012-02-29,42.7779
2012-03-30,45.3924
2012-04-30,47.6697
