,MFI_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,49.2191
2000-09-29,50.0968
2000-10-31,53.9022
2000-11-30,54.3229
2000-12-29,50.9858
2001-01-31,52.8315
2001-02-28,55.7156
2001-03-30,55.1917
2001-04-30,53.4770
2001-05-31,56.6293
2001-06-29,56.9929
2001-07-31,55.4093
2001-08-31,56.8006
2001-09-28,57.7371
2001-10-31,58.4488
2001-11-30,53.5994
2001-12-31,53.6835
2002-01-31,55.5602
2002-02-28,57.3905
2002-03-29,0
2002-04-30,52.4754
2002-05-31,55.2378
2002-06-28,52.4081
2002-07-31,49.8739
2002-08-30,53.0336
2002-09-30,52.2994
2002-10-31,51.3233
2002-11-29,48.9181
2002-12-31,49.5058
2003-01-31,49.2848
2003-02-28,49.9348
2003-03-31,49.4092
2003-04-30,50.7854
2003-05-30,51.2337
2003-06-30,52.6518
2003-07-31,52.3747
2003-08-29,52.6252
2003-09-30,54.2157
2003-10-31,54.8593
2003-11-28,58.3701
2003-12-31,57.4260
2004-01-30,61.1059
2004-02-27,60.4925
2004-03-31,54.7530
2004-04-30,55.1705
2004-05-31,0
2004-06-30,55.9869
2004-07-30,52.9721
2004-08-31,54.7956
2004-09-30,52.5020
2004-10-29,52.8099
2004-11-30,52.0513
2004-12-31,55.4591
2005-01-31,53.6690
2005-02-28,55.4598
2005-03-31,53.8053
2005-04-29,53.8539
2005-05-31,53.1109
2005-06-30,48.9036
2005-07-29,50.0193
2005-08-31,47.7048
2005-09-30,46.3172
2005-10-31,47.0327
2005-11-30,48.9569
2005-12-30,49.5464
2006-01-31,51.2243
2006-02-28,50.6277
2006-03-31,52.6475
2006-04-28,56.4097
2006-05-31,52.4152
2006-06-30,52.5151
2006-07-31,54.7259
2006-08-31,53.5916
2006-09-29,53.8780
2006-10-31,52.2578
2006-11-30,52.5136
2006-12-29,49.4111
2007-01-31,52.6950
2007-02-28,54.1633
2007-03-30,55.2871
2007-04-30,56.2513
2007-05-31,53.9072
2007-06-29,50.0000
2007-07-31,48.8204
2007-08-31,51.2913
2007-09-28,52.0192
2007-10-31,53.5608
2007-11-30,51.8037
2007-12-31,52.9179
2008-01-31,52.6470
2008-02-29,53.8321
2008-03-31,53.6740
2008-04-30,54.6526
2008-05-30,52.7254
2008-06-30,51.9926
2008-07-31,50.5989
2008-08-29,51.8463
2008-09-30,49.3482
2008-10-31,45.1688
2008-11-28,42.9785
2008-12-31,45.7248
2009-01-30,45.4780
2009-02-27,43.7374
2009-03-31,45.5966
2009-04-30,45.0873
2009-05-29,44.0327
2009-06-30,45.2764
2009-07-31,47.5437
2009-08-31,48.5098
2009-09-30,48.3576
2009-10-30,47.7036
2009-11-30,51.3390
2009-12-31,52.9400
2010-01-29,51.0877
2010-02-26,53.2639
2010-03-31,53.3095
2010-04-30,52.0569
2010-05-31,0
2010-06-30,49.2018
2010-07-30,50.3028
2010-08-31,49.4821
2010-09-30,48.1205
2010-10-29,49.9412
2010-11-30,48.7038
2010-12-31,51.5577
2011-01-31,52.4926
2011-02-28,51.7297
2011-03-31,53.5645
2011-04-29,57.8247
2011-05-31,56.8893
2011-06-30,56.3408
2011-07-29,54.7726
2011-08-31,54.0446
2011-09-30,50.6663
2011-10-31,51.6263
2011-11-30,51.6182
2011-12-30,52.7495
2012-01-31,51.9388
2012-02-29,48.8884
2012-03-30,50.2959
2012-04-30,49.0527
