,MFI_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,43.9942
2000-09-29,47.5886
2000-10-31,50.4204
2000-11-30,56.4357
2000-12-29,60.4045
2001-01-31,58.7185
2001-02-28,50.8540
2001-03-30,47.6969
2001-04-30,49.5931
2001-05-31,49.8291
2001-06-29,49.9534
2001-07-31,48.7491
2001-08-31,46.8499
2001-09-28,45.5417
2001-10-31,44.5584
2001-11-30,44.4743
2001-12-31,52.1429
2002-01-31,57.0907
2002-02-28,53.9498
2002-03-29,0
2002-04-30,57.5864
2002-05-31,59.2085
2002-06-28,61.0830
2002-07-31,57.6463
2002-08-30,58.9554
2002-09-30,56.6615
2002-10-31,55.7809
2002-11-29,55.6425
2002-12-31,57.5071
2003-01-31,55.3768
2003-02-28,53.6872
2003-03-31,49.4204
2003-04-30,50.5142
2003-05-30,52.1001
2003-06-30,51.2931
2003-07-31,51.2318
2003-08-29,50.2790
2003-09-30,47.6856
2003-10-31,50.2268
2003-11-28,51.8433
2003-12-31,56.0635
2004-01-30,55.0706
2004-02-27,55.8449
2004-03-31,54.7144
2004-04-30,61.7000
2004-05-31,0
2004-06-30,62.1715
2004-07-30,61.6068
2004-08-31,60.0377
2004-09-30,56.4287
2004-10-29,56.4330
2004-11-30,58.6046
2004-12-31,59.0911
2005-01-31,56.0794
2005-02-28,50.2542
2005-03-31,50.7584
2005-04-29,52.4439
2005-05-31,52.7233
2005-06-30,48.7586
2005-07-29,50.0222
2005-08-31,47.8741
2005-09-30,49.7657
2005-10-31,47.9959
2005-11-30,45.9279
2005-12-30,46.4199
2006-01-31,48.2629
2006-02-28,47.3190
2006-03-31,50.7349
2006-04-28,53.4779
2006-05-31,52.7343
2006-06-30,51.8598
2006-07-31,49.1199
2006-08-31,52.7644
2006-09-29,56.0652
2006-10-31,58.2102
2006-11-30,55.6136
2006-12-29,59.4359
2007-01-31,55.1451
2007-02-28,52.3207
2007-03-30,53.9363
2007-04-30,54.1866
2007-05-31,55.9891
2007-06-29,56.5292
2007-07-31,52.0144
2007-08-31,52.0660
2007-09-28,52.1217
2007-10-31,48.9841
2007-11-30,52.6163
2007-12-31,52.7188
2008-01-31,49.5344
2008-02-29,49.9386
2008-03-31,48.5925
2008-04-30,48.2301
2008-05-30,50.4229
2008-06-30,46.6651
2008-07-31,50.0652
2008-08-29,50.8865
2008-09-30,47.8858
2008-10-31,45.7425
2008-11-28,45.1265
2008-12-31,46.0877
2009-01-30,45.9202
2009-02-27,44.5938
2009-03-31,46.1309
2009-04-30,45.2446
2009-05-29,45.1658
2009-06-30,46.2286
2009-07-31,51.0549
2009-08-31,54.6171
2009-09-30,56.1903
2009-10-30,53.5779
2009-11-30,56.3624
2009-12-31,58.7612
2010-01-29,56.2171
2010-02-26,59.1630
2010-03-31,60.8053
2010-04-30,59.3078
2010-05-31,0
2010-06-30,56.4287
2010-07-30,58.0646
2010-08-31,53.1941
2010-09-30,52.1325
2010-10-29,52.5360
2010-11-30,50.4720
2010-12-31,48.7454
2011-01-31,50.3634
2011-02-28,51.2366
2011-03-31,48.9555
2011-04-29,52.7024
2011-05-31,57.2872
2011-06-30,59.3911
2011-07-29,57.9241
2011-08-31,54.9665
2011-09-30,54.2513
2011-10-31,53.8132
2011-11-30,54.1306
2011-12-30,54.5045
2012-01-31,53.6365
2012-02-29,51.1646
2012-03-30,51.6903
2012-04-30,48.7477
