,MFI_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,54.7497
2000-09-29,57.2610
2000-10-31,56.7211
2000-11-30,53.8443
2000-12-29,53.9778
2001-01-31,56.7591
2001-02-28,54.8989
2001-03-30,52.7507
2001-04-30,52.0217
2001-05-31,53.0585
2001-06-29,49.9230
2001-07-31,51.1207
2001-08-31,48.6008
2001-09-28,46.8278
2001-10-31,48.7030
2001-11-30,50.1890
2001-12-31,50.5310
2002-01-31,52.5538
2002-02-28,49.4646
2002-03-29,0
2002-04-30,50.2049
2002-05-31,47.6529
2002-06-28,48.8150
2002-07-31,48.2280
2002-08-30,44.5179
2002-09-30,42.8576
2002-10-31,43.3452
2002-11-29,42.9773
2002-12-31,41.9423
2003-01-31,40.8397
2003-02-28,43.1925
2003-03-31,46.0367
2003-04-30,50.8121
2003-05-30,51.9022
2003-06-30,49.5790
2003-07-31,52.4433
2003-08-29,55.1232
2003-09-30,51.8749
2003-10-31,55.6473
2003-11-28,57.1662
2003-12-31,56.7951
2004-01-30,56.1118
2004-02-27,53.8875
2004-03-31,52.9445
2004-04-30,52.9325
2004-05-31,0
2004-06-30,52.3155
2004-07-30,54.5389
2004-08-31,48.6001
2004-09-30,48.3308
2004-10-29,44.3843
2004-11-30,46.9230
2004-12-31,47.7948
2005-01-31,48.6150
2005-02-28,50.2075
2005-03-31,51.8299
2005-04-29,50.6664
2005-05-31,52.0784
2005-06-30,53.3339
2005-07-29,57.0139
2005-08-31,58.5881
2005-09-30,57.9343
2005-10-31,58.8708
2005-11-30,61.2844
2005-12-30,57.9171
2006-01-31,59.2623
2006-02-28,58.0282
2006-03-31,57.7220
2006-04-28,56.3396
2006-05-31,54.4636
2006-06-30,51.3113
2006-07-31,50.4753
2006-08-31,48.9791
2006-09-29,47.2237
2006-10-31,50.5886
2006-11-30,51.6555
2006-12-29,51.9769
2007-01-31,53.4158
2007-02-28,55.1032
2007-03-30,58.5401
2007-04-30,61.4148
2007-05-31,61.3320
2007-06-29,57.4351
2007-07-31,55.1207
2007-08-31,54.5314
2007-09-28,56.0554
2007-10-31,51.6671
2007-11-30,45.8056
2007-12-31,46.4470
2008-01-31,39.6831
2008-02-29,42.0429
2008-03-31,40.4658
2008-04-30,41.2272
2008-05-30,43.6912
2008-06-30,40.3124
2008-07-31,40.8498
2008-08-29,46.8545
2008-09-30,44.2512
2008-10-31,45.3009
2008-11-28,45.7691
2008-12-31,45.6440
2009-01-30,45.5157
2009-02-27,45.3942
2009-03-31,43.1907
2009-04-30,48.2868
2009-05-29,48.7728
2009-06-30,47.2142
2009-07-31,53.7677
2009-08-31,55.2512
2009-09-30,59.5894
2009-10-30,55.6755
2009-11-30,54.7652
2009-12-31,54.8304
2010-01-29,53.2205
2010-02-26,50.4286
2010-03-31,51.2032
2010-04-30,53.0250
2010-05-31,0
2010-06-30,47.7149
2010-07-30,51.0494
2010-08-31,54.5482
2010-09-30,55.8119
2010-10-29,56.6388
2010-11-30,57.5627
2010-12-31,56.8004
2011-01-31,56.5878
2011-02-28,58.8267
2011-03-31,60.9853
2011-04-29,61.6204
2011-05-31,62.5322
2011-06-30,56.9602
2011-07-29,57.0135
2011-08-31,56.0254
2011-09-30,55.1620
2011-10-31,57.0913
2011-11-30,54.0337
2011-12-30,54.7322
2012-01-31,55.4784
2012-02-29,54.9077
2012-03-30,56.4335
2012-04-30,56.3783
