,MFI_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,51.7506
2000-09-29,54.1221
2000-10-31,54.1932
2000-11-30,52.7517
2000-12-29,56.0279
2001-01-31,55.5291
2001-02-28,54.5661
2001-03-30,51.6549
2001-04-30,50.1293
2001-05-31,50.3241
2001-06-29,50.4085
2001-07-31,51.5687
2001-08-31,52.6293
2001-09-28,50.9710
2001-10-31,47.7815
2001-11-30,47.7737
2001-12-31,49.1330
2002-01-31,48.7098
2002-02-28,52.2818
2002-03-29,0
2002-04-30,53.3402
2002-05-31,52.2328
2002-06-28,51.3653
2002-07-31,50.8975
2002-08-30,50.4496
2002-09-30,48.2473
2002-10-31,46.0660
2002-11-29,47.1120
2002-12-31,44.2912
2003-01-31,42.5270
2003-02-28,42.4862
2003-03-31,41.6679
2003-04-30,45.3503
2003-05-30,47.6008
2003-06-30,46.5873
2003-07-31,51.7106
2003-08-29,50.0245
2003-09-30,47.8341
2003-10-31,49.9842
2003-11-28,51.0390
2003-12-31,53.1837
2004-01-30,52.4168
2004-02-27,50.3850
2004-03-31,51.0806
2004-04-30,51.2633
2004-05-31,0
2004-06-30,53.1745
2004-07-30,55.8371
2004-08-31,56.2974
2004-09-30,56.4310
2004-10-29,57.8505
2004-11-30,55.3956
2004-12-31,54.1426
2005-01-31,52.1954
2005-02-28,50.8990
2005-03-31,47.5117
2005-04-29,48.0311
2005-05-31,44.7741
2005-06-30,42.4531
2005-07-29,44.8879
2005-08-31,44.9797
2005-09-30,46.0764
2005-10-31,46.3894
2005-11-30,48.0304
2005-12-30,48.0576
2006-01-31,48.3647
2006-02-28,48.4753
2006-03-31,48.4309
2006-04-28,48.0319
2006-05-31,45.3622
2006-06-30,44.5038
2006-07-31,49.2855
2006-08-31,48.5642
2006-09-29,50.9780
2006-10-31,52.5622
2006-11-30,54.0793
2006-12-29,55.3215
2007-01-31,54.4672
2007-02-28,54.6928
2007-03-30,54.0658
2007-04-30,55.2395
2007-05-31,55.7986
2007-06-29,53.4052
2007-07-31,49.1085
2007-08-31,48.1427
2007-09-28,46.1872
2007-10-31,44.7943
2007-11-30,43.8246
2007-12-31,44.8322
2008-01-31,46.9012
2008-02-29,45.4821
2008-03-31,45.5949
2008-04-30,45.8582
2008-05-30,48.3825
2008-06-30,46.7803
2008-07-31,47.9381
2008-08-29,49.2094
2008-09-30,50.7532
2008-10-31,50.1659
2008-11-28,48.5861
2008-12-31,47.6815
2009-01-30,47.8722
2009-02-27,47.5735
2009-03-31,50.5722
2009-04-30,53.4667
2009-05-29,49.1658
2009-06-30,50.1447
2009-07-31,50.3218
2009-08-31,53.1800
2009-09-30,53.8285
2009-10-30,54.3171
2009-11-30,54.4803
2009-12-31,51.7738
2010-01-29,53.9090
2010-02-26,52.7243
2010-03-31,53.6690
2010-04-30,55.5719
2010-05-31,0
2010-06-30,50.5003
2010-07-30,51.4141
2010-08-31,51.0213
2010-09-30,51.3497
2010-10-29,49.5642
2010-11-30,50.0095
2010-12-31,52.0697
2011-01-31,48.2420
2011-02-28,48.3647
2011-03-31,48.6290
2011-04-29,50.4966
2011-05-31,49.9733
2011-06-30,49.3195
2011-07-29,47.0288
2011-08-31,45.3247
2011-09-30,44.1109
2011-10-31,43.5910
2011-11-30,45.0419
2011-12-30,47.3956
2012-01-31,46.0451
2012-02-29,47.3508
2012-03-30,48.8363
2012-04-30,49.9844
