,MFI_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,50.9029
2000-09-29,47.3204
2000-10-31,46.6157
2000-11-30,45.3101
2000-12-29,41.5035
2001-01-31,52.3493
2001-02-28,53.0893
2001-03-30,52.1413
2001-04-30,55.3871
2001-05-31,56.5913
2001-06-29,57.7373
2001-07-31,60.4665
2001-08-31,57.0008
2001-09-28,55.6146
2001-10-31,55.8990
2001-11-30,54.2917
2001-12-31,55.5841
2002-01-31,58.1386
2002-02-28,57.3301
2002-03-29,0
2002-04-30,51.3617
2002-05-31,49.1074
2002-06-28,50.7192
2002-07-31,51.1178
2002-08-30,49.8127
2002-09-30,45.8120
2002-10-31,42.6007
2002-11-29,42.8351
2002-12-31,42.7419
2003-01-31,45.0269
2003-02-28,48.7231
2003-03-31,45.9549
2003-04-30,54.5991
2003-05-30,61.9147
2003-06-30,59.9773
2003-07-31,57.4762
2003-08-29,56.9731
2003-09-30,54.4954
2003-10-31,53.8873
2003-11-28,54.5159
2003-12-31,54.0005
2004-01-30,57.1828
2004-02-27,54.4078
2004-03-31,49.9710
2004-04-30,52.5016
2004-05-31,0
2004-06-30,50.1569
2004-07-30,46.5789
2004-08-31,47.4645
2004-09-30,46.5912
2004-10-29,45.1732
2004-11-30,42.9540
2004-12-31,47.2032
2005-01-31,45.4347
2005-02-28,48.1250
2005-03-31,47.9402
2005-04-29,48.5103
2005-05-31,52.2395
2005-06-30,53.4377
2005-07-29,55.5713
2005-08-31,56.5543
2005-09-30,58.2175
2005-10-31,54.6182
2005-11-30,55.9857
2005-12-30,56.0455
2006-01-31,55.6794
2006-02-28,54.5805
2006-03-31,53.0971
2006-04-28,52.2134
2006-05-31,49.9844
2006-06-30,45.5175
2006-07-31,48.8030
2006-08-31,47.8770
2006-09-29,47.9046
2006-10-31,49.5368
2006-11-30,51.5015
2006-12-29,53.1891
2007-01-31,56.7714
2007-02-28,57.2119
2007-03-30,59.3886
2007-04-30,62.6165
2007-05-31,65.3392
2007-06-29,64.5488
2007-07-31,61.6528
2007-08-31,58.0560
2007-09-28,57.7884
2007-10-31,59.4065
2007-11-30,55.3083
2007-12-31,54.0050
2008-01-31,52.7862
2008-02-29,52.2693
2008-03-31,47.9513
2008-04-30,45.0145
2008-05-30,55.6160
2008-06-30,55.3265
2008-07-31,55.8661
2008-08-29,55.3465
2008-09-30,54.2319
2008-10-31,54.2009
2008-11-28,51.9127
2008-12-31,53.7151
2009-01-30,54.4596
2009-02-27,53.5325
2009-03-31,47.2024
2009-04-30,48.6246
2009-05-29,43.6348
2009-06-30,43.1973
2009-07-31,50.7085
2009-08-31,50.6319
2009-09-30,49.6322
2009-10-30,48.8108
2009-11-30,49.6025
2009-12-31,51.9190
2010-01-29,52.8712
2010-02-26,50.8452
2010-03-31,53.2577
2010-04-30,53.7200
2010-05-31,0
2010-06-30,51.8168
2010-07-30,52.9248
2010-08-31,50.9497
2010-09-30,52.3344
2010-10-29,52.7348
2010-11-30,55.0346
2010-12-31,55.3311
2011-01-31,55.5234
2011-02-28,57.5026
2011-03-31,57.5503
2011-04-29,56.7491
2011-05-31,55.7511
2011-06-30,54.1869
2011-07-29,53.9969
2011-08-31,51.4998
2011-09-30,47.7033
2011-10-31,45.5510
2011-11-30,44.3968
2011-12-30,39.9115
2012-01-31,40.4953
2012-02-29,40.8326
2012-03-30,43.1527
2012-04-30,41.4978
