,MFI_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,45.1073
2005-05-31,55.3441
2005-06-30,53.3077
2005-07-29,54.2707
2005-08-31,49.1581
2005-09-30,52.9653
2005-10-31,54.3464
2005-11-30,58.7457
2005-12-30,56.7777
2006-01-31,58.2391
2006-02-28,53.2352
2006-03-31,52.9783
2006-04-28,52.0134
2006-05-31,46.9671
2006-06-30,46.0710
2006-07-31,47.7560
2006-08-31,51.3101
2006-09-29,49.7769
2006-10-31,52.4898
2006-11-30,54.6644
2006-12-29,52.3555
2007-01-31,55.4614
2007-02-28,56.4470
2007-03-30,58.2395
2007-04-30,57.4911
2007-05-31,56.9842
2007-06-29,51.4861
2007-07-31,47.6724
2007-08-31,44.3320
2007-09-28,50.5216
2007-10-31,49.5792
2007-11-30,49.6645
2007-12-31,54.5256
2008-01-31,52.5032
2008-02-29,53.8884
2008-03-31,52.4822
2008-04-30,54.2133
2008-05-30,56.9729
2008-06-30,57.4245
2008-07-31,54.4009
2008-08-29,54.6403
2008-09-30,54.4287
2008-10-31,52.5571
2008-11-28,52.1151
2008-12-31,53.0666
2009-01-30,52.9927
2009-02-27,51.6665
2009-03-31,49.7249
2009-04-30,52.1394
2009-05-29,50.8595
2009-06-30,46.7254
2009-07-31,50.9389
2009-08-31,56.3517
2009-09-30,56.4041
2009-10-30,57.2813
2009-11-30,57.0802
2009-12-31,58.4554
2010-01-29,55.0065
2010-02-26,55.6849
2010-03-31,57.8288
2010-04-30,60.5026
2010-05-31,0
2010-06-30,53.0277
2010-07-30,55.1631
2010-08-31,54.3905
2010-09-30,54.5627
2010-10-29,52.6819
2010-11-30,54.9474
2010-12-31,51.3820
2011-01-31,50.8593
2011-02-28,51.9821
2011-03-31,50.5758
2011-04-29,50.5738
2011-05-31,51.7803
2011-06-30,50.9943
2011-07-29,52.4540
2011-08-31,50.5920
2011-09-30,47.7879
2011-10-31,48.7544
2011-11-30,46.6141
2011-12-30,47.1202
2012-01-31,48.2465
2012-02-29,51.8661
2012-03-30,52.7518
2012-04-30,50.9289
2012-05-31,50.2705
2012-06-29,51.8744
2012-07-31,50.0069
2012-08-31,48.7952
2012-09-28,52.0781
2012-10-31,51.0720
2012-11-30,47.6812
2012-12-31,46.0745
2013-01-31,45.5105
2013-02-28,47.2287
2013-03-29,0
2013-04-30,46.9356
2013-05-31,47.1434
