,MFI_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,62.5163
2000-09-29,64.5534
2000-10-31,63.1904
2000-11-30,63.5355
2000-12-29,66.4998
2001-01-31,62.6707
2001-02-28,61.3264
2001-03-30,55.4811
2001-04-30,55.8731
2001-05-31,58.3828
2001-06-29,54.6063
2001-07-31,53.6169
2001-08-31,51.5186
2001-09-28,50.8111
2001-10-31,49.2407
2001-11-30,48.8427
2001-12-31,49.5321
2002-01-31,47.5769
2002-02-28,49.8096
2002-03-29,0
2002-04-30,58.0281
2002-05-31,57.8663
2002-06-28,58.4282
2002-07-31,55.8930
2002-08-30,57.9206
2002-09-30,58.2388
2002-10-31,57.4438
2002-11-29,61.6888
2002-12-31,55.6487
2003-01-31,51.3371
2003-02-28,50.0029
2003-03-31,52.5099
2003-04-30,54.2012
2003-05-30,54.2495
2003-06-30,55.0245
2003-07-31,51.2070
2003-08-29,51.7239
2003-09-30,49.7226
2003-10-31,48.6560
2003-11-28,50.5634
2003-12-31,53.2093
2004-01-30,53.4211
2004-02-27,52.5411
2004-03-31,50.5717
2004-04-30,55.7762
2004-05-31,0
2004-06-30,57.7939
2004-07-30,57.0782
2004-08-31,54.0074
2004-09-30,55.2005
2004-10-29,53.0201
2004-11-30,54.3002
2004-12-31,54.1638
2005-01-31,53.2593
2005-02-28,55.4356
2005-03-31,54.3793
2005-04-29,50.9169
2005-05-31,51.7722
2005-06-30,54.8256
2005-07-29,55.9734
2005-08-31,57.8164
2005-09-30,61.2683
2005-10-31,57.7572
2005-11-30,54.3390
2005-12-30,53.1581
2006-01-31,55.5767
2006-02-28,55.4694
2006-03-31,53.6103
2006-04-28,53.0960
2006-05-31,49.0264
2006-06-30,48.8909
2006-07-31,47.7735
2006-08-31,49.6988
2006-09-29,48.5547
2006-10-31,49.5405
2006-11-30,54.1354
2006-12-29,53.5332
2007-01-31,55.0895
2007-02-28,55.6961
2007-03-30,57.7527
2007-04-30,58.8140
2007-05-31,58.8633
2007-06-29,59.7462
2007-07-31,58.4895
2007-08-31,56.3689
2007-09-28,53.8629
2007-10-31,56.0929
2007-11-30,53.7894
2007-12-31,55.1801
2008-01-31,53.3083
2008-02-29,57.1974
2008-03-31,55.3455
2008-04-30,56.9886
2008-05-30,56.9149
2008-06-30,56.1913
2008-07-31,51.9389
2008-08-29,50.8995
2008-09-30,49.9100
2008-10-31,48.9343
2008-11-28,48.7022
2008-12-31,47.2831
2009-01-30,46.6226
2009-02-27,45.9160
2009-03-31,45.5042
2009-04-30,46.6693
2009-05-29,51.9892
2009-06-30,51.2682
2009-07-31,56.0015
2009-08-31,55.4487
2009-09-30,54.9801
2009-10-30,54.8385
2009-11-30,54.7968
2009-12-31,55.9254
2010-01-29,54.6930
2010-02-26,55.8148
2010-03-31,54.6662
2010-04-30,54.6696
2010-05-31,0
2010-06-30,49.3212
2010-07-30,49.1026
2010-08-31,47.0596
2010-09-30,47.9916
2010-10-29,46.8164
2010-11-30,48.7357
2010-12-31,48.3607
2011-01-31,49.2166
2011-02-28,51.4705
2011-03-31,55.4497
2011-04-29,60.0119
2011-05-31,61.4567
2011-06-30,63.7762
2011-07-29,63.5595
2011-08-31,62.2843
2011-09-30,58.5100
2011-10-31,57.5063
2011-11-30,57.7470
2011-12-30,54.5727
2012-01-31,51.6579
2012-02-29,51.3272
2012-03-30,49.9835
2012-04-30,49.7482
