,MFI_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,61.3124
2006-02-28,57.3533
2006-03-31,64.1872
2006-04-28,68.4726
2006-05-31,57.1809
2006-06-30,51.9071
2006-07-31,50.7920
2006-08-31,49.5700
2006-09-29,48.6824
2006-10-31,46.0653
2006-11-30,47.2459
2006-12-29,45.5750
2007-01-31,40.5572
2007-02-28,35.6380
2007-03-30,41.1644
2007-04-30,40.9278
2007-05-31,41.8331
2007-06-29,43.8160
2007-07-31,44.2796
2007-08-31,49.7186
2007-09-28,49.5114
2007-10-31,53.6814
2007-11-30,55.6081
2007-12-31,57.8759
2008-01-31,55.7876
2008-02-29,56.1926
2008-03-31,54.5082
2008-04-30,52.1909
2008-05-30,53.2895
2008-06-30,47.5317
2008-07-31,45.1586
2008-08-29,46.9529
2008-09-30,47.7149
2008-10-31,46.0198
2008-11-28,46.2792
2008-12-31,49.8707
2009-01-30,49.2899
2009-02-27,44.7082
2009-03-31,44.9633
2009-04-30,52.5243
2009-05-29,54.9933
2009-06-30,53.9832
2009-07-31,54.7622
2009-08-31,55.5405
2009-09-30,55.6304
2009-10-30,54.1217
2009-11-30,54.6294
2009-12-31,56.7515
2010-01-29,58.7945
2010-02-26,57.4424
2010-03-31,55.7048
2010-04-30,58.0951
2010-05-31,0
2010-06-30,56.7691
2010-07-30,56.6762
2010-08-31,57.9615
2010-09-30,56.8473
2010-10-29,55.7647
2010-11-30,50.8929
2010-12-31,51.9191
2011-01-31,52.7007
2011-02-28,53.0563
2011-03-31,52.7365
2011-04-29,52.9070
2011-05-31,52.1743
2011-06-30,50.9622
2011-07-29,50.3608
2011-08-31,50.7453
2011-09-30,50.4650
2011-10-31,47.2666
2011-11-30,45.9006
2011-12-30,47.9400
2012-01-31,48.0237
2012-02-29,48.3427
2012-03-30,48.8725
2012-04-30,44.3982
2012-05-31,49.3648
2012-06-29,53.6744
2012-07-31,53.6702
2012-08-31,59.2030
2012-09-28,60.6630
2012-10-31,58.5136
2012-11-30,56.7176
2012-12-31,59.0201
2013-01-31,61.5218
2013-02-28,59.6316
2013-03-29,0
2013-04-30,57.9446
2013-05-31,62.2057
2013-06-28,64.6192
2013-07-31,63.5031
2013-08-30,65.4232
