,MFI_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,52.7345
2000-09-29,57.2751
2000-10-31,55.0088
2000-11-30,53.8902
2000-12-29,57.8710
2001-01-31,57.6738
2001-02-28,58.3743
2001-03-30,56.7770
2001-04-30,55.0558
2001-05-31,53.0582
2001-06-29,49.9824
2001-07-31,49.8407
2001-08-31,50.9313
2001-09-28,49.4141
2001-10-31,48.5395
2001-11-30,45.7987
2001-12-31,46.3953
2002-01-31,45.0220
2002-02-28,47.3330
2002-03-29,0
2002-04-30,49.3365
2002-05-31,46.4332
2002-06-28,45.8016
2002-07-31,43.8372
2002-08-30,44.3359
2002-09-30,42.2866
2002-10-31,44.8584
2002-11-29,46.6641
2002-12-31,47.3318
2003-01-31,45.7645
2003-02-28,46.5838
2003-03-31,49.6321
2003-04-30,53.2391
2003-05-30,55.6914
2003-06-30,57.8742
2003-07-31,61.2243
2003-08-29,58.9066
2003-09-30,58.9552
2003-10-31,58.7546
2003-11-28,60.4849
2003-12-31,60.6996
2004-01-30,59.2523
2004-02-27,57.0327
2004-03-31,53.7168
2004-04-30,55.1244
2004-05-31,0
2004-06-30,54.5267
2004-07-30,53.5140
2004-08-31,55.7917
2004-09-30,54.7143
2004-10-29,52.3947
2004-11-30,54.5482
2004-12-31,55.8545
2005-01-31,56.3540
2005-02-28,60.1606
2005-03-31,59.3597
2005-04-29,58.2620
2005-05-31,55.5279
2005-06-30,55.4916
2005-07-29,54.8084
2005-08-31,54.5202
2005-09-30,57.0651
2005-10-31,53.9652
2005-11-30,52.5748
2005-12-30,52.2545
2006-01-31,49.3692
2006-02-28,51.7566
2006-03-31,47.6090
2006-04-28,49.4357
2006-05-31,49.8818
2006-06-30,47.8475
2006-07-31,46.6450
2006-08-31,48.2249
2006-09-29,45.3363
2006-10-31,47.3626
2006-11-30,51.0048
2006-12-29,52.9012
2007-01-31,52.5491
2007-02-28,51.5658
2007-03-30,53.0852
2007-04-30,54.5953
2007-05-31,53.0249
2007-06-29,52.0022
2007-07-31,50.3099
2007-08-31,49.4508
2007-09-28,49.3999
2007-10-31,52.3287
2007-11-30,51.8129
2007-12-31,53.5904
2008-01-31,52.0215
2008-02-29,50.3552
2008-03-31,51.8337
2008-04-30,52.2722
2008-05-30,54.7032
2008-06-30,56.5670
2008-07-31,55.0898
2008-08-29,53.5885
2008-09-30,50.2409
2008-10-31,49.5045
2008-11-28,50.0116
2008-12-31,50.2856
2009-01-30,50.3950
2009-02-27,47.2144
2009-03-31,46.5055
2009-04-30,45.5211
2009-05-29,47.6500
2009-06-30,48.3858
2009-07-31,50.0145
2009-08-31,48.0061
2009-09-30,50.2581
2009-10-30,49.4981
2009-11-30,49.9801
2009-12-31,54.0335
2010-01-29,52.4951
2010-02-26,51.9203
2010-03-31,56.1014
2010-04-30,55.1706
2010-05-31,0
2010-06-30,56.3277
2010-07-30,57.1000
2010-08-31,55.8417
2010-09-30,53.9432
2010-10-29,54.8134
2010-11-30,56.5746
2010-12-31,53.3372
2011-01-31,54.1822
2011-02-28,54.7280
2011-03-31,54.1302
2011-04-29,54.2356
2011-05-31,53.8178
2011-06-30,56.6626
2011-07-29,55.6457
2011-08-31,58.3864
2011-09-30,57.6256
2011-10-31,56.9651
2011-11-30,56.2416
2011-12-30,55.0942
2012-01-31,52.6448
2012-02-29,53.2971
2012-03-30,52.6495
2012-04-30,52.1187
