,MFI_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,51.5085
2000-09-29,51.8395
2000-10-31,53.2352
2000-11-30,56.6075
2000-12-29,57.6662
2001-01-31,55.8833
2001-02-28,57.0409
2001-03-30,55.4685
2001-04-30,56.0650
2001-05-31,56.1334
2001-06-29,56.3025
2001-07-31,57.3185
2001-08-31,53.6495
2001-09-28,51.4777
2001-10-31,52.1977
2001-11-30,51.1500
2001-12-31,50.1287
2002-01-31,49.9161
2002-02-28,52.2058
2002-03-29,0
2002-04-30,50.7627
2002-05-31,51.3866
2002-06-28,51.5548
2002-07-31,51.7941
2002-08-30,51.3239
2002-09-30,53.8367
2002-10-31,53.9897
2002-11-29,51.9931
2002-12-31,53.2246
2003-01-31,51.0261
2003-02-28,50.0631
2003-03-31,50.5642
2003-04-30,52.9862
2003-05-30,53.8318
2003-06-30,55.1286
2003-07-31,51.0683
2003-08-29,51.9523
2003-09-30,52.8742
2003-10-31,53.2282
2003-11-28,54.0678
2003-12-31,55.7387
2004-01-30,54.8007
2004-02-27,55.3962
2004-03-31,53.6617
2004-04-30,51.9799
2004-05-31,0
2004-06-30,54.0871
2004-07-30,54.6586
2004-08-31,56.2376
2004-09-30,55.0210
2004-10-29,54.3369
2004-11-30,55.0609
2004-12-31,54.2939
2005-01-31,55.5946
2005-02-28,58.2430
2005-03-31,54.4371
2005-04-29,53.1921
2005-05-31,53.4361
2005-06-30,54.5724
2005-07-29,53.9141
2005-08-31,52.6812
2005-09-30,54.6848
2005-10-31,53.0131
2005-11-30,52.3688
2005-12-30,54.3931
2006-01-31,56.1010
2006-02-28,53.0447
2006-03-31,51.1751
2006-04-28,48.9402
2006-05-31,52.4969
2006-06-30,51.2601
2006-07-31,53.1746
2006-08-31,53.4459
2006-09-29,52.6322
2006-10-31,54.5956
2006-11-30,56.2884
2006-12-29,56.1249
2007-01-31,59.2003
2007-02-28,59.3214
2007-03-30,61.2999
2007-04-30,61.3986
2007-05-31,59.5785
2007-06-29,54.4494
2007-07-31,51.2653
2007-08-31,51.6688
2007-09-28,51.3790
2007-10-31,51.4956
2007-11-30,53.5213
2007-12-31,52.2979
2008-01-31,46.8256
2008-02-29,45.7771
2008-03-31,45.3769
2008-04-30,46.6760
2008-05-30,45.9658
2008-06-30,44.4922
2008-07-31,43.7780
2008-08-29,43.8922
2008-09-30,42.1016
2008-10-31,44.1093
2008-11-28,46.3399
2008-12-31,46.6843
2009-01-30,48.5727
2009-02-27,46.7869
2009-03-31,49.5215
2009-04-30,49.2362
2009-05-29,47.6928
2009-06-30,46.2904
2009-07-31,47.9093
2009-08-31,49.7594
2009-09-30,49.4119
2009-10-30,48.5773
2009-11-30,52.5581
2009-12-31,56.7521
2010-01-29,53.5016
2010-02-26,53.5428
2010-03-31,55.3154
2010-04-30,56.8631
2010-05-31,0
2010-06-30,53.9815
2010-07-30,54.2527
2010-08-31,54.7424
2010-09-30,52.7725
2010-10-29,53.1224
2010-11-30,56.0486
2010-12-31,57.2194
2011-01-31,57.7522
2011-02-28,55.8530
2011-03-31,55.5109
2011-04-29,55.5402
2011-05-31,57.5563
2011-06-30,56.8832
2011-07-29,56.3209
2011-08-31,55.4129
2011-09-30,55.5254
2011-10-31,53.8996
2011-11-30,54.3740
2011-12-30,57.0600
2012-01-31,53.5732
2012-02-29,51.3324
2012-03-30,50.9919
2012-04-30,51.5638
