,MFI_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,53.7642
2000-09-29,56.9565
2000-10-31,57.0221
2000-11-30,56.8343
2000-12-29,59.6399
2001-01-31,54.5604
2001-02-28,58.0255
2001-03-30,55.7060
2001-04-30,56.9644
2001-05-31,55.6228
2001-06-29,54.2813
2001-07-31,51.3420
2001-08-31,57.3679
2001-09-28,58.4895
2001-10-31,56.6322
2001-11-30,55.3941
2001-12-31,55.8679
2002-01-31,58.3443
2002-02-28,58.3986
2002-03-29,0
2002-04-30,54.7302
2002-05-31,56.7994
2002-06-28,54.2017
2002-07-31,51.8803
2002-08-30,53.5555
2002-09-30,53.6558
2002-10-31,53.0909
2002-11-29,51.3792
2002-12-31,53.6044
2003-01-31,54.2362
2003-02-28,53.2438
2003-03-31,51.3686
2003-04-30,53.4302
2003-05-30,54.4577
2003-06-30,53.4245
2003-07-31,50.7139
2003-08-29,47.8901
2003-09-30,46.4330
2003-10-31,48.5714
2003-11-28,50.9339
2003-12-31,49.2442
2004-01-30,51.7318
2004-02-27,53.2278
2004-03-31,52.9270
2004-04-30,54.1691
2004-05-31,0
2004-06-30,55.7308
2004-07-30,55.7093
2004-08-31,53.9658
2004-09-30,54.8686
2004-10-29,54.2557
2004-11-30,52.6531
2004-12-31,47.9643
2005-01-31,46.7700
2005-02-28,51.3393
2005-03-31,51.6888
2005-04-29,52.2833
2005-05-31,54.0163
2005-06-30,53.4829
2005-07-29,53.6227
2005-08-31,54.3213
2005-09-30,58.2849
2005-10-31,57.1258
2005-11-30,54.8546
2005-12-30,55.1636
2006-01-31,55.3902
2006-02-28,52.8603
2006-03-31,51.5538
2006-04-28,51.3134
2006-05-31,52.4433
2006-06-30,52.4868
2006-07-31,54.8227
2006-08-31,56.5112
2006-09-29,54.5473
2006-10-31,54.8501
2006-11-30,56.5918
2006-12-29,56.3741
2007-01-31,56.7682
2007-02-28,56.7598
2007-03-30,57.7967
2007-04-30,58.5946
2007-05-31,58.0432
2007-06-29,55.2506
2007-07-31,52.5976
2007-08-31,51.0069
2007-09-28,51.7274
2007-10-31,52.9177
2007-11-30,51.0591
2007-12-31,52.2808
2008-01-31,50.1581
2008-02-29,47.0766
2008-03-31,49.5480
2008-04-30,52.0534
2008-05-30,53.4590
2008-06-30,56.0952
2008-07-31,54.2371
2008-08-29,55.5102
2008-09-30,51.4604
2008-10-31,50.6232
2008-11-28,51.9355
2008-12-31,52.0440
2009-01-30,50.8833
2009-02-27,49.2511
2009-03-31,47.2393
2009-04-30,46.3044
2009-05-29,48.6677
2009-06-30,48.1956
2009-07-31,52.3878
2009-08-31,54.8722
2009-09-30,52.8612
2009-10-30,51.2680
2009-11-30,51.2400
2009-12-31,56.4297
2010-01-29,54.0121
2010-02-26,48.2660
2010-03-31,48.8609
2010-04-30,47.5528
2010-05-31,0
2010-06-30,45.2178
2010-07-30,47.7428
2010-08-31,48.7082
2010-09-30,47.9767
2010-10-29,46.4717
2010-11-30,48.5123
2010-12-31,51.0228
2011-01-31,53.9263
2011-02-28,53.5759
2011-03-31,50.9380
2011-04-29,52.5842
2011-05-31,54.0855
2011-06-30,53.7106
2011-07-29,50.0560
2011-08-31,51.7637
2011-09-30,51.8520
2011-10-31,49.4712
2011-11-30,47.9570
2011-12-30,50.1915
2012-01-31,49.5358
2012-02-29,48.3694
2012-03-30,50.4762
2012-04-30,52.1280
