,MFI_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,55.4087
2000-09-29,58.7906
2000-10-31,52.0981
2000-11-30,51.8503
2000-12-29,49.4398
2001-01-31,48.7793
2001-02-28,47.6353
2001-03-30,44.8314
2001-04-30,45.5436
2001-05-31,50.6755
2001-06-29,49.2905
2001-07-31,49.5376
2001-08-31,53.9516
2001-09-28,52.8681
2001-10-31,53.5151
2001-11-30,55.0519
2001-12-31,55.0087
2002-01-31,54.9735
2002-02-28,56.0046
2002-03-29,0
2002-04-30,57.4644
2002-05-31,55.5172
2002-06-28,55.0000
2002-07-31,53.3747
2002-08-30,51.5869
2002-09-30,51.6442
2002-10-31,51.1046
2002-11-29,51.5342
2002-12-31,52.2817
2003-01-31,49.0317
2003-02-28,53.7065
2003-03-31,55.6145
2003-04-30,55.2942
2003-05-30,60.1724
2003-06-30,59.7963
2003-07-31,63.4131
2003-08-29,62.2046
2003-09-30,61.7725
2003-10-31,62.9129
2003-11-28,62.1036
2003-12-31,59.0168
2004-01-30,61.2180
2004-02-27,61.4486
2004-03-31,61.7249
2004-04-30,51.2602
2004-05-31,0
2004-06-30,52.8952
2004-07-30,53.0961
2004-08-31,53.4078
2004-09-30,52.6611
2004-10-29,55.5003
2004-11-30,53.3824
2004-12-31,52.4323
2005-01-31,54.1119
2005-02-28,57.7948
2005-03-31,54.0521
2005-04-29,57.0415
2005-05-31,59.8517
2005-06-30,61.1710
2005-07-29,61.5506
2005-08-31,58.6845
2005-09-30,58.4360
2005-10-31,60.8681
2005-11-30,58.4535
2005-12-30,58.0994
2006-01-31,62.0447
2006-02-28,60.7472
2006-03-31,58.9321
2006-04-28,55.3246
2006-05-31,53.1541
2006-06-30,54.8477
2006-07-31,56.9764
2006-08-31,54.8632
2006-09-29,56.5603
2006-10-31,58.1892
2006-11-30,55.7025
2006-12-29,53.8983
2007-01-31,59.4199
2007-02-28,58.1360
2007-03-30,58.1516
2007-04-30,56.8990
2007-05-31,56.6372
2007-06-29,52.9934
2007-07-31,51.6205
2007-08-31,53.5890
2007-09-28,54.5745
2007-10-31,53.6653
2007-11-30,51.2364
2007-12-31,53.6168
2008-01-31,50.6083
2008-02-29,51.5342
2008-03-31,52.0467
2008-04-30,53.4820
2008-05-30,53.8064
2008-06-30,49.9614
2008-07-31,49.3952
2008-08-29,50.0532
2008-09-30,49.3006
2008-10-31,49.6569
2008-11-28,47.3693
2008-12-31,48.2034
2009-01-30,46.0305
2009-02-27,43.8201
2009-03-31,46.0392
2009-04-30,51.0293
2009-05-29,49.4466
2009-06-30,49.0996
2009-07-31,51.2324
2009-08-31,53.1728
2009-09-30,52.2577
2009-10-30,52.4072
2009-11-30,53.9532
2009-12-31,55.0866
2010-01-29,52.6378
2010-02-26,51.2335
2010-03-31,53.4948
2010-04-30,53.8346
2010-05-31,0
2010-06-30,51.1802
2010-07-30,54.3485
2010-08-31,55.0054
2010-09-30,55.0786
2010-10-29,53.7101
2010-11-30,53.0772
2010-12-31,51.6145
2011-01-31,53.0945
2011-02-28,52.8339
2011-03-31,51.5662
2011-04-29,53.2099
2011-05-31,51.1253
2011-06-30,50.7942
2011-07-29,50.4360
2011-08-31,54.0585
2011-09-30,53.9981
2011-10-31,53.7219
2011-11-30,51.7974
2011-12-30,54.9048
2012-01-31,55.0423
2012-02-29,54.3539
2012-03-30,55.9261
2012-04-30,55.3220
