,MFI_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-30,0
2010-08-31,0
2010-09-30,0
2010-10-29,0
2010-11-30,0
2010-12-31,0
2011-01-31,0
2011-02-28,0
2011-03-31,0
2011-04-29,0
2011-05-31,0
2011-06-30,0
2011-07-29,0
2011-08-31,0
2011-09-30,0
2011-10-31,0
2011-11-30,0
2011-12-30,0
2012-01-31,0
2012-02-29,0
2012-03-30,0
2012-04-30,0
2012-05-31,0
2012-06-29,0
2012-07-31,0
2012-08-31,0
2012-09-28,0
2012-10-31,0
2012-11-30,0
2012-12-31,0
2013-01-31,0
2013-02-28,0
2013-03-29,0
2013-04-30,0
2013-05-31,0
2013-06-28,0
2013-07-31,0
2013-08-30,0
2013-09-30,0
2013-10-31,0
2013-11-29,0
2013-12-31,0
2014-01-31,0
2014-02-28,0
2014-03-31,0
2014-04-30,0
2014-05-30,0
2014-06-30,0
2014-07-31,0
2014-08-29,0
2014-09-30,0
2014-10-31,0
2014-11-28,0
2014-12-31,0
2015-01-30,0
2015-02-27,0
2015-03-31,0
2015-04-30,0
2015-05-29,0
2015-06-30,0
2015-07-31,0
2015-08-31,0
2015-09-30,0
2015-10-30,0
2015-11-30,0
2015-12-31,0
2016-01-29,0
2016-02-29,0
2016-03-31,0
2016-04-29,0
2016-05-31,0
2016-06-30,0
2016-07-29,0
2016-08-31,58.1066
2016-09-30,60.5334
2016-10-31,61.4709
2016-11-30,61.7747
2016-12-30,58.1659
2017-01-31,57.1925
2017-02-28,58.6864
2017-03-31,56.2113
2017-04-28,57.8453
2017-05-31,55.4794
2017-06-30,53.7531
2017-07-31,53.5743
2017-08-31,54.1043
2017-09-29,53.8450
2017-10-31,54.0346
2017-11-30,51.9990
2017-12-29,54.3742
2018-01-31,54.5826
2018-02-28,55.6672
2018-03-30,0
2018-04-30,54.2682
2018-05-31,53.4249
2018-06-29,54.5215
2018-07-31,51.8972
2018-08-31,55.6688
2018-09-28,53.7633
2018-10-31,51.5254
2018-11-30,50.7084
2018-12-31,47.2719
2019-01-31,52.1974
2019-02-28,52.8812
2019-03-29,52.7101
2019-04-30,54.9720
2019-05-31,54.1525
2019-06-28,54.1724
2019-07-31,54.3223
2019-08-30,53.3131
2019-09-30,55.0317
2019-10-31,57.7133
2019-11-29,55.0974
2019-12-31,55.3605
2020-01-31,50.1490
2020-02-28,51.3646
2020-03-31,50.8109
2020-04-30,50.4287
2020-05-29,51.4312
2020-06-30,48.8756
2020-07-31,50.0574
2020-08-31,48.3390
2020-09-30,47.2301
2020-10-30,47.5351
2020-11-30,49.3885
2020-12-31,53.2735
2021-01-29,52.7172
2021-02-26,53.8703
2021-03-31,54.0546
2021-04-30,56.7432
2021-05-31,0
2021-06-30,53.6934
2021-07-30,53.4562
2021-08-31,55.1780
2021-09-30,52.4965
2021-10-29,52.3458
2021-11-30,51.1237
2021-12-31,51.6664
2022-01-31,51.8681
2022-02-28,49.6711
2022-03-31,52.6983
