,MFI_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,49.2933
2000-09-29,50.8381
2000-10-31,49.4177
2000-11-30,49.6635
2000-12-29,49.3970
2001-01-31,47.9814
2001-02-28,55.8232
2001-03-30,60.8090
2001-04-30,60.6041
2001-05-31,61.1544
2001-06-29,61.7534
2001-07-31,63.2033
2001-08-31,65.3056
2001-09-28,61.2658
2001-10-31,58.5919
2001-11-30,59.2336
2001-12-31,58.4573
2002-01-31,58.0228
2002-02-28,59.1413
2002-03-29,0
2002-04-30,51.7557
2002-05-31,52.6491
2002-06-28,50.9789
2002-07-31,51.3602
2002-08-30,51.4463
2002-09-30,45.2800
2002-10-31,46.1742
2002-11-29,42.5254
2002-12-31,43.5306
2003-01-31,43.2312
2003-02-28,42.6594
2003-03-31,43.9208
2003-04-30,41.5709
2003-05-30,42.4985
2003-06-30,42.7284
2003-07-31,45.7620
2003-08-29,51.5535
2003-09-30,48.1294
2003-10-31,49.1815
2003-11-28,52.7131
2003-12-31,52.6503
2004-01-30,53.0493
2004-02-27,51.3783
2004-03-31,48.0690
2004-04-30,45.6339
2004-05-31,0
2004-06-30,49.0819
2004-07-30,49.9136
2004-08-31,47.5511
2004-09-30,46.9913
2004-10-29,44.6091
2004-11-30,43.4130
2004-12-31,47.9698
2005-01-31,49.0607
2005-02-28,50.9284
2005-03-31,49.2947
2005-04-29,46.7130
2005-05-31,46.7316
2005-06-30,52.0025
2005-07-29,50.9531
2005-08-31,49.0170
2005-09-30,47.6560
2005-10-31,49.7733
2005-11-30,50.4705
2005-12-30,50.3310
2006-01-31,50.6002
2006-02-28,48.9429
2006-03-31,45.8627
2006-04-28,45.2661
2006-05-31,44.7683
2006-06-30,50.7441
2006-07-31,50.5134
2006-08-31,50.5238
2006-09-29,51.3288
2006-10-31,49.0112
2006-11-30,51.5246
2006-12-29,53.5481
2007-01-31,53.9020
2007-02-28,48.6135
2007-03-30,49.1244
2007-04-30,48.7927
2007-05-31,51.5344
2007-06-29,50.9291
2007-07-31,48.1649
2007-08-31,45.6941
2007-09-28,47.7678
2007-10-31,47.1781
2007-11-30,47.3352
2007-12-31,48.9372
2008-01-31,48.4475
2008-02-29,47.1919
2008-03-31,47.9075
2008-04-30,48.8715
2008-05-30,53.3779
2008-06-30,52.1087
2008-07-31,53.3600
2008-08-29,53.9395
2008-09-30,55.0884
2008-10-31,54.8493
2008-11-28,54.0492
2008-12-31,55.8187
2009-01-30,55.6371
2009-02-27,53.3393
2009-03-31,53.4375
2009-04-30,51.8297
2009-05-29,48.4801
2009-06-30,51.0889
2009-07-31,50.6357
2009-08-31,52.4915
2009-09-30,54.6224
2009-10-30,53.8242
2009-11-30,52.1913
2009-12-31,55.0661
2010-01-29,54.1836
2010-02-26,52.2089
2010-03-31,51.8935
2010-04-30,51.6120
2010-05-31,0
2010-06-30,47.8679
2010-07-30,46.3180
2010-08-31,44.2270
2010-09-30,44.7989
2010-10-29,43.3918
2010-11-30,44.4890
2010-12-31,46.2004
2011-01-31,46.4129
2011-02-28,49.7984
2011-03-31,52.4924
2011-04-29,53.9031
2011-05-31,52.2363
2011-06-30,52.7925
2011-07-29,52.0461
2011-08-31,53.7633
2011-09-30,53.3915
2011-10-31,54.3642
2011-11-30,54.0007
2011-12-30,51.1970
2012-01-31,50.1235
2012-02-29,52.4446
2012-03-30,51.6592
2012-04-30,51.6440
