,MFI_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,51.7098
2000-09-29,46.3998
2000-10-31,44.7484
2000-11-30,46.6632
2000-12-29,45.6869
2001-01-31,45.1929
2001-02-28,46.5180
2001-03-30,42.9578
2001-04-30,43.9496
2001-05-31,46.3787
2001-06-29,47.9275
2001-07-31,54.1177
2001-08-31,55.6815
2001-09-28,54.4847
2001-10-31,58.4943
2001-11-30,57.9186
2001-12-31,59.4273
2002-01-31,61.4949
2002-02-28,58.0615
2002-03-29,0
2002-04-30,57.1302
2002-05-31,54.4426
2002-06-28,51.4227
2002-07-31,49.7150
2002-08-30,48.9936
2002-09-30,46.3677
2002-10-31,46.6699
2002-11-29,48.3678
2002-12-31,44.4250
2003-01-31,41.4007
2003-02-28,40.3162
2003-03-31,41.3233
2003-04-30,46.6597
2003-05-30,48.0648
2003-06-30,47.7869
2003-07-31,52.2116
2003-08-29,58.2037
2003-09-30,59.9822
2003-10-31,56.0102
2003-11-28,59.4115
2003-12-31,55.2193
2004-01-30,53.0811
2004-02-27,51.9507
2004-03-31,51.2690
2004-04-30,51.2260
2004-05-31,0
2004-06-30,50.1329
2004-07-30,46.5014
2004-08-31,47.9189
2004-09-30,49.0202
2004-10-29,49.8072
2004-11-30,51.8466
2004-12-31,53.8789
2005-01-31,51.0016
2005-02-28,50.9740
2005-03-31,49.1278
2005-04-29,46.1577
2005-05-31,48.1765
2005-06-30,50.8931
2005-07-29,50.8072
2005-08-31,53.3017
2005-09-30,53.3568
2005-10-31,55.1935
2005-11-30,59.8903
2005-12-30,60.7377
2006-01-31,62.1772
2006-02-28,61.3698
2006-03-31,56.9036
2006-04-28,55.8653
2006-05-31,54.7837
2006-06-30,51.2772
2006-07-31,50.0276
2006-08-31,50.9345
2006-09-29,53.8467
2006-10-31,54.8656
2006-11-30,56.6272
2006-12-29,56.0994
2007-01-31,59.4332
2007-02-28,57.9914
2007-03-30,63.3297
2007-04-30,66.6844
2007-05-31,65.7490
2007-06-29,60.4126
2007-07-31,55.5107
2007-08-31,53.6611
2007-09-28,54.8667
2007-10-31,53.1710
2007-11-30,50.6679
2007-12-31,49.3067
2008-01-31,45.3083
2008-02-29,46.8190
2008-03-31,46.4025
2008-04-30,49.2052
2008-05-30,49.7572
2008-06-30,49.0097
2008-07-31,49.7209
2008-08-29,55.0223
2008-09-30,54.1103
2008-10-31,51.8011
2008-11-28,52.2018
2008-12-31,52.0923
2009-01-30,48.8262
2009-02-27,46.7857
2009-03-31,47.4165
2009-04-30,48.9786
2009-05-29,45.5373
2009-06-30,45.5104
2009-07-31,49.7353
2009-08-31,50.5873
2009-09-30,50.5464
2009-10-30,50.3008
2009-11-30,52.8717
2009-12-31,50.5923
2010-01-29,53.2107
2010-02-26,53.1626
2010-03-31,50.3827
2010-04-30,52.0705
2010-05-31,0
2010-06-30,54.1049
2010-07-30,54.9802
2010-08-31,58.2922
2010-09-30,61.3298
2010-10-29,61.5776
2010-11-30,59.6361
2010-12-31,60.3212
2011-01-31,61.8311
2011-02-28,63.8104
2011-03-31,64.9387
2011-04-29,64.8954
2011-05-31,61.3566
2011-06-30,60.8175
2011-07-29,56.3491
2011-08-31,58.6923
2011-09-30,58.2497
2011-10-31,58.5445
2011-11-30,56.8327
2011-12-30,53.1917
2012-01-31,51.0023
2012-02-29,52.7301
2012-03-30,54.4548
2012-04-30,55.2341
