,MFI_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,55.4531
2000-09-29,52.9698
2000-10-31,51.0740
2000-11-30,50.3454
2000-12-29,48.4970
2001-01-31,51.8420
2001-02-28,48.4679
2001-03-30,46.9361
2001-04-30,46.6091
2001-05-31,42.9829
2001-06-29,43.0075
2001-07-31,45.1847
2001-08-31,43.1500
2001-09-28,42.6092
2001-10-31,46.4219
2001-11-30,43.7929
2001-12-31,48.7756
2002-01-31,50.2274
2002-02-28,44.5454
2002-03-29,0
2002-04-30,47.6533
2002-05-31,48.4654
2002-06-28,49.5105
2002-07-31,46.2175
2002-08-30,44.9404
2002-09-30,45.4735
2002-10-31,42.6155
2002-11-29,47.3505
2002-12-31,44.3470
2003-01-31,45.9588
2003-02-28,49.2296
2003-03-31,51.2545
2003-04-30,51.0369
2003-05-30,54.5049
2003-06-30,53.1340
2003-07-31,53.1693
2003-08-29,53.7547
2003-09-30,54.9759
2003-10-31,55.1357
2003-11-28,53.4246
2003-12-31,54.1053
2004-01-30,58.2168
2004-02-27,55.9041
2004-03-31,52.3195
2004-04-30,51.0171
2004-05-31,0
2004-06-30,50.8600
2004-07-30,49.9267
2004-08-31,50.6839
2004-09-30,51.0679
2004-10-29,44.9234
2004-11-30,41.3857
2004-12-31,44.6057
2005-01-31,41.4666
2005-02-28,40.3137
2005-03-31,36.8432
2005-04-29,35.4622
2005-05-31,37.4764
2005-06-30,35.9150
2005-07-29,35.9282
2005-08-31,35.1628
2005-09-30,41.4027
2005-10-31,44.3565
2005-11-30,51.8765
2005-12-30,55.1518
2006-01-31,59.9015
2006-02-28,59.5495
2006-03-31,63.5887
2006-04-28,58.0636
2006-05-31,57.1978
2006-06-30,54.4583
2006-07-31,52.4318
2006-08-31,51.9669
2006-09-29,50.3468
2006-10-31,48.2904
2006-11-30,49.2427
2006-12-29,42.2927
2007-01-31,43.1978
2007-02-28,44.7776
2007-03-30,46.3767
2007-04-30,48.1006
2007-05-31,44.6863
2007-06-29,44.0755
2007-07-31,45.5273
2007-08-31,48.0146
2007-09-28,46.2633
2007-10-31,49.6257
2007-11-30,47.1272
2007-12-31,47.6983
2008-01-31,44.9302
2008-02-29,48.4622
2008-03-31,48.9223
2008-04-30,45.7701
2008-05-30,44.2788
2008-06-30,42.6385
2008-07-31,41.4532
2008-08-29,43.0465
2008-09-30,41.4601
2008-10-31,41.6949
2008-11-28,39.4086
2008-12-31,38.5134
2009-01-30,37.5073
2009-02-27,39.6452
2009-03-31,38.4665
2009-04-30,44.1035
2009-05-29,41.8546
2009-06-30,45.9135
2009-07-31,50.7039
2009-08-31,55.8517
2009-09-30,55.3812
2009-10-30,53.0708
2009-11-30,56.0213
2009-12-31,59.4959
2010-01-29,56.6440
2010-02-26,59.0508
2010-03-31,59.2035
2010-04-30,59.5157
2010-05-31,0
2010-06-30,52.0513
2010-07-30,52.6648
2010-08-31,49.9777
2010-09-30,51.8016
2010-10-29,49.5729
2010-11-30,49.5551
2010-12-31,50.4579
2011-01-31,50.6132
2011-02-28,62.9215
2011-03-31,56.8038
2011-04-29,56.9692
2011-05-31,56.5148
2011-06-30,54.3589
2011-07-29,53.3505
2011-08-31,53.4010
2011-09-30,51.9475
2011-10-31,51.1113
2011-11-30,45.5541
2011-12-30,44.2835
2012-01-31,46.8450
2012-02-29,43.9276
2012-03-30,47.9556
2012-04-30,47.0838
