,MFI_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,61.4741
2000-09-29,60.7886
2000-10-31,63.4150
2000-11-30,63.2953
2000-12-29,54.0355
2001-01-31,48.1155
2001-02-28,48.0631
2001-03-30,47.6557
2001-04-30,48.3302
2001-05-31,50.1499
2001-06-29,48.3789
2001-07-31,47.4589
2001-08-31,44.2996
2001-09-28,42.5135
2001-10-31,49.3421
2001-11-30,52.4951
2001-12-31,51.8048
2002-01-31,52.8452
2002-02-28,50.7838
2002-03-29,0
2002-04-30,50.1538
2002-05-31,49.2732
2002-06-28,46.4905
2002-07-31,46.1005
2002-08-30,46.0587
2002-09-30,45.1738
2002-10-31,43.9199
2002-11-29,44.0038
2002-12-31,42.1555
2003-01-31,44.4305
2003-02-28,40.9230
2003-03-31,44.3699
2003-04-30,50.8422
2003-05-30,51.7557
2003-06-30,52.4400
2003-07-31,57.4325
2003-08-29,54.3313
2003-09-30,52.9900
2003-10-31,53.6032
2003-11-28,56.6363
2003-12-31,56.3230
2004-01-30,51.7307
2004-02-27,50.6943
2004-03-31,49.8322
2004-04-30,49.2358
2004-05-31,0
2004-06-30,49.2119
2004-07-30,48.9733
2004-08-31,47.7240
2004-09-30,46.6965
2004-10-29,49.3068
2004-11-30,53.7124
2004-12-31,52.8923
2005-01-31,52.5344
2005-02-28,50.6393
2005-03-31,48.0758
2005-04-29,45.4891
2005-05-31,46.5305
2005-06-30,45.5267
2005-07-29,46.2875
2005-08-31,44.7327
2005-09-30,46.6579
2005-10-31,42.5692
2005-11-30,47.1094
2005-12-30,46.5481
2006-01-31,50.6209
2006-02-28,53.4480
2006-03-31,54.3092
2006-04-28,53.9847
2006-05-31,50.7578
2006-06-30,50.8918
2006-07-31,51.3815
2006-08-31,49.8625
2006-09-29,53.7597
2006-10-31,50.7662
2006-11-30,50.0031
2006-12-29,48.1846
2007-01-31,46.0105
2007-02-28,52.5138
2007-03-30,54.9588
2007-04-30,57.5475
2007-05-31,60.7220
2007-06-29,58.2137
2007-07-31,55.0435
2007-08-31,57.6080
2007-09-28,56.6606
2007-10-31,59.7838
2007-11-30,54.8731
2007-12-31,53.8273
2008-01-31,50.7883
2008-02-29,50.7674
2008-03-31,49.9143
2008-04-30,48.4360
2008-05-30,47.9249
2008-06-30,45.8803
2008-07-31,44.1919
2008-08-29,43.0876
2008-09-30,44.3290
2008-10-31,44.1055
2008-11-28,43.5168
2008-12-31,44.6490
2009-01-30,44.2600
2009-02-27,44.5272
2009-03-31,43.9500
2009-04-30,46.3016
2009-05-29,44.0557
2009-06-30,50.1157
2009-07-31,51.4920
2009-08-31,53.5198
2009-09-30,54.1440
2009-10-30,54.1604
2009-11-30,55.5095
2009-12-31,57.8659
2010-01-29,56.3799
2010-02-26,57.6865
2010-03-31,59.3952
2010-04-30,59.4077
2010-05-31,0
2010-06-30,54.6086
2010-07-30,55.2225
2010-08-31,54.7373
2010-09-30,56.6070
2010-10-29,59.0272
2010-11-30,58.7392
2010-12-31,56.7319
2011-01-31,53.9994
2011-02-28,55.8154
2011-03-31,57.8111
2011-04-29,57.7242
2011-05-31,56.8701
2011-06-30,54.7756
2011-07-29,52.0046
2011-08-31,52.0030
2011-09-30,51.5623
2011-10-31,52.7081
2011-11-30,52.2828
2011-12-30,53.4404
2012-01-31,53.2123
2012-02-29,51.1527
2012-03-30,52.7162
2012-04-30,51.5122
