,MFI_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,45.4297
2000-09-29,45.8892
2000-10-31,46.6784
2000-11-30,48.1143
2000-12-29,50.2033
2001-01-31,50.2250
2001-02-28,50.6846
2001-03-30,51.5520
2001-04-30,52.4405
2001-05-31,55.1955
2001-06-29,55.7768
2001-07-31,59.5135
2001-08-31,57.9824
2001-09-28,55.5004
2001-10-31,56.0155
2001-11-30,55.1633
2001-12-31,54.8815
2002-01-31,56.7208
2002-02-28,56.4360
2002-03-29,0
2002-04-30,54.9801
2002-05-31,52.6136
2002-06-28,50.3940
2002-07-31,48.5221
2002-08-30,48.4213
2002-09-30,47.2699
2002-10-31,46.9301
2002-11-29,47.7479
2002-12-31,45.7131
2003-01-31,45.3312
2003-02-28,43.9657
2003-03-31,44.5826
2003-04-30,49.5770
2003-05-30,51.1507
2003-06-30,51.3066
2003-07-31,51.2845
2003-08-29,51.8565
2003-09-30,50.3317
2003-10-31,49.8619
2003-11-28,50.5020
2003-12-31,54.0246
2004-01-30,54.2669
2004-02-27,51.6542
2004-03-31,50.9949
2004-04-30,51.2359
2004-05-31,0
2004-06-30,53.9007
2004-07-30,55.2295
2004-08-31,57.3876
2004-09-30,55.0688
2004-10-29,53.6910
2004-11-30,55.3907
2004-12-31,54.8597
2005-01-31,54.0620
2005-02-28,53.1435
2005-03-31,51.7234
2005-04-29,48.0042
2005-05-31,47.5554
2005-06-30,46.8420
2005-07-29,46.6842
2005-08-31,43.0350
2005-09-30,40.8097
2005-10-31,42.5558
2005-11-30,48.3494
2005-12-30,46.7311
2006-01-31,48.9471
2006-02-28,47.9579
2006-03-31,50.8419
2006-04-28,50.9527
2006-05-31,51.7337
2006-06-30,51.2809
2006-07-31,52.0538
2006-08-31,48.1317
2006-09-29,48.3350
2006-10-31,46.9217
2006-11-30,48.1703
2006-12-29,47.8989
2007-01-31,48.3914
2007-02-28,45.9018
2007-03-30,46.8952
2007-04-30,48.0870
2007-05-31,50.0128
2007-06-29,49.5139
2007-07-31,46.7940
2007-08-31,48.1287
2007-09-28,48.3367
2007-10-31,49.5643
2007-11-30,49.4666
2007-12-31,49.2155
2008-01-31,49.9623
2008-02-29,47.7011
2008-03-31,46.7538
2008-04-30,47.0531
2008-05-30,53.2188
2008-06-30,49.9565
2008-07-31,51.9470
2008-08-29,53.9528
2008-09-30,53.5788
2008-10-31,52.7345
2008-11-28,51.7837
2008-12-31,54.3173
2009-01-30,51.9876
2009-02-27,50.3087
2009-03-31,49.6118
2009-04-30,52.0926
2009-05-29,47.9778
2009-06-30,45.4067
2009-07-31,50.7309
2009-08-31,53.3201
2009-09-30,53.5777
2009-10-30,56.2406
2009-11-30,57.1895
2009-12-31,60.3420
2010-01-29,57.3395
2010-02-26,56.4483
2010-03-31,59.5869
2010-04-30,61.9223
2010-05-31,0
2010-06-30,54.4833
2010-07-30,52.1634
2010-08-31,50.9963
2010-09-30,52.7021
2010-10-29,50.8654
2010-11-30,51.8503
2010-12-31,52.1285
2011-01-31,52.1898
2011-02-28,50.8614
2011-03-31,51.8477
2011-04-29,54.1780
2011-05-31,56.9754
2011-06-30,54.2616
2011-07-29,50.5681
2011-08-31,54.3906
2011-09-30,50.8983
2011-10-31,52.0531
2011-11-30,51.7428
2011-12-30,53.6940
2012-01-31,52.7045
2012-02-29,50.2766
2012-03-30,53.0237
2012-04-30,51.7157
