,MFI_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,54.2141
2000-09-29,56.4318
2000-10-31,58.2703
2000-11-30,61.5080
2000-12-29,58.2511
2001-01-31,55.3254
2001-02-28,56.6664
2001-03-30,58.0677
2001-04-30,54.8205
2001-05-31,54.5422
2001-06-29,54.9930
2001-07-31,52.7968
2001-08-31,55.0779
2001-09-28,51.0248
2001-10-31,51.3225
2001-11-30,51.8727
2001-12-31,50.5243
2002-01-31,53.1511
2002-02-28,57.9423
2002-03-29,0
2002-04-30,59.1634
2002-05-31,61.5432
2002-06-28,57.2067
2002-07-31,57.1206
2002-08-30,58.4824
2002-09-30,59.1833
2002-10-31,57.8026
2002-11-29,56.2956
2002-12-31,53.4537
2003-01-31,49.8073
2003-02-28,50.3769
2003-03-31,55.8021
2003-04-30,58.1792
2003-05-30,58.4808
2003-06-30,59.7270
2003-07-31,55.4370
2003-08-29,56.9444
2003-09-30,57.8398
2003-10-31,59.5482
2003-11-28,59.1901
2003-12-31,58.7014
2004-01-30,54.8105
2004-02-27,55.0733
2004-03-31,54.8507
2004-04-30,56.5530
2004-05-31,0
2004-06-30,55.0722
2004-07-30,53.9118
2004-08-31,52.3806
2004-09-30,52.9669
2004-10-29,53.7067
2004-11-30,52.6528
2004-12-31,53.5952
2005-01-31,52.9223
2005-02-28,52.6341
2005-03-31,47.4777
2005-04-29,48.8189
2005-05-31,51.7055
2005-06-30,49.2989
2005-07-29,52.1039
2005-08-31,51.4796
2005-09-30,49.1016
2005-10-31,46.5909
2005-11-30,46.4609
2005-12-30,48.1164
2006-01-31,48.7270
2006-02-28,50.7988
2006-03-31,53.4185
2006-04-28,54.3359
2006-05-31,51.9604
2006-06-30,52.7329
2006-07-31,56.0239
2006-08-31,56.0307
2006-09-29,56.9203
2006-10-31,55.4591
2006-11-30,57.1571
2006-12-29,55.6393
2007-01-31,54.1804
2007-02-28,52.7428
2007-03-30,53.5435
2007-04-30,49.4861
2007-05-31,49.4539
2007-06-29,49.3721
2007-07-31,45.4262
2007-08-31,47.1425
2007-09-28,46.4044
2007-10-31,45.7150
2007-11-30,47.4603
2007-12-31,48.9308
2008-01-31,46.0036
2008-02-29,48.3736
2008-03-31,49.9546
2008-04-30,51.7930
2008-05-30,51.9751
2008-06-30,49.2398
2008-07-31,53.4905
2008-08-29,54.1191
2008-09-30,49.8770
2008-10-31,50.3129
2008-11-28,48.9795
2008-12-31,49.0456
2009-01-30,47.4922
2009-02-27,47.4942
2009-03-31,46.3090
2009-04-30,46.5820
2009-05-29,43.3312
2009-06-30,45.8110
2009-07-31,49.1851
2009-08-31,49.4506
2009-09-30,52.8634
2009-10-30,53.9519
2009-11-30,55.5471
2009-12-31,54.7007
2010-01-29,58.5206
2010-02-26,56.8053
2010-03-31,58.6963
2010-04-30,59.7086
2010-05-31,0
2010-06-30,57.2047
2010-07-30,58.1313
2010-08-31,54.8184
2010-09-30,54.6186
2010-10-29,55.8196
2010-11-30,55.8921
2010-12-31,56.5098
2011-01-31,54.5573
2011-02-28,56.9969
2011-03-31,54.7656
2011-04-29,55.1785
2011-05-31,54.1781
2011-06-30,54.7361
2011-07-29,53.8260
2011-08-31,51.1429
2011-09-30,47.5713
2011-10-31,51.5055
2011-11-30,52.2979
2011-12-30,51.8476
2012-01-31,52.8555
2012-02-29,51.2019
2012-03-30,52.7510
2012-04-30,52.9217
