,MFI_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-30,0
2010-08-31,0
2010-09-30,0
2010-10-29,0
2010-11-30,0
2010-12-31,0
2011-01-31,0
2011-02-28,0
2011-03-31,0
2011-04-29,0
2011-05-31,53.9854
2011-06-30,51.1132
2011-07-29,47.0183
2011-08-31,46.8361
2011-09-30,46.6879
2011-10-31,47.3626
2011-11-30,47.5136
2011-12-30,46.3156
2012-01-31,46.2453
2012-02-29,49.4007
2012-03-30,53.1688
2012-04-30,53.1656
2012-05-31,56.0668
2012-06-29,56.9494
2012-07-31,56.2785
2012-08-31,55.7456
2012-09-28,57.9941
2012-10-31,55.1608
2012-11-30,52.1899
2012-12-31,52.0132
2013-01-31,54.9756
2013-02-28,57.4165
2013-03-29,0
2013-04-30,53.4251
2013-05-31,54.5226
2013-06-28,54.8700
2013-07-31,53.8715
2013-08-30,56.4001
2013-09-30,56.1200
2013-10-31,56.3330
2013-11-29,54.9924
2013-12-31,58.2629
2014-01-31,58.9476
2014-02-28,61.9198
2014-03-31,62.6070
2014-04-30,62.5644
2014-05-30,61.6198
2014-06-30,61.5548
2014-07-31,59.6470
2014-08-29,60.7189
2014-09-30,59.6793
2014-10-31,56.4758
2014-11-28,56.6214
2014-12-31,53.6579
2015-01-30,53.2660
2015-02-27,53.1196
2015-03-31,55.4718
2015-04-30,54.7377
2015-05-29,57.7891
2015-06-30,53.8097
2015-07-31,54.4987
2015-08-31,50.1130
2015-09-30,50.0564
2015-10-30,49.2600
2015-11-30,52.0613
2015-12-31,47.4104
2016-01-29,46.8253
2016-02-29,46.5932
2016-03-31,48.0985
2016-04-29,50.8632
2016-05-31,54.9197
2016-06-30,52.7610
2016-07-29,54.6585
2016-08-31,55.0546
2016-09-30,56.2365
2016-10-31,60.0875
2016-11-30,58.7710
2016-12-30,55.5604
2017-01-31,54.1509
2017-02-28,56.9874
2017-03-31,56.2675
2017-04-28,58.6345
2017-05-31,60.6747
2017-06-30,61.2581
2017-07-31,60.4558
2017-08-31,63.0580
2017-09-29,62.7882
2017-10-31,67.4100
2017-11-30,61.0873
2017-12-29,61.5798
2018-01-31,63.5751
2018-02-28,60.7141
2018-03-30,0
2018-04-30,49.7866
2018-05-31,48.3143
2018-06-29,47.4121
2018-07-31,43.8899
2018-08-31,43.8240
2018-09-28,44.4195
2018-10-31,42.7432
2018-11-30,44.4657
2018-12-31,42.9593
2019-01-31,45.6985
2019-02-28,48.5755
2019-03-29,47.3282
2019-04-30,50.0636
2019-05-31,53.3730
2019-06-28,51.7809
2019-07-31,54.8496
2019-08-30,52.7846
2019-09-30,54.3042
2019-10-31,54.3170
2019-11-29,52.9243
2019-12-31,54.5626
2020-01-31,53.4751
2020-02-28,50.6555
2020-03-31,51.9012
2020-04-30,55.1984
2020-05-29,51.5931
2020-06-30,54.2992
2020-07-31,54.3778
2020-08-31,53.5225
2020-09-30,53.4413
2020-10-30,52.4214
2020-11-30,54.7760
2020-12-31,59.2663
2021-01-29,58.5857
2021-02-26,58.3851
2021-03-31,54.3039
2021-04-30,49.9147
2021-05-31,0
2021-06-30,50.9119
2021-07-30,49.8591
2021-08-31,50.2588
2021-09-30,48.4913
2021-10-29,47.2131
2021-11-30,47.9206
2021-12-31,45.8566
2022-01-31,49.4576
2022-02-28,50.7005
2022-03-31,50.5356
