,MFI_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,58.2873
2000-09-29,58.2426
2000-10-31,66.2504
2000-11-30,64.6409
2000-12-29,58.0929
2001-01-31,56.9247
2001-02-28,57.0468
2001-03-30,54.5644
2001-04-30,57.4782
2001-05-31,64.1712
2001-06-29,67.0612
2001-07-31,56.5781
2001-08-31,54.8797
2001-09-28,53.4051
2001-10-31,56.2325
2001-11-30,58.2236
2001-12-31,57.4822
2002-01-31,59.4032
2002-02-28,62.0695
2002-03-29,0
2002-04-30,57.0004
2002-05-31,56.2817
2002-06-28,55.7004
2002-07-31,55.3240
2002-08-30,54.6607
2002-09-30,55.1452
2002-10-31,55.0390
2002-11-29,49.0851
2002-12-31,45.9115
2003-01-31,46.4583
2003-02-28,46.8924
2003-03-31,48.0329
2003-04-30,48.6268
2003-05-30,42.0208
2003-06-30,48.7687
2003-07-31,48.1291
2003-08-29,48.8809
2003-09-30,48.4202
2003-10-31,50.3559
2003-11-28,51.0719
2003-12-31,50.3692
2004-01-30,50.1842
2004-02-27,50.9087
2004-03-31,56.5924
2004-04-30,55.9531
2004-05-31,0
2004-06-30,58.2436
2004-07-30,62.4217
2004-08-31,63.9898
2004-09-30,64.8644
2004-10-29,63.1307
2004-11-30,62.8104
2004-12-31,63.2840
2005-01-31,62.3378
2005-02-28,55.8230
2005-03-31,55.2588
2005-04-29,54.5733
2005-05-31,53.8032
2005-06-30,55.3751
2005-07-29,54.4357
2005-08-31,50.2645
2005-09-30,50.4176
2005-10-31,48.6145
2005-11-30,49.2404
2005-12-30,51.4392
2006-01-31,51.0164
2006-02-28,50.8640
2006-03-31,55.7773
2006-04-28,51.6083
2006-05-31,51.7308
2006-06-30,53.6947
2006-07-31,53.8741
2006-08-31,51.7835
2006-09-29,53.7191
2006-10-31,53.6329
2006-11-30,52.4734
2006-12-29,52.9783
2007-01-31,51.7865
2007-02-28,51.1456
2007-03-30,50.6820
2007-04-30,53.4808
2007-05-31,56.2848
2007-06-29,56.0525
2007-07-31,52.1986
2007-08-31,52.1774
2007-09-28,52.5077
2007-10-31,52.2230
2007-11-30,50.9599
2007-12-31,52.2436
2008-01-31,47.3439
2008-02-29,44.7111
2008-03-31,46.2534
2008-04-30,43.6258
2008-05-30,46.6694
2008-06-30,44.0431
2008-07-31,46.3121
2008-08-29,48.8352
2008-09-30,48.7153
2008-10-31,48.8336
2008-11-28,51.0445
2008-12-31,53.3954
2009-01-30,52.7296
2009-02-27,51.3601
2009-03-31,51.6945
2009-04-30,55.1763
2009-05-29,51.6070
2009-06-30,50.6844
2009-07-31,55.5172
2009-08-31,55.5494
2009-09-30,53.9415
2009-10-30,53.0606
2009-11-30,53.3200
2009-12-31,53.3259
2010-01-29,52.1191
2010-02-26,47.5321
2010-03-31,52.0772
2010-04-30,53.0604
2010-05-31,0
2010-06-30,49.6433
2010-07-30,53.0110
2010-08-31,51.3612
2010-09-30,51.5160
2010-10-29,51.8327
2010-11-30,57.7192
2010-12-31,56.7837
2011-01-31,52.5926
2011-02-28,51.1151
2011-03-31,53.8323
2011-04-29,57.9750
2011-05-31,55.2722
2011-06-30,53.5507
2011-07-29,52.6215
2011-08-31,50.4431
2011-09-30,47.6448
2011-10-31,48.2483
2011-11-30,47.8669
2011-12-30,48.1389
2012-01-31,47.0386
2012-02-29,46.5549
2012-03-30,48.4348
2012-04-30,49.0482
