,MFI_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,45.1490
2000-09-29,40.8573
2000-10-31,40.6719
2000-11-30,42.0275
2000-12-29,42.6127
2001-01-31,43.6030
2001-02-28,46.8185
2001-03-30,48.5922
2001-04-30,54.6897
2001-05-31,61.4113
2001-06-29,62.9363
2001-07-31,62.3116
2001-08-31,60.8566
2001-09-28,60.6181
2001-10-31,58.1931
2001-11-30,53.6260
2001-12-31,52.0214
2002-01-31,46.6619
2002-02-28,44.2075
2002-03-29,0
2002-04-30,38.6290
2002-05-31,36.6233
2002-06-28,35.7978
2002-07-31,34.8136
2002-08-30,36.1154
2002-09-30,41.2886
2002-10-31,45.0598
2002-11-29,45.6757
2002-12-31,47.2077
2003-01-31,45.4374
2003-02-28,51.4675
2003-03-31,51.6282
2003-04-30,57.8620
2003-05-30,57.4836
2003-06-30,59.4374
2003-07-31,60.3752
2003-08-29,60.2796
2003-09-30,58.6202
2003-10-31,58.5747
2003-11-28,60.4591
2003-12-31,59.0650
2004-01-30,55.5060
2004-02-27,53.5622
2004-03-31,52.2121
2004-04-30,50.3517
2004-05-31,0
2004-06-30,52.3297
2004-07-30,47.1666
2004-08-31,44.9713
2004-09-30,41.3879
2004-10-29,42.2515
2004-11-30,43.2034
2004-12-31,45.0770
2005-01-31,43.2847
2005-02-28,46.9621
2005-03-31,50.7457
2005-04-29,52.1941
2005-05-31,53.1884
2005-06-30,56.8530
2005-07-29,57.7223
2005-08-31,53.6033
2005-09-30,52.9027
2005-10-31,51.3927
2005-11-30,51.3298
2005-12-30,47.7333
2006-01-31,46.8252
2006-02-28,47.7015
2006-03-31,47.8506
2006-04-28,53.1827
2006-05-31,51.0083
2006-06-30,53.4130
2006-07-31,54.7253
2006-08-31,54.2456
2006-09-29,54.8280
2006-10-31,54.6973
2006-11-30,54.7801
2006-12-29,56.2075
2007-01-31,56.5828
2007-02-28,54.5232
2007-03-30,54.6555
2007-04-30,55.2235
2007-05-31,55.2739
2007-06-29,55.2127
2007-07-31,51.2440
2007-08-31,49.9891
2007-09-28,47.4509
2007-10-31,42.5349
2007-11-30,40.7176
2007-12-31,41.4164
2008-01-31,36.8283
2008-02-29,37.5136
2008-03-31,37.3601
2008-04-30,36.8285
2008-05-30,39.5832
2008-06-30,36.3521
2008-07-31,36.3347
2008-08-29,39.1016
2008-09-30,35.9883
2008-10-31,44.0797
2008-11-28,41.9511
2008-12-31,41.3984
2009-01-30,36.9170
2009-02-27,34.6232
2009-03-31,36.1943
2009-04-30,53.0362
2009-05-29,53.2498
2009-06-30,57.4848
2009-07-31,60.2702
2009-08-31,61.5614
2009-09-30,60.5847
2009-10-30,56.1356
2009-11-30,55.7632
2009-12-31,57.1947
2010-01-29,56.1791
2010-02-26,54.6388
2010-03-31,53.9187
2010-04-30,52.4227
2010-05-31,0
2010-06-30,46.1964
2010-07-30,43.1949
2010-08-31,46.0798
2010-09-30,46.2164
2010-10-29,41.1495
2010-11-30,42.3188
2010-12-31,35.4344
2011-01-31,41.9780
2011-02-28,43.6065
2011-03-31,42.0962
2011-04-29,47.7600
2011-05-31,45.1768
2011-06-30,51.2784
2011-07-29,54.7242
2011-08-31,51.6447
2011-09-30,52.6786
2011-10-31,53.1237
2011-11-30,51.5838
2011-12-30,53.9990
2012-01-31,56.3981
2012-02-29,57.0528
2012-03-30,58.1239
2012-04-30,49.7117
