,MFI_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,47.7275
2000-09-29,48.0351
2000-10-31,48.8853
2000-11-30,49.0334
2000-12-29,47.0933
2001-01-31,51.0537
2001-02-28,50.8878
2001-03-30,53.5241
2001-04-30,53.0358
2001-05-31,51.4702
2001-06-29,51.0225
2001-07-31,52.1096
2001-08-31,56.7997
2001-09-28,58.6215
2001-10-31,59.5006
2001-11-30,57.2119
2001-12-31,56.9303
2002-01-31,60.7227
2002-02-28,60.4900
2002-03-29,0
2002-04-30,63.0412
2002-05-31,62.2196
2002-06-28,58.8669
2002-07-31,56.7433
2002-08-30,53.8155
2002-09-30,54.5670
2002-10-31,54.3451
2002-11-29,54.2511
2002-12-31,51.2412
2003-01-31,47.6188
2003-02-28,43.8283
2003-03-31,44.6055
2003-04-30,46.9783
2003-05-30,49.1842
2003-06-30,48.8472
2003-07-31,49.2379
2003-08-29,48.8640
2003-09-30,47.8235
2003-10-31,47.2559
2003-11-28,53.3321
2003-12-31,52.8504
2004-01-30,53.2778
2004-02-27,52.8876
2004-03-31,53.2427
2004-04-30,51.0948
2004-05-31,0
2004-06-30,47.3043
2004-07-30,43.3550
2004-08-31,41.9591
2004-09-30,43.4997
2004-10-29,43.4273
2004-11-30,43.0352
2004-12-31,44.6191
2005-01-31,42.6462
2005-02-28,46.2295
2005-03-31,49.1127
2005-04-29,48.4909
2005-05-31,49.4612
2005-06-30,52.7352
2005-07-29,50.1077
2005-08-31,48.6310
2005-09-30,47.2065
2005-10-31,49.0393
2005-11-30,50.9393
2005-12-30,51.2776
2006-01-31,51.8980
2006-02-28,51.8580
2006-03-31,52.3637
2006-04-28,53.5387
2006-05-31,52.7824
2006-06-30,53.7618
2006-07-31,52.1869
2006-08-31,51.5851
2006-09-29,49.7783
2006-10-31,49.5731
2006-11-30,51.6366
2006-12-29,51.1088
2007-01-31,51.3781
2007-02-28,51.4525
2007-03-30,55.1415
2007-04-30,53.4920
2007-05-31,52.5201
2007-06-29,50.6512
2007-07-31,49.0623
2007-08-31,47.7372
2007-09-28,46.6355
2007-10-31,45.2615
2007-11-30,43.1355
2007-12-31,44.4757
2008-01-31,46.7746
2008-02-29,48.5617
2008-03-31,51.2174
2008-04-30,54.4723
2008-05-30,58.5474
2008-06-30,57.6202
2008-07-31,59.2920
2008-08-29,60.1648
2008-09-30,57.3192
2008-10-31,55.5944
2008-11-28,53.0487
2008-12-31,53.0214
2009-01-30,51.2268
2009-02-27,49.1353
2009-03-31,50.4670
2009-04-30,49.4759
2009-05-29,48.5290
2009-06-30,48.3514
2009-07-31,53.9076
2009-08-31,54.3922
2009-09-30,53.8118
2009-10-30,51.3333
2009-11-30,51.9507
2009-12-31,47.6476
2010-01-29,49.1644
2010-02-26,51.4100
2010-03-31,53.3462
2010-04-30,53.9509
2010-05-31,0
2010-06-30,52.7451
2010-07-30,54.0115
2010-08-31,52.5654
2010-09-30,54.7098
2010-10-29,58.6253
2010-11-30,57.9630
2010-12-31,53.1997
2011-01-31,53.2681
2011-02-28,55.0627
2011-03-31,53.4549
2011-04-29,53.6269
2011-05-31,57.6767
2011-06-30,54.9438
2011-07-29,51.4964
2011-08-31,49.5586
2011-09-30,50.6975
2011-10-31,51.2489
2011-11-30,50.7652
2011-12-30,51.9969
2012-01-31,52.9233
2012-02-29,51.1592
2012-03-30,54.3221
2012-04-30,55.6587
