,MFI_daily_200
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,0
2001-05-31,0
2001-06-29,0
2001-07-31,0
2001-08-31,0
2001-09-28,0
2001-10-31,0
2001-11-30,0
2001-12-31,0
2002-01-31,0
2002-02-28,0
2002-03-29,0
2002-04-30,0
2002-05-31,0
2002-06-28,0
2002-07-31,0
2002-08-30,0
2002-09-30,0
2002-10-31,0
2002-11-29,0
2002-12-31,0
2003-01-31,0
2003-02-28,0
2003-03-31,0
2003-04-30,0
2003-05-30,0
2003-06-30,0
2003-07-31,0
2003-08-29,0
2003-09-30,0
2003-10-31,0
2003-11-28,0
2003-12-31,0
2004-01-30,0
2004-02-27,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-30,0
2004-08-31,0
2004-09-30,0
2004-10-29,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-29,0
2005-05-31,0
2005-06-30,0
2005-07-29,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-30,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-28,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-29,0
2006-10-31,0
2006-11-30,0
2006-12-29,0
2007-01-31,0
2007-02-28,0
2007-03-30,0
2007-04-30,0
2007-05-31,0
2007-06-29,0
2007-07-31,0
2007-08-31,0
2007-09-28,0
2007-10-31,0
2007-11-30,0
2007-12-31,0
2008-01-31,0
2008-02-29,0
2008-03-31,0
2008-04-30,0
2008-05-30,0
2008-06-30,0
2008-07-31,0
2008-08-29,0
2008-09-30,0
2008-10-31,0
2008-11-28,0
2008-12-31,0
2009-01-30,0
2009-02-27,0
2009-03-31,0
2009-04-30,0
2009-05-29,0
2009-06-30,0
2009-07-31,0
2009-08-31,0
2009-09-30,0
2009-10-30,0
2009-11-30,0
2009-12-31,0
2010-01-29,0
2010-02-26,0
2010-03-31,0
2010-04-30,0
2010-05-31,0
2010-06-30,0
2010-07-30,0
2010-08-31,0
2010-09-30,0
2010-10-29,0
2010-11-30,0
2010-12-31,0
2011-01-31,0
2011-02-28,0
2011-03-31,0
2011-04-29,0
2011-05-31,0
2011-06-30,0
2011-07-29,0
2011-08-31,0
2011-09-30,0
2011-10-31,0
2011-11-30,0
2011-12-30,0
2012-01-31,0
2012-02-29,0
2012-03-30,0
2012-04-30,0
2012-05-31,0
2012-06-29,0
2012-07-31,0
2012-08-31,0
2012-09-28,0
2012-10-31,0
2012-11-30,0
2012-12-31,0
2013-01-31,0
2013-02-28,0
2013-03-29,0
2013-04-30,0
2013-05-31,0
2013-06-28,0
2013-07-31,0
2013-08-30,0
2013-09-30,0
2013-10-31,0
2013-11-29,46.1745
2013-12-31,47.6621
2014-01-31,45.3903
2014-02-28,47.3374
2014-03-31,47.6418
2014-04-30,47.4404
2014-05-30,47.6669
2014-06-30,48.0007
2014-07-31,48.2763
2014-08-29,50.5323
2014-09-30,52.3192
2014-10-31,51.7308
2014-11-28,61.0839
2014-12-31,57.8138
2015-01-30,58.2617
2015-02-27,58.3652
2015-03-31,57.8831
2015-04-30,56.5669
2015-05-29,59.4223
2015-06-30,56.5206
2015-07-31,56.7512
2015-08-31,50.8260
2015-09-30,49.4588
2015-10-30,51.4545
2015-11-30,51.6515
2015-12-31,50.0220
2016-01-29,47.5581
2016-02-29,47.5524
2016-03-31,46.3960
2016-04-29,49.5916
2016-05-31,49.9119
2016-06-30,50.5899
2016-07-29,52.9058
2016-08-31,52.5580
2016-09-30,53.1048
2016-10-31,54.0025
2016-11-30,56.6317
2016-12-30,58.1483
2017-01-31,54.6180
2017-02-28,54.7645
2017-03-31,51.5000
2017-04-28,52.2092
2017-05-31,54.2607
2017-06-30,54.5590
2017-07-31,53.8220
2017-08-31,55.9289
2017-09-29,55.6941
2017-10-31,54.3506
2017-11-30,57.3596
2017-12-29,57.1283
2018-01-31,61.1588
2018-02-28,59.1727
2018-03-30,0
2018-04-30,59.3129
2018-05-31,59.6433
2018-06-29,57.1094
2018-07-31,58.4137
2018-08-31,58.0540
2018-09-28,57.9766
2018-10-31,57.8161
2018-11-30,56.6422
2018-12-31,52.7393
2019-01-31,52.3992
2019-02-28,54.3503
2019-03-29,55.0263
2019-04-30,55.1388
2019-05-31,53.5269
2019-06-28,58.3721
2019-07-31,56.0541
2019-08-30,57.7784
2019-09-30,58.0422
2019-10-31,60.1965
2019-11-29,57.1546
2019-12-31,59.0872
2020-01-31,60.9009
2020-02-28,60.1968
2020-03-31,58.1461
2020-04-30,58.3105
2020-05-29,58.1505
2020-06-30,57.8512
2020-07-31,58.6076
2020-08-31,61.8234
2020-09-30,60.6433
2020-10-30,56.6437
2020-11-30,54.5036
2020-12-31,58.5509
2021-01-29,56.6752
2021-02-26,56.9896
2021-03-31,55.4690
2021-04-30,56.6412
2021-05-31,0
2021-06-30,55.9213
2021-07-30,57.0088
2021-08-31,57.1704
2021-09-30,56.9462
2021-10-29,56.4643
2021-11-30,54.0177
2021-12-31,58.6282
2022-01-31,51.2650
2022-02-28,49.5263
2022-03-31,46.6872
