,MFI_daily_60
2000-01-31,68.7928
2000-02-29,61.5787
2000-03-31,57.4718
2000-04-28,55.3720
2000-05-31,45.6107
2000-06-30,38.8309
2000-07-31,25.5730
2000-08-31,31.6076
2000-09-29,35.7437
2000-10-31,50.4506
2000-11-30,47.2417
2000-12-29,55.2279
2001-01-31,66.6886
2001-02-28,64.5773
2001-03-30,58.3365
2001-04-30,55.7233
2001-05-31,44.4767
2001-06-29,59.1604
2001-07-31,50.6601
2001-08-31,55.1825
2001-09-28,49.0318
2001-10-31,47.7474
2001-11-30,50.2399
2001-12-31,53.5802
2002-01-31,57.9649
2002-02-28,60.5164
2002-03-29,0
2002-04-30,45.0022
2002-05-31,34.4282
2002-06-28,34.3013
2002-07-31,43.7926
2002-08-30,48.6784
2002-09-30,52.0896
2002-10-31,56.6405
2002-11-29,53.7047
2002-12-31,44.1834
2003-01-31,44.7462
2003-02-28,46.2607
2003-03-31,60.8336
2003-04-30,60.6635
2003-05-30,55.1007
2003-06-30,50.9851
2003-07-31,50.7743
2003-08-29,58.1046
2003-09-30,51.9117
2003-10-31,62.4048
2003-11-28,65.1191
2003-12-31,70.0381
2004-01-30,69.6079
2004-02-27,67.4742
2004-03-31,70.9376
2004-04-30,70.1472
2004-05-31,0
2004-06-30,64.1277
2004-07-30,57.3935
2004-08-31,62.4177
2004-09-30,64.6113
2004-10-29,68.4519
2004-11-30,74.0043
2004-12-31,73.2601
2005-01-31,54.1222
2005-02-28,47.1125
2005-03-31,40.0783
2005-04-29,57.0645
2005-05-31,73.3576
2005-06-30,57.5703
2005-07-29,57.8844
2005-08-31,63.7739
2005-09-30,73.0132
2005-10-31,68.9825
2005-11-30,55.6599
2005-12-30,58.3829
2006-01-31,48.3060
2006-02-28,45.9214
2006-03-31,39.6759
2006-04-28,46.0220
2006-05-31,37.7125
2006-06-30,38.8590
2006-07-31,38.3530
2006-08-31,48.2137
2006-09-29,52.1096
2006-10-31,56.4081
2006-11-30,60.4682
