,MFI_daily_60
2000-01-31,0
2000-02-29,0
2000-03-31,0
2000-04-28,0
2000-05-31,0
2000-06-30,0
2000-07-31,0
2000-08-31,0
2000-09-29,0
2000-10-31,0
2000-11-30,0
2000-12-29,0
2001-01-31,0
2001-02-28,0
2001-03-30,0
2001-04-30,44.7599
2001-05-31,68.5184
2001-06-29,54.6953
2001-07-31,50.6150
2001-08-31,36.5555
2001-09-28,34.0683
2001-10-31,33.2443
2001-11-30,34.5284
2001-12-31,47.3467
2002-01-31,61.9005
2002-02-28,60.2438
2002-03-29,0
2002-04-30,45.8459
2002-05-31,58.4776
2002-06-28,59.9987
2002-07-31,68.4493
2002-08-30,66.4250
2002-09-30,49.0614
2002-10-31,40.8660
2002-11-29,53.4022
2002-12-31,55.3896
2003-01-31,62.4122
2003-02-28,73.5929
2003-03-31,73.5387
2003-04-30,67.7981
2003-05-30,71.3029
2003-06-30,67.1191
2003-07-31,57.4064
2003-08-29,49.8588
2003-09-30,42.6466
2003-10-31,55.2741
2003-11-28,56.0677
2003-12-31,56.0592
2004-01-30,58.8917
2004-02-27,57.1237
2004-03-31,55.0451
2004-04-30,41.2889
2004-05-31,0
2004-06-30,44.3510
2004-07-30,43.2914
2004-08-31,39.2808
2004-09-30,42.2549
2004-10-29,37.6417
2004-11-30,40.1775
2004-12-31,40.0553
2005-01-31,43.6184
2005-02-28,42.7830
2005-03-31,42.9065
2005-04-29,66.6491
2005-05-31,61.6138
2005-06-30,65.5291
2005-07-29,39.9952
2005-08-31,43.9201
2005-09-30,42.1424
2005-10-31,55.5019
2005-11-30,44.2765
2005-12-30,47.9392
2006-01-31,52.5402
2006-02-28,56.0695
2006-03-31,61.6408
2006-04-28,52.4302
2006-05-31,44.6724
2006-06-30,44.9097
2006-07-31,43.5298
2006-08-31,44.2005
2006-09-29,74.4817
2006-10-31,67.8130
2006-11-30,61.9637
2006-12-29,48.6893
2007-01-31,52.1082
2007-02-28,54.9032
2007-03-30,60.9683
2007-04-30,66.8496
2007-05-31,66.0658
2007-06-29,63.3834
2007-07-31,56.1466
2007-08-31,53.5957
2007-09-28,56.8935
2007-10-31,49.1995
2007-11-30,44.6888
2007-12-31,37.3687
2008-01-31,41.9878
2008-02-29,47.5658
2008-03-31,44.6019
2008-04-30,48.0933
2008-05-30,53.9745
2008-06-30,54.6340
2008-07-31,48.6507
2008-08-29,52.8190
2008-09-30,51.9714
2008-10-31,44.9755
2008-11-28,38.3970
2008-12-31,53.0977
2009-01-30,55.6229
2009-02-27,56.3541
2009-03-31,53.2571
2009-04-30,65.8903
2009-05-29,63.4832
2009-06-30,61.0901
2009-07-31,56.5338
2009-08-31,67.2078
2009-09-30,66.4555
2009-10-30,62.8470
2009-11-30,55.8674
2009-12-31,49.3544
2010-01-29,55.6779
2010-02-26,48.4960
2010-03-31,48.2830
2010-04-30,31.7302
2010-05-31,0
2010-06-30,35.0948
2010-07-30,48.0674
2010-08-31,55.7543
2010-09-30,61.3628
2010-10-29,52.3314
2010-11-30,51.3072
2010-12-31,50.0495
2011-01-31,60.0597
2011-02-28,61.3424
2011-03-31,54.1931
2011-04-29,50.1894
2011-05-31,52.7424
2011-06-30,52.9555
2011-07-29,46.0435
2011-08-31,43.8535
2011-09-30,34.5305
2011-10-31,55.7064
2011-11-30,61.9959
2011-12-30,65.7661
2012-01-31,56.0825
2012-02-29,56.5522
2012-03-30,59.1444
2012-04-30,62.9139
2012-05-31,57.2391
2012-06-29,53.1107
