,MFI_daily_60
2000-01-31,69.1919
2000-02-29,66.6624
2000-03-31,51.1768
2000-04-28,45.8767
2000-05-31,42.8831
2000-06-30,65.8657
2000-07-31,72.6652
2000-08-31,75.0073
2000-09-29,71.0050
2000-10-31,58.4494
2000-11-30,58.2002
2000-12-29,51.3029
2001-01-31,49.7104
2001-02-28,42.9021
2001-03-30,44.2813
2001-04-30,35.7568
2001-05-31,52.2665
2001-06-29,56.2756
2001-07-31,50.1742
2001-08-31,37.8845
2001-09-28,32.8727
2001-10-31,38.9707
2001-11-30,46.2688
2001-12-31,55.7595
2002-01-31,52.1151
2002-02-28,50.3041
2002-03-29,0
2002-04-30,48.6344
2002-05-31,43.5664
2002-06-28,41.8675
2002-07-31,47.9931
2002-08-30,48.6186
2002-09-30,47.1670
2002-10-31,38.5283
2002-11-29,66.1470
2002-12-31,60.3366
2003-01-31,66.1824
2003-02-28,39.4623
2003-03-31,51.9524
2003-04-30,55.7628
2003-05-30,58.2211
2003-06-30,56.7224
2003-07-31,54.6447
2003-08-29,37.4395
2003-09-30,37.3204
2003-10-31,62.5101
2003-11-28,59.1379
2003-12-31,51.6030
2004-01-30,54.7879
2004-02-27,67.6187
2004-03-31,73.8573
2004-04-30,68.5065
2004-05-31,0
2004-06-30,44.1955
2004-07-30,44.8495
2004-08-31,46.2273
2004-09-30,52.9224
2004-10-29,60.0728
2004-11-30,58.6798
2004-12-31,57.8115
2005-01-31,59.5200
2005-02-28,55.6098
2005-03-31,52.3330
2005-04-29,42.4908
2005-05-31,54.5075
2005-06-30,56.3060
2005-07-29,60.3537
2005-08-31,60.8781
2005-09-30,54.7483
2005-10-31,57.7318
2005-11-30,39.8970
2005-12-30,48.3325
2006-01-31,59.2951
2006-02-28,83.8208
2006-03-31,75.7516
2006-04-28,61.9448
2006-05-31,42.3793
2006-06-30,47.4533
2006-07-31,46.3518
2006-08-31,53.1124
2006-09-29,46.1690
2006-10-31,54.3497
2006-11-30,59.9522
2006-12-29,56.2933
2007-01-31,54.9520
2007-02-28,36.5621
2007-03-30,53.2608
2007-04-30,51.6603
2007-05-31,68.1455
2007-06-29,55.8076
2007-07-31,65.2401
2007-08-31,62.5728
2007-09-28,65.9981
2007-10-31,56.5703
2007-11-30,48.9920
2007-12-31,48.2425
2008-01-31,38.2223
2008-02-29,47.7326
2008-03-31,44.4705
2008-04-30,57.2464
2008-05-30,67.0248
2008-06-30,63.6996
2008-07-31,70.2751
2008-08-29,56.4495
2008-09-30,53.6996
2008-10-31,44.3219
2008-11-28,52.5531
2008-12-31,54.7568
2009-01-30,54.7737
2009-02-27,55.3765
2009-03-31,54.2729
2009-04-30,47.5939
2009-05-29,53.4418
2009-06-30,45.6590
2009-07-31,50.5398
2009-08-31,46.6586
2009-09-30,60.4561
2009-10-30,54.5893
2009-11-30,48.8068
2009-12-31,57.0968
2010-01-29,51.1013
2010-02-26,53.4696
2010-03-31,57.5866
2010-04-30,55.9231
2010-05-31,0
2010-06-30,53.0228
2010-07-30,58.8411
2010-08-31,61.7099
2010-09-30,74.3743
2010-10-29,68.3088
2010-11-30,72.3801
2010-12-31,64.1687
2011-01-31,61.2370
2011-02-28,63.6975
2011-03-31,55.7108
2011-04-29,56.0860
2011-05-31,44.9596
2011-06-30,41.7792
2011-07-29,53.3795
2011-08-31,57.3237
2011-09-30,57.8985
2011-10-31,64.1821
2011-11-30,58.0868
2011-12-30,54.6361
2012-01-31,52.4773
2012-02-29,57.3677
2012-03-30,61.5328
2012-04-30,56.6403
2012-05-31,60.3840
2012-06-29,60.9396
2012-07-31,63.3989
2012-08-31,60.5672
2012-09-28,58.4063
2012-10-31,49.2145
2012-11-30,48.5214
2012-12-31,38.8705
2013-01-31,51.7595
2013-02-28,44.0006
2013-03-29,0
2013-04-30,43.2110
2013-05-31,45.8047
2013-06-28,42.7848
2013-07-31,51.3253
2013-08-30,49.2058
2013-09-30,51.1764
2013-10-31,54.5933
2013-11-29,53.9384
2013-12-31,58.3891
2014-01-31,61.7412
2014-02-28,62.4515
2014-03-31,46.0900
2014-04-30,45.5234
2014-05-30,44.5659
2014-06-30,45.9703
2014-07-31,44.6988
2014-08-29,44.0562
2014-09-30,50.8756
2014-10-31,62.8184
2014-11-28,62.4818
2014-12-31,57.8293
2015-01-30,51.2505
2015-02-27,46.0535
2015-03-31,45.9598
2015-04-30,47.8647
2015-05-29,47.4370
2015-06-30,50.9786
2015-07-31,61.1521
2015-08-31,57.7958
2015-09-30,41.7351
2015-10-30,45.6508
2015-11-30,46.1159
2015-12-31,59.9204
2016-01-29,41.0808
2016-02-29,41.7732
2016-03-31,36.0680
2016-04-29,46.8918
2016-05-31,50.3541
2016-06-30,39.0464
2016-07-29,48.6535
2016-08-31,47.7376
2016-09-30,55.3039
2016-10-31,44.9880
2016-11-30,51.9092
2016-12-30,51.3851
2017-01-31,52.6491
2017-02-28,53.2632
2017-03-31,47.0055
2017-04-28,48.1502
2017-05-31,29.0655
2017-06-30,46.9812
2017-07-31,49.9018
2017-08-31,70.2825
2017-09-29,64.5828
2017-10-31,45.7314
2017-11-30,35.3294
2017-12-29,36.4642
2018-01-31,48.1594
2018-02-28,51.5246
2018-03-30,0
2018-04-30,46.7566
2018-05-31,45.8479
2018-06-29,50.5744
2018-07-31,53.7003
2018-08-31,48.9911
2018-09-28,53.0599
2018-10-31,49.5308
2018-11-30,56.2256
2018-12-31,43.1026
2019-01-31,61.1822
2019-02-28,60.2999
2019-03-29,64.6650
2019-04-30,53.5976
2019-05-31,45.5675
2019-06-28,46.9712
2019-07-31,37.8118
2019-08-30,40.6637
2019-09-30,41.2518
2019-10-31,50.6506
2019-11-29,53.9081
2019-12-31,48.5087
2020-01-31,45.3799
2020-02-28,43.2931
2020-03-31,50.4635
2020-04-30,54.4613
2020-05-29,59.3689
2020-06-30,57.4707
2020-07-31,54.3227
2020-08-31,51.4696
2020-09-30,50.8540
2020-10-30,60.3229
2020-11-30,59.4714
2020-12-31,61.7403
2021-01-29,62.1937
2021-02-26,59.0961
2021-03-31,51.3033
2021-04-30,53.5128
2021-05-31,0
2021-06-30,63.3404
2021-07-30,0
2021-08-31,0
2021-09-30,0
2021-10-29,0
2021-11-30,0
2021-12-31,0
2022-01-31,0
2022-02-28,0
2022-03-31,0
