,MFI_daily_60
2000-01-31,58.7826
2000-02-29,54.0652
2000-03-31,60.3385
2000-04-28,59.7522
2000-05-31,42.3208
2000-06-30,42.5957
2000-07-31,27.9795
2000-08-31,24.5637
2000-09-29,36.4242
2000-10-31,57.0114
2000-11-30,59.2416
2000-12-29,54.9204
2001-01-31,57.5635
2001-02-28,50.5783
2001-03-30,47.8816
2001-04-30,47.5164
2001-05-31,56.2939
2001-06-29,64.4427
2001-07-31,69.1204
2001-08-31,68.8920
2001-09-28,57.5224
2001-10-31,58.3129
2001-11-30,62.3802
2001-12-31,69.1888
2002-01-31,60.9366
2002-02-28,60.8069
2002-03-29,0
2002-04-30,56.5084
2002-05-31,49.8615
2002-06-28,40.1085
2002-07-31,43.3776
2002-08-30,41.0684
2002-09-30,37.9926
2002-10-31,34.1078
2002-11-29,39.2774
2002-12-31,57.8145
2003-01-31,51.4489
2003-02-28,67.3306
2003-03-31,64.6705
2003-04-30,66.9379
2003-05-30,60.5897
2003-06-30,63.3177
2003-07-31,62.7797
2003-08-29,70.1960
2003-09-30,53.1976
2003-10-31,48.0152
2003-11-28,46.9850
2003-12-31,56.4243
2004-01-30,58.9287
2004-02-27,55.2309
2004-03-31,49.3042
2004-04-30,50.3302
2004-05-31,0
2004-06-30,66.7542
2004-07-30,58.9572
2004-08-31,51.6968
2004-09-30,52.8899
2004-10-29,65.7701
2004-11-30,62.6150
2004-12-31,58.4037
2005-01-31,51.7060
2005-02-28,57.9634
2005-03-31,50.3803
2005-04-29,50.2016
2005-05-31,47.1092
2005-06-30,52.4177
2005-07-29,49.9260
2005-08-31,55.5144
2005-09-30,51.8211
2005-10-31,49.2002
2005-11-30,60.7034
2005-12-30,61.3644
2006-01-31,52.6303
2006-02-28,50.0049
2006-03-31,59.7539
2006-04-28,57.1554
2006-05-31,53.8081
2006-06-30,47.9820
2006-07-31,38.1985
2006-08-31,44.6980
2006-09-29,44.4477
2006-10-31,47.4565
2006-11-30,51.7876
2006-12-29,49.8686
2007-01-31,60.0508
2007-02-28,58.3818
2007-03-30,60.0658
2007-04-30,47.0494
2007-05-31,58.8342
2007-06-29,54.2823
2007-07-31,52.6480
2007-08-31,53.8655
2007-09-28,53.1979
2007-10-31,48.9592
2007-11-30,48.9975
2007-12-31,52.9908
2008-01-31,41.9544
2008-02-29,48.2022
2008-03-31,42.5300
2008-04-30,55.1999
2008-05-30,61.2537
2008-06-30,67.5702
2008-07-31,65.2618
2008-08-29,60.7967
2008-09-30,59.2853
2008-10-31,42.1797
2008-11-28,44.9429
2008-12-31,49.3105
2009-01-30,47.9314
2009-02-27,35.2824
2009-03-31,39.2031
2009-04-30,51.1614
2009-05-29,60.7306
2009-06-30,55.7112
2009-07-31,54.4269
2009-08-31,55.4447
2009-09-30,63.5291
2009-10-30,59.2833
2009-11-30,53.7059
