,MFI_daily_60
2000-01-31,36.7331
2000-02-29,38.7124
2000-03-31,49.5563
2000-04-28,60.6982
2000-05-31,59.5208
2000-06-30,52.9462
2000-07-31,46.7739
2000-08-31,48.8120
2000-09-29,62.4549
2000-10-31,65.2323
2000-11-30,51.5836
2000-12-29,39.9746
2001-01-31,42.6068
2001-02-28,48.2570
2001-03-30,47.6372
2001-04-30,42.4247
2001-05-31,45.5928
2001-06-29,48.9515
2001-07-31,44.8047
2001-08-31,42.3388
2001-09-28,34.6908
2001-10-31,37.8318
2001-11-30,47.7738
2001-12-31,60.9389
2002-01-31,75.1925
2002-02-28,64.1505
2002-03-29,0
2002-04-30,47.6726
2002-05-31,54.0917
2002-06-28,51.5266
2002-07-31,43.5503
2002-08-30,40.5795
2002-09-30,41.9199
2002-10-31,51.7688
2002-11-29,50.8922
2002-12-31,51.2505
2003-01-31,43.8941
2003-02-28,38.0163
2003-03-31,45.3296
2003-04-30,57.0103
2003-05-30,66.3027
2003-06-30,57.3317
2003-07-31,59.0418
2003-08-29,52.8593
2003-09-30,43.4119
2003-10-31,47.7500
2003-11-28,57.3264
2003-12-31,63.3308
2004-01-30,57.1688
2004-02-27,56.9590
2004-03-31,53.7901
2004-04-30,51.0083
2004-05-31,0
2004-06-30,45.6647
2004-07-30,47.0629
2004-08-31,51.3481
2004-09-30,57.9368
2004-10-29,67.6860
2004-11-30,53.3308
2004-12-31,54.0644
2005-01-31,46.1421
2005-02-28,51.4032
2005-03-31,46.6323
2005-04-29,34.7652
2005-05-31,34.1928
2005-06-30,36.4240
2005-07-29,48.0341
2005-08-31,48.7898
2005-09-30,42.6445
2005-10-31,37.7141
2005-11-30,50.9389
2005-12-30,55.8606
2006-01-31,55.3075
2006-02-28,52.0040
2006-03-31,59.0325
2006-04-28,56.8894
2006-05-31,58.3644
2006-06-30,54.5089
2006-07-31,52.6736
2006-08-31,51.5614
2006-09-29,57.4088
2006-10-31,63.9426
2006-11-30,68.8107
2006-12-29,53.7697
2007-01-31,46.2952
2007-02-28,43.5524
2007-03-30,42.7915
2007-04-30,49.2676
2007-05-31,51.9199
2007-06-29,50.9964
2007-07-31,43.9428
