,MFI_daily_60
2000-01-31,55.2224
2000-02-29,42.0212
2000-03-31,42.3587
2000-04-28,39.7892
2000-05-31,52.7193
2000-06-30,42.0139
2000-07-31,40.0477
2000-08-31,42.1135
2000-09-29,58.7200
2000-10-31,55.7995
2000-11-30,54.2624
2000-12-29,61.0491
2001-01-31,59.0856
2001-02-28,62.4250
2001-03-30,50.5563
2001-04-30,44.7658
2001-05-31,45.2213
2001-06-29,50.3724
2001-07-31,60.0263
2001-08-31,55.5522
2001-09-28,50.3343
2001-10-31,47.7717
2001-11-30,53.2666
2001-12-31,58.3762
2002-01-31,60.6030
2002-02-28,58.5276
2002-03-29,0
2002-04-30,56.5628
2002-05-31,47.6698
2002-06-28,42.5960
2002-07-31,44.7286
2002-08-30,47.9871
2002-09-30,53.3641
2002-10-31,56.3757
2002-11-29,58.7278
2002-12-31,47.7479
2003-01-31,35.2670
2003-02-28,33.3253
2003-03-31,42.5319
2003-04-30,49.3768
2003-05-30,59.7249
2003-06-30,59.2018
2003-07-31,63.9295
2003-08-29,58.0996
2003-09-30,47.9940
2003-10-31,45.4125
2003-11-28,45.2506
2003-12-31,57.7294
2004-01-30,66.9190
2004-02-27,63.0200
2004-03-31,58.2747
2004-04-30,50.3265
2004-05-31,0
2004-06-30,57.9511
2004-07-30,61.7202
2004-08-31,57.3687
2004-09-30,50.8316
2004-10-29,63.0942
2004-11-30,63.4367
2004-12-31,67.9474
2005-01-31,57.7370
2005-02-28,53.8285
2005-03-31,44.9019
2005-04-29,43.9120
2005-05-31,47.7354
2005-06-30,50.9844
2005-07-29,49.1417
2005-08-31,40.6784
2005-09-30,38.4223
2005-10-31,40.4559
2005-11-30,50.5825
2005-12-30,54.1436
2006-01-31,46.5629
2006-02-28,45.2447
2006-03-31,34.5636
2006-04-28,36.3255
2006-05-31,25.6904
2006-06-30,36.0708
2006-07-31,31.4864
2006-08-31,46.6188
2006-09-29,50.5715
2006-10-31,66.1526
2006-11-30,65.5393
2006-12-29,58.3082
2007-01-31,63.4525
2007-02-28,54.1470
2007-03-30,49.3603
2007-04-30,45.6277
2007-05-31,58.1775
2007-06-29,56.4549
2007-07-31,49.2129
2007-08-31,49.6744
2007-09-28,52.8427
2007-10-31,59.7940
2007-11-30,52.0227
2007-12-31,44.6105
2008-01-31,45.7493
2008-02-29,43.5044
2008-03-31,44.6940
2008-04-30,46.3450
2008-05-30,47.9893
2008-06-30,42.3991
2008-07-31,46.9109
2008-08-29,46.5070
2008-09-30,49.5574
2008-10-31,40.2659
2008-11-28,37.2539
2008-12-31,42.6449
2009-01-30,45.1706
2009-02-27,56.6101
2009-03-31,52.8347
2009-04-30,65.5264
2009-05-29,62.5546
2009-06-30,54.0110
2009-07-31,46.5174
2009-08-31,54.3719
2009-09-30,60.8402
2009-10-30,45.0941
2009-11-30,45.7044
2009-12-31,45.8341
2010-01-29,59.2737
2010-02-26,63.8436
2010-03-31,68.5668
2010-04-30,63.7933
2010-05-31,0
2010-06-30,35.7514
2010-07-30,36.9414
2010-08-31,36.6261
2010-09-30,56.1047
2010-10-29,61.6089
2010-11-30,63.0427
2010-12-31,62.0959
2011-01-31,51.2532
2011-02-28,55.1621
2011-03-31,41.4127
2011-04-29,44.7804
2011-05-31,49.0431
2011-06-30,51.7040
2011-07-29,43.6810
2011-08-31,45.8863
2011-09-30,49.5765
2011-10-31,58.8390
2011-11-30,60.9323
2011-12-30,55.5307
2012-01-31,43.7223
2012-02-29,45.6953
2012-03-30,48.3608
2012-04-30,53.9726
2012-05-31,56.2248
2012-06-29,57.3976
2012-07-31,52.4925
2012-08-31,57.3429
2012-09-28,53.0189
2012-10-31,55.6367
2012-11-30,53.0038
2012-12-31,53.9526
2013-01-31,53.7180
2013-02-28,46.5058
2013-03-29,0
2013-04-30,34.8708
2013-05-31,39.6370
2013-06-28,45.7974
2013-07-31,49.2617
2013-08-30,55.5704
2013-09-30,43.3631
2013-10-31,39.0934
2013-11-29,43.9462
2013-12-31,64.2265
2014-01-31,65.1349
2014-02-28,65.1285
2014-03-31,46.8183
2014-04-30,48.9662
2014-05-30,47.7466
2014-06-30,54.5550
2014-07-31,49.6379
2014-08-29,50.5219
2014-09-30,57.4890
2014-10-31,55.7110
2014-11-28,54.8938
2014-12-31,56.6931
2015-01-30,57.5796
2015-02-27,56.3361
2015-03-31,55.6207
2015-04-30,51.2095
2015-05-29,51.2093
2015-06-30,54.4356
2015-07-31,65.7567
2015-08-31,58.8038
2015-09-30,52.7967
2015-10-30,56.8581
2015-11-30,53.5445
2015-12-31,58.3905
2016-01-29,44.2342
2016-02-29,44.0028
2016-03-31,45.2722
2016-04-29,51.2280
2016-05-31,50.5537
2016-06-30,44.6529
2016-07-29,52.5694
2016-08-31,55.4531
2016-09-30,56.0386
2016-10-31,52.6302
2016-11-30,54.8987
2016-12-30,57.0616
2017-01-31,67.0099
2017-02-28,64.0562
2017-03-31,60.4999
2017-04-28,57.0506
2017-05-31,61.3480
2017-06-30,59.2334
2017-07-31,51.9089
2017-08-31,53.7872
2017-09-29,42.3183
2017-10-31,42.1906
2017-11-30,41.7985
2017-12-29,53.9308
2018-01-31,62.3839
2018-02-28,57.6779
2018-03-30,0
2018-04-30,42.4853
2018-05-31,42.9626
2018-06-29,46.9870
2018-07-31,50.9788
2018-08-31,55.3559
2018-09-28,65.0666
2018-10-31,52.7942
2018-11-30,52.0761
2018-12-31,42.4811
2019-01-31,58.9824
2019-02-28,55.3563
2019-03-29,52.4752
2019-04-30,51.0058
2019-05-31,49.6910
2019-06-28,48.9718
2019-07-31,41.7274
2019-08-30,38.5414
2019-09-30,40.7488
2019-10-31,46.5759
2019-11-29,51.2284
2019-12-31,61.1293
2020-01-31,48.0311
2020-02-28,40.5524
2020-03-31,37.5658
2020-04-30,48.7834
2020-05-29,51.5034
2020-06-30,56.3871
2020-07-31,52.8962
2020-08-31,45.6046
2020-09-30,56.3942
2020-10-30,57.8376
2020-11-30,57.1657
2020-12-31,52.2068
2021-01-29,46.4133
2021-02-26,46.0795
2021-03-31,49.8810
2021-04-30,54.8038
2021-05-31,0
2021-06-30,46.0213
2021-07-30,43.4052
2021-08-31,39.0074
2021-09-30,48.5646
2021-10-29,46.8974
2021-11-30,41.5740
2021-12-31,46.2709
2022-01-31,48.2908
2022-02-28,55.7829
2022-03-31,43.0014
