,MFI_daily_60
2000-01-31,45.2735
2000-02-29,44.6854
2000-03-31,52.3526
2000-04-28,54.8045
2000-05-31,58.5508
2000-06-30,56.1146
2000-07-31,60.9584
2000-08-31,59.3393
2000-09-29,66.7560
2000-10-31,55.6826
2000-11-30,52.6269
2000-12-29,53.6260
2001-01-31,48.8692
2001-02-28,53.0271
2001-03-30,52.1293
2001-04-30,63.0476
2001-05-31,65.7465
2001-06-29,43.8144
2001-07-31,39.5233
2001-08-31,34.8505
2001-09-28,40.9992
2001-10-31,37.1725
2001-11-30,42.9055
2001-12-31,48.8810
2002-01-31,44.3355
2002-02-28,37.3826
2002-03-29,0
2002-04-30,52.1784
2002-05-31,37.4232
2002-06-28,35.1523
2002-07-31,31.3067
2002-08-30,46.4446
2002-09-30,40.3562
2002-10-31,44.8800
2002-11-29,44.1934
2002-12-31,56.3471
2003-01-31,50.3967
2003-02-28,39.3197
2003-03-31,47.8184
2003-04-30,55.0401
2003-05-30,67.3285
2003-06-30,59.4363
2003-07-31,58.3711
2003-08-29,49.1244
2003-09-30,60.2694
2003-10-31,67.2219
2003-11-28,56.3303
2003-12-31,57.6512
2004-01-30,61.4712
2004-02-27,60.4544
2004-03-31,60.7707
2004-04-30,51.3408
2004-05-31,0
2004-06-30,46.4728
2004-07-30,50.4646
2004-08-31,49.2048
2004-09-30,43.0127
2004-10-29,43.1564
2004-11-30,47.8105
2004-12-31,46.2408
2005-01-31,48.0073
2005-02-28,58.7306
2005-03-31,61.8046
2005-04-29,55.5766
2005-05-31,50.2360
2005-06-30,62.5037
2005-07-29,65.1615
2005-08-31,62.7700
2005-09-30,65.3407
2005-10-31,54.1896
2005-11-30,49.3626
2005-12-30,44.5391
2006-01-31,54.4166
2006-02-28,55.2543
2006-03-31,42.0427
2006-04-28,43.2603
2006-05-31,40.7831
2006-06-30,54.4304
2006-07-31,68.9397
2006-08-31,75.7550
2006-09-29,70.2221
2006-10-31,72.8757
2006-11-30,78.8665
2006-12-29,74.1299
2007-01-31,67.5344
2007-02-28,62.8613
2007-03-30,61.6673
2007-04-30,66.6725
2007-05-31,67.6279
2007-06-29,55.8311
2007-07-31,39.8079
2007-08-31,41.3962
2007-09-28,39.2714
