,MFI_daily_60
2000-01-31,50.9105
2000-02-29,47.7375
2000-03-31,58.0450
2000-04-28,58.1330
2000-05-31,53.4288
2000-06-30,46.4659
2000-07-31,43.8501
2000-08-31,46.3702
2000-09-29,50.7865
2000-10-31,53.0452
2000-11-30,47.8713
2000-12-29,55.4027
2001-01-31,64.1631
2001-02-28,62.7407
2001-03-30,55.7222
2001-04-30,45.0724
2001-05-31,52.0424
2001-06-29,59.3657
2001-07-31,66.5449
2001-08-31,58.7188
2001-09-28,49.1160
2001-10-31,47.2776
2001-11-30,52.4782
2001-12-31,62.6322
2002-01-31,62.4054
2002-02-28,49.4562
2002-03-29,0
2002-04-30,42.6691
2002-05-31,56.8966
2002-06-28,53.1406
2002-07-31,41.2336
2002-08-30,40.2838
2002-09-30,37.8729
2002-10-31,44.9253
2002-11-29,43.2727
2002-12-31,42.6247
2003-01-31,39.6678
2003-02-28,46.9065
2003-03-31,55.6949
2003-04-30,59.3330
2003-05-30,62.1845
2003-06-30,58.5334
2003-07-31,55.4243
2003-08-29,44.8466
2003-09-30,40.4194
2003-10-31,63.2430
2003-11-28,53.8729
2003-12-31,62.4871
2004-01-30,54.1194
2004-02-27,62.9047
2004-03-31,56.2233
2004-04-30,54.8519
2004-05-31,0
2004-06-30,54.4789
2004-07-30,56.1485
2004-08-31,58.9279
2004-09-30,55.5700
2004-10-29,68.0275
2004-11-30,66.3641
2004-12-31,58.1166
2005-01-31,43.1707
2005-02-28,39.6027
2005-03-31,40.1547
2005-04-29,37.2365
2005-05-31,47.5090
2005-06-30,45.3011
2005-07-29,52.1931
2005-08-31,33.4470
2005-09-30,36.2248
2005-10-31,47.5294
2005-11-30,55.2538
2005-12-30,56.6204
2006-01-31,46.1791
2006-02-28,44.6276
2006-03-31,56.6045
2006-04-28,60.8676
2006-05-31,49.8607
2006-06-30,53.8531
2006-07-31,47.9541
2006-08-31,41.8768
2006-09-29,41.9814
2006-10-31,51.3443
2006-11-30,57.8718
2006-12-29,50.8521
2007-01-31,53.4180
2007-02-28,50.1686
2007-03-30,44.7515
2007-04-30,42.0044
2007-05-31,49.7641
2007-06-29,65.6303
2007-07-31,64.2443
2007-08-31,57.7433
2007-09-28,48.5987
2007-10-31,49.5348
2007-11-30,57.3863
2007-12-31,53.4919
2008-01-31,55.7197
2008-02-29,51.1862
2008-03-31,52.4607
2008-04-30,53.7566
2008-05-30,59.1390
2008-06-30,51.2443
2008-07-31,42.9465
2008-08-29,46.1712
2008-09-30,42.2949
2008-10-31,46.9429
2008-11-28,42.1044
2008-12-31,48.3100
2009-01-30,43.4225
2009-02-27,44.2636
2009-03-31,43.0941
2009-04-30,50.8786
2009-05-29,51.1354
2009-06-30,41.8515
2009-07-31,47.8438
2009-08-31,51.3632
2009-09-30,63.3335
2009-10-30,57.6212
2009-11-30,60.1041
2009-12-31,57.8682
2010-01-29,59.5914
2010-02-26,56.8854
2010-03-31,46.8460
2010-04-30,46.7744
2010-05-31,0
2010-06-30,45.1544
2010-07-30,45.1758
2010-08-31,42.1202
2010-09-30,62.4137
2010-10-29,50.5332
2010-11-30,55.5724
2010-12-31,58.0781
2011-01-31,62.7067
2011-02-28,61.9908
2011-03-31,52.6356
2011-04-29,60.6060
2011-05-31,55.7030
2011-06-30,52.7865
2011-07-29,47.0879
2011-08-31,56.5034
2011-09-30,55.9634
2011-10-31,54.6380
2011-11-30,47.6477
2011-12-30,44.5917
2012-01-31,44.3027
2012-02-29,49.7860
2012-03-30,57.0332
2012-04-30,53.3655
2012-05-31,47.6825
2012-06-29,53.0492
2012-07-31,58.0381
2012-08-31,56.4889
2012-09-28,53.3891
2012-10-31,49.4248
2012-11-30,56.3273
2012-12-31,54.1945
2013-01-31,56.8693
2013-02-28,47.5130
2013-03-29,0
2013-04-30,51.2224
2013-05-31,55.1965
2013-06-28,55.1739
2013-07-31,59.8186
2013-08-30,56.1795
2013-09-30,50.6410
2013-10-31,44.3728
2013-11-29,55.0180
2013-12-31,56.3626
2014-01-31,46.0584
2014-02-28,44.4820
2014-03-31,40.7101
2014-04-30,50.3265
2014-05-30,47.8145
2014-06-30,55.9612
2014-07-31,54.8000
2014-08-29,56.1518
2014-09-30,60.1854
2014-10-31,61.8639
2014-11-28,60.6378
2014-12-31,55.1853
2015-01-30,51.9488
2015-02-27,50.6678
2015-03-31,58.6887
2015-04-30,49.7810
2015-05-29,48.6917
2015-06-30,34.7736
2015-07-31,42.5696
2015-08-31,49.9872
2015-09-30,54.0095
2015-10-30,58.0445
2015-11-30,58.5386
2015-12-31,56.8601
2016-01-29,47.2439
2016-02-29,52.9828
2016-03-31,53.4745
2016-04-29,52.8692
2016-05-31,47.6155
2016-06-30,55.9965
2016-07-29,61.2858
2016-08-31,61.4724
2016-09-30,45.8282
2016-10-31,33.9068
2016-11-30,42.3209
2016-12-30,54.2015
2017-01-31,63.3222
2017-02-28,68.8124
2017-03-31,56.0209
2017-04-28,58.9686
2017-05-31,63.9814
2017-06-30,48.1492
2017-07-31,39.5413
2017-08-31,36.7049
2017-09-29,48.0789
2017-10-31,49.4811
2017-11-30,59.2024
2017-12-29,55.3762
2018-01-31,62.3886
2018-02-28,50.3591
2018-03-30,0
2018-04-30,47.0995
2018-05-31,47.4269
2018-06-29,53.9652
2018-07-31,54.3099
2018-08-31,63.0095
2018-09-28,62.0216
2018-10-31,57.7382
2018-11-30,53.1036
2018-12-31,44.8290
2019-01-31,44.6935
2019-02-28,47.2182
2019-03-29,57.3376
2019-04-30,60.1360
2019-05-31,56.7902
2019-06-28,60.1614
2019-07-31,64.7153
2019-08-30,69.4483
2019-09-30,57.1264
2019-10-31,52.5087
2019-11-29,45.1884
2019-12-31,49.4131
2020-01-31,51.4735
2020-02-28,49.6477
2020-03-31,54.3415
2020-04-30,49.8330
2020-05-29,44.8846
2020-06-30,40.8769
2020-07-31,45.9555
2020-08-31,58.9472
2020-09-30,57.4606
2020-10-30,51.4975
2020-11-30,54.8781
2020-12-31,51.5834
2021-01-29,44.6561
2021-02-26,35.6906
2021-03-31,45.7318
2021-04-30,57.7007
2021-05-31,0
2021-06-30,63.6960
2021-07-30,70.0515
2021-08-31,71.9654
2021-09-30,62.7290
2021-10-29,59.7531
2021-11-30,63.4658
2021-12-31,61.9527
2022-01-31,46.8181
2022-02-28,42.9880
2022-03-31,48.9980
