,MFI_daily_60
2000-01-31,51.7463
2000-02-29,53.4786
2000-03-31,55.2801
2000-04-28,51.2400
2000-05-31,56.5363
2000-06-30,51.9934
2000-07-31,50.7073
2000-08-31,66.4568
2000-09-29,67.8492
2000-10-31,64.3505
2000-11-30,60.9340
2000-12-29,52.3988
2001-01-31,50.0835
2001-02-28,48.8756
2001-03-30,57.6257
2001-04-30,57.2108
2001-05-31,54.1309
2001-06-29,46.8917
2001-07-31,44.2634
2001-08-31,49.7141
2001-09-28,46.5900
2001-10-31,49.6937
2001-11-30,40.5683
2001-12-31,40.6915
2002-01-31,36.1077
2002-02-28,45.9427
2002-03-29,0
2002-04-30,52.3399
2002-05-31,40.9692
2002-06-28,35.9388
2002-07-31,36.9250
2002-08-30,46.5588
2002-09-30,40.4784
2002-10-31,41.7454
2002-11-29,39.9392
2002-12-31,50.9130
2003-01-31,45.0187
2003-02-28,35.5978
2003-03-31,37.8308
2003-04-30,49.6885
2003-05-30,62.7895
2003-06-30,65.6709
2003-07-31,50.4457
2003-08-29,40.3004
2003-09-30,37.6675
2003-10-31,54.4733
2003-11-28,53.5926
2003-12-31,61.8202
2004-01-30,59.1502
2004-02-27,57.7182
2004-03-31,51.5526
2004-04-30,41.4932
2004-05-31,0
2004-06-30,40.0115
2004-07-30,54.4694
2004-08-31,64.5626
2004-09-30,65.7869
2004-10-29,64.2223
2004-11-30,64.4853
2004-12-31,58.8273
2005-01-31,58.9386
2005-02-28,56.9315
2005-03-31,59.2938
2005-04-29,59.5651
2005-05-31,49.1011
2005-06-30,52.5425
2005-07-29,49.4747
2005-08-31,53.8392
2005-09-30,50.6122
2005-10-31,47.3571
2005-11-30,48.7423
2005-12-30,50.5355
2006-01-31,58.6743
2006-02-28,57.0616
2006-03-31,56.8349
2006-04-28,55.2364
2006-05-31,55.1243
2006-06-30,49.3520
2006-07-31,59.1898
2006-08-31,56.0694
2006-09-29,62.1596
2006-10-31,62.1508
2006-11-30,60.9928
2006-12-29,54.2367
2007-01-31,55.5093
2007-02-28,56.9653
2007-03-30,54.7277
2007-04-30,52.8197
2007-05-31,51.5210
2007-06-29,39.3991
2007-07-31,35.4840
2007-08-31,47.3723
2007-09-28,51.7864
2007-10-31,53.8837
2007-11-30,57.5238
2007-12-31,61.0019
2008-01-31,57.0198
2008-02-29,49.1298
2008-03-31,44.4537
2008-04-30,44.8386
2008-05-30,46.3587
2008-06-30,43.2680
2008-07-31,44.5656
2008-08-29,47.0771
2008-09-30,51.0094
2008-10-31,49.1567
2008-11-28,46.0250
2008-12-31,50.3395
2009-01-30,46.5281
2009-02-27,54.9840
2009-03-31,54.4932
2009-04-30,51.2198
2009-05-29,57.7381
2009-06-30,57.1227
2009-07-31,61.6661
2009-08-31,57.8098
2009-09-30,57.5370
2009-10-30,48.7051
2009-11-30,61.9148
2009-12-31,61.3034
2010-01-29,54.5816
2010-02-26,47.2647
2010-03-31,40.6424
2010-04-30,47.5260
2010-05-31,0
2010-06-30,52.1052
2010-07-30,56.4290
2010-08-31,56.4977
2010-09-30,54.7647
2010-10-29,55.9180
2010-11-30,52.2276
2010-12-31,51.8189
2011-01-31,50.4572
2011-02-28,55.7899
2011-03-31,54.1240
2011-04-29,59.1723
2011-05-31,57.8736
2011-06-30,53.6215
2011-07-29,43.1627
2011-08-31,50.2362
2011-09-30,53.2370
2011-10-31,64.7978
2011-11-30,58.5244
2011-12-30,60.1561
2012-01-31,50.7240
2012-02-29,55.8640
2012-03-30,47.5095
2012-04-30,57.6160
2012-05-31,63.5308
2012-06-29,72.8535
2012-07-31,65.7939
2012-08-31,50.4370
2012-09-28,43.8079
2012-10-31,41.4598
2012-11-30,43.3530
2012-12-31,44.1818
2013-01-31,54.5854
2013-02-28,69.7014
2013-03-29,0
2013-04-30,65.7613
2013-05-31,40.2256
2013-06-28,39.7079
2013-07-31,38.7091
2013-08-30,45.4265
2013-09-30,47.9798
2013-10-31,49.4738
2013-11-29,52.6726
2013-12-31,48.4419
2014-01-31,47.0373
2014-02-28,53.5055
2014-03-31,56.3961
2014-04-30,57.0471
2014-05-30,51.8109
2014-06-30,59.1170
2014-07-31,56.0750
2014-08-29,64.6364
2014-09-30,63.8577
2014-10-31,69.6350
2014-11-28,57.6215
2014-12-31,62.4130
2015-01-30,58.8016
2015-02-27,51.4311
2015-03-31,45.4036
2015-04-30,38.8719
2015-05-29,45.4082
2015-06-30,31.7686
2015-07-31,41.5020
2015-08-31,45.3707
