,MFI_daily_60
2000-01-31,47.9438
2000-02-29,42.3993
2000-03-31,46.8064
2000-04-28,54.8460
2000-05-31,56.2357
2000-06-30,42.9879
2000-07-31,43.3294
2000-08-31,38.6688
2000-09-29,43.6127
2000-10-31,44.3129
2000-11-30,45.8735
2000-12-29,41.9635
2001-01-31,56.0215
2001-02-28,59.7807
2001-03-30,58.5077
2001-04-30,56.5374
2001-05-31,43.9933
2001-06-29,42.5777
2001-07-31,40.6779
2001-08-31,42.9929
2001-09-28,39.6809
2001-10-31,38.8766
2001-11-30,53.6076
2001-12-31,47.3841
2002-01-31,49.7016
2002-02-28,45.5624
2002-03-29,0
2002-04-30,49.5482
2002-05-31,52.8218
2002-06-28,53.3673
2002-07-31,43.0970
2002-08-30,37.5709
2002-09-30,37.8464
2002-10-31,40.8221
2002-11-29,51.6172
2002-12-31,53.5797
2003-01-31,56.5394
2003-02-28,42.2144
2003-03-31,44.3732
2003-04-30,59.4630
2003-05-30,58.2172
2003-06-30,54.5181
2003-07-31,48.4562
2003-08-29,54.5200
2003-09-30,48.7709
2003-10-31,56.3294
2003-11-28,61.2834
2003-12-31,68.5703
2004-01-30,60.5239
2004-02-27,54.2821
2004-03-31,45.2723
2004-04-30,61.4537
2004-05-31,0
2004-06-30,59.4511
2004-07-30,46.5470
2004-08-31,43.5058
2004-09-30,39.9885
2004-10-29,42.4770
2004-11-30,50.0952
2004-12-31,54.5042
2005-01-31,45.9060
2005-02-28,39.9828
2005-03-31,29.5610
2005-04-29,28.3461
2005-05-31,34.9261
2005-06-30,42.3712
2005-07-29,48.2974
2005-08-31,48.2519
2005-09-30,48.1555
2005-10-31,40.1939
2005-11-30,46.3645
2005-12-30,43.1384
2006-01-31,58.5369
2006-02-28,51.1964
2006-03-31,52.2714
2006-04-28,41.2761
2006-05-31,48.9646
2006-06-30,46.9602
2006-07-31,52.4593
2006-08-31,62.0578
2006-09-29,57.7463
2006-10-31,55.8483
2006-11-30,46.7069
2006-12-29,37.8918
2007-01-31,53.3198
2007-02-28,53.9748
2007-03-30,65.8060
2007-04-30,53.4821
2007-05-31,55.9597
2007-06-29,58.7578
2007-07-31,55.0742
2007-08-31,52.4867
2007-09-28,49.7644
2007-10-31,54.9547
2007-11-30,51.4260
2007-12-31,46.5216
2008-01-31,39.8213
2008-02-29,44.3376
2008-03-31,47.4372
2008-04-30,60.0619
2008-05-30,53.8128
2008-06-30,43.1590
2008-07-31,33.1453
2008-08-29,40.6891
2008-09-30,53.0035
2008-10-31,45.4199
2008-11-28,48.4522
2008-12-31,46.3565
2009-01-30,45.9364
2009-02-27,47.2594
2009-03-31,49.2212
2009-04-30,76.3222
2009-05-29,62.3546
2009-06-30,57.3242
2009-07-31,54.2800
2009-08-31,55.1410
2009-09-30,55.3544
2009-10-30,45.1244
2009-11-30,54.8074
2009-12-31,65.5042
2010-01-29,65.5913
2010-02-26,63.6648
2010-03-31,57.7070
2010-04-30,55.2250
2010-05-31,0
2010-06-30,39.1994
2010-07-30,42.5743
2010-08-31,48.3983
2010-09-30,56.0553
2010-10-29,58.9015
2010-11-30,60.9771
2010-12-31,59.1948
2011-01-31,49.8499
2011-02-28,41.5692
2011-03-31,42.0981
2011-04-29,50.5301
2011-05-31,55.3459
2011-06-30,40.8680
2011-07-29,37.8486
2011-08-31,36.5822
2011-09-30,32.4793
2011-10-31,46.7978
2011-11-30,44.9868
2011-12-30,46.0687
2012-01-31,58.6304
2012-02-29,60.2432
2012-03-30,59.2793
2012-04-30,48.2955
2012-05-31,45.0846
